PLAYER,TEAM,POS,GP,G,A,PTS,PLUSMINUS,PPP,PIM,HITS,BLOCKS,SOG,W,AVG,SV%,SO
Connor McDavid,Edmonton,C,80,39,69,108,22,24,28,31,38,263,,,,
Sidney Crosby,Pittsburgh,C,80,35,59,94,9,29,40,80,33,250,,,,
Auston Matthews,Toronto,C,76,43,34,77,14,23,16,23,72,283,,,,
Tyler Seguin,Dallas,C,79,36,42,78,3,26,32,72,35,313,,,,
Nathan MacKinnon,Colorado,C,76,35,53,88,2,28,36,44,32,266,,,,
Evgeni Malkin,Pittsburgh,C,69,34,49,83,12,30,79,41,27,208,,,,
Evgeny Kuznetsov,Washington,C,81,26,58,84,13,26,46,61,39,195,,,,
Anze Kopitar,Los Angeles,C,80,27,48,75,16,22,20,64,63,182,,,,
John Tavares,Toronto,C,80,33,42,75,3,24,32,38,29,256,,,,
Patrice Bergeron,Boston,C,72,28,34,62,16,21,32,57,47,258,,,,
Steven Stamkos,Tampa Bay,C,73,28,45,73,10,26,54,69,30,193,,,,
Mark Scheifele,Winnipeg,C,74,32,41,73,14,19,33,59,36,176,,,,
Aleksander Barkov,Florida,C,72,27,43,70,12,17,12,38,53,211,,,,
Vincent Trocheck,Florida,C,81,28,39,67,-3,21,50,152,53,251,,,,
Nicklas Backstrom,Washington,C,79,21,54,75,11,29,42,43,47,155,,,,
Ryan Getzlaf,Anaheim,C,69,15,53,68,16,18,47,100,66,144,,,,
Jack Eichel,Buffalo,C,75,28,42,70,-9,24,30,48,37,275,,,,
Brayden Schenn,St. Louis,C,81,27,37,64,1,22,46,171,36,194,,,,
Pierre-Luc Dubois,Columbus,C,80,24,36,60,6,17,59,131,42,192,,,,
Eric Staal,Minnesota,C,81,28,33,61,7,17,38,50,43,223,,,,
Mathew Barzal,N.Y. Islanders,C,80,21,57,78,-2,26,34,21,30,162,,,,
Brayden Point,Tampa Bay,C,78,27,33,60,11,14,20,36,48,205,,,,
Sean Couturier,Philadelphia,C,73,23,35,58,17,11,32,58,40,183,,,,
William Karlsson,Vegas,C,81,27,29,56,15,10,10,48,46,184,,,,
Sean Monahan,Calgary,C,77,29,33,62,1,19,22,35,22,200,,,,
Jeff Carter,Los Angeles,C,72,27,27,54,9,12,16,75,31,251,,,,
Leon Draisaitl,Edmonton,C,78,26,43,69,-2,16,26,40,26,175,,,,
Elias Pettersson,Vancouver,C,78,25,34,59,5,13,22,30,30,220,,,,
Nazem Kadri,Toronto,C,80,26,28,54,-5,17,63,115,32,229,,,,
Ryan O'Reilly,St. Louis,C,76,22,42,64,-5,23,6,30,46,202,,,,
Jonathan Toews,Chicago,C,75,23,36,59,6,13,48,47,29,200,,,,
Logan Couture,San Jose,C,72,27,28,55,2,18,16,39,64,185,,,,
Nico Hischier,New Jersey,C,80,23,32,55,6,11,28,62,43,198,,,,
Ryan Johansen,Nashville,C,80,15,43,58,8,19,69,92,32,149,,,,
Dylan Larkin,Detroit,C,81,22,38,60,-8,13,53,79,37,240,,,,
Mika Zibanejad,N.Y. Rangers,C,77,25,27,52,-9,17,20,92,57,212,,,,
