name,team,position,pick
Connor McDavid,Edm,C,1.6
Nathan MacKinnon,Col,C,2.5
Leon Draisaitl,Edm,"C,LW",3.6
Artemi Panarin,NYR,LW,5.2
Alex Ovechkin,Was,LW,5.5
Auston Matthews,Tor,C,6.7
Andrei Vasilevskiy,TB,G,7.6
Jack Eichel,Buf,C,8.2
Nikita Kucherov,TB,RW,9.8
Patrick Kane,Chi,RW,10.1
Sebastian Aho,Car,C,11.4
Sidney Crosby,Pit,C,13.0
Mikko Rantanen,Col,RW,15.1
Victor Hedman,TB,D,16.0
Andrei Svechnikov,Car,"LW,RW",16.5
Elias Pettersson,Van,C,16.7
Connor Hellebuyck,Wpg,G,16.8
Mika Zibanejad,NYR,C,17.9
Mitchell Marner,Tor,RW,18.1
Brayden Point,TB,C,19.3
John Carlson,Was,D,21.7
Brad Marchand,Bos,LW,22.6
Steven Stamkos,TB,"LW,RW",23.8
Jake Guentzel,Pit,"LW,RW",25.9
Jonathan Huberdeau,Fla,LW,26.5
Patrik Laine,Wpg,"LW,RW",28.0
Evgeni Malkin,Pit,C,28.5
John Tavares,Tor,C,30.2
Roman Josi,Nsh,D,32.7
Matthew Tkachuk,Cgy,"LW,RW",32.9
Tuukka Rask,Bos,G,33.1
Carter Hart,Phi,G,33.8
Cale Makar,Col,D,34.0
Robin Lehner,VGK,G,35.0
Gabriel Landeskog,Col,"C,LW",36.0
Blake Wheeler,Wpg,"C,RW",37.4
Max Pacioretty,VGK,LW,38.6
Mark Stone,VGK,RW,39.1
Jordan Binnington,StL,G,40.3
Aleksander Barkov,Fla,C,40.4
J.T. Miller,Van,"LW,RW",41.3
Patrice Bergeron,Bos,C,41.8
Ilya Samsonov,Was,G,42.7
Teuvo Teravainen,Car,"LW,RW",43.3
David Pastrnak,Bos,RW,43.4
Dougie Hamilton,Car,D,43.5
Mark Scheifele,Wpg,C,43.5
Johnny Gaudreau,Cgy,"LW,RW",47.6
Brady Tkachuk,Ott,LW,48.7
Carey Price,Mon,G,49.0
Igor Shesterkin,NYR,G,50.9
Frederik Andersen,Tor,G,52.5
Taylor Hall,Buf,LW,53.5
Brent Burns,SJ,D,53.8
Alex Pietrangelo,VGK,D,56.8
Ryan O'Reilly,StL,C,62.4
Morgan Rielly,Tor,D,64.2
Evgeny Kuznetsov,Was,C,64.3
Sean Couturier,Phi,C,64.4
Tristan Jarry,Pit,G,64.9
Quinn Hughes,Van,D,65.2
Claude Giroux,Phi,"C,LW",66.5
Darcy Kuemper,Ari,G,66.7
Kyle Connor,Wpg,LW,67.1
Elias Lindholm,Cgy,"C,RW",68.9
Kris Letang,Pit,D,70.4
Filip Forsberg,Nsh,LW,71.0
Brendan Gallagher,Mon,RW,71.4
Torey Krug,StL,D,71.6
Ryan Nugent-Hopkins,Edm,"C,LW",73.1
Miro Heiskanen,Dal,D,74.0
Anton Khudobin,Dal,G,75.5
Philipp Grubauer,Col,G,76.3
Brock Boeser,Van,RW,76.7
Evander Kane,SJ,LW,77.6
Brayden Schenn,StL,"C,RW",78.5
Zach Werenski,Cls,D,79.7
Jacob Markstrom,Cgy,G,80.0
Neal Pionk,Wpg,D,83.3
Marc-Andre Fleury,VGK,G,83.6
William Nylander,Tor,"LW,RW",83.9
Seth Jones,Cls,D,84.4
Travis Konecny,Phi,RW,84.8
Erik Karlsson,SJ,D,85.3
Mike Hoffman,StL,"LW,RW",85.5
Mathew Barzal,NYI,C,86.7
Timo Meier,SJ,"LW,RW",89.8
Tom Wilson,Was,RW,90.4
Rasmus Dahlin,Buf,D,90.9
Petr Mrazek,Car,G,91.3
Shea Theodore,VGK,D,92.6
Shea Weber,Mon,D,93.0
Pierre-Luc Dubois,Cls,C,95.1
Pavel Francouz,Col,G,97.7
Ivan Provorov,Phi,D,98.1
Jonathan Marchessault,VGK,"C,LW",98.2
Alex DeBrincat,Chi,"LW,RW",98.6
John Klingberg,Dal,D,101.9
Kevin Fiala,Min,"LW,RW",102.7
Tyson Barrie,Edm,D,103.2
Braden Holtby,Van,G,103.7
Tony DeAngelo,NYR,D,104.8
Kailer Yamamoto,Edm,RW,105.0
Anders Lee,NYI,LW,107.0
Jeff Petry,Mon,D,109.4
Charlie McAvoy,Bos,D,112.1
Jakub Vrana,Was,LW,112.6
Elvis Merzlikins,Cls,G,112.6
Kyle Palmieri,NJ,RW,114.8
Oliver Ekman-Larsson,Ari,D,115.4
