name,age,salary
Auston Matthews,23,15900000.0
Mitchell Marner,23,15000000.0
Connor McDavid,23,14000000.0
Artemi Panarin,29,13000000.0
Erik Karlsson,30,12000000.0
John Tavares,30,12000000.0
Sergei Bobrovsky,32,12000000.0
Mikko Rantanen,24,12000000.0
Nicklas Bäckström,33,12000000.0
Andrei Vasilevskiy,26,12000000.0
Roman Josi,30,11750000.0
Sebastian Aho,23,10570000.0
Brent Burns,35,10000000.0
Jack Eichel,24,10000000.0
Alex Ovechkin,35,10000000.0
Jeff Skinner,28,10000000.0
Drew Doughty,31,10000000.0
Chris Kreider,29,10000000.0
Jacob Trouba,26,10000000.0
Carey Price,33,9750000.0
Sidney Crosby,33,9600000.0
Evgeni Malkin,34,9500000.0
Steven Stamkos,30,9500000.0
Logan Couture,31,9000000.0
Nikita Kucherov,27,9000000.0
Jamie Benn,31,9000000.0
Jared Spurgeon,31,9000000.0
Tyler Seguin,28,9000000.0
Leon Draisaitl,25,9000000.0
Justin Faulk,28,9000000.0
Kyle Connor,24,8000000.0
Zach Parise,36,8000000.0
Taylor Hall,29,8000000.0
Joshua Morrissey,25,8000000.0
Charlie Coyle,28,8000000.0
Ryan Suter,35,8000000.0
Jake Muzzin,31,8000000.0
Matt Duchene,29,8000000.0
John Carlson,30,8000000.0
Victor Hedman,30,8000000.0
Brayden Schenn,29,8000000.0
Ryan Johansen,28,8000000.0
Anze Kopitar,33,8000000.0
Oliver Ekman-Larsson,29,8000000.0
P.KSubban,31,8000000.0
Mark Stone,28,8000000.0
Patrik Laine,22,7500000.0
Kevin Hayes,28,7500000.0
Kris Letang,33,7250000.0
Marc-Édouard Vlasic,33,7250000.0
Claude Giroux,32,7200000.0
Nico Hischier,22,7000000.0
Jonathan Toews,32,7000000.0
Max Pacioretty,32,7000000.0
Thomas Chabot,23,7000000.0
James van Riemsdyk,31,7000000.0
Jean-Gabriel Pageau,28,7000000.0
Matthew Tkachuk,23,7000000.0
David Krejci,34,7000000.0
Patrick Kane,32,7000000.0
Mark Giordano,37,6750000.0
Johnny Gaudreau,27,6750000.0
Ryan Kesler,36,6675000.0
Gabriel Landeskog,28,6500000.0
Nick Leddy,29,6500000.0
Blake Wheeler,34,6500000.0
Tuukka Rask,33,6500000.0
Brandon Saad,28,6500000.0
Marc-André Fleury,36,6500000.0
John Gibson,27,6400000.0
Jakub Voracek,31,6250000.0
Nathan MacKinnon,25,6150000.0
Brock Boeser,23,6125000.0
Nate Schmidt,29,6100000.0
Erik Johnson,32,6000000.0
Cory Schneider,34,6000000.0
Filip Forsberg,26,6000000.0
Sean Monahan,26,6000000.0
Shea Weber,35,6000000.0
Evander Kane,29,6000000.0
Brayden Point,24,6000000.0
Martin Jones,30,6000000.0
Jordan Staal,32,6000000.0
Ryan Getzlaf,35,6000000.0
Aaron Ekblad,24,6000000.0
Ryan O'Reilly,29,6000000.0
Dougie Hamilton,27,6000000.0
Ryan Nugent-Hopkins,27,6000000.0
Kyle Okposo,32,6000000.0
William Nylander,24,6000000.0
Phil Kessel,33,6000000.0
William Karlsson,27,5900000.0
Brandon Dubinsky,34,5850000.0
Anders Lee,30,5850000.0
Adam Henrique,30,5825000.0
James Neal,33,5750000.0
Travis Zajac,35,5750000.0
Keith Yandle,34,5750000.0
Matt Niskanen,34,5750000.0
John Klingberg,28,5750000.0
Darnell Nurse,25,5600000.0
Mark Scheifele,27,5500000.0
Paul Stastny,35,5500000.0
Nick Foligno,33,5500000.0
Vladimir Tarasenko,29,5500000.0
Anton Strålman,34,5500000.0
Clayton Keller,22,5500000.0
Ryan McDonagh,31,5460000.0
Rasmus Ristolainen,26,5400000.0
Seth Jones,26,5400000.0
Alexander Wennberg,26,5350000.0
Patric Hörnqvist,34,5300000.0
Jonathan Huberdeau,27,5300000.0
Ryan Ellis,30,5300000.0
Cam Atkinson,31,5275000.0
Jakob Silfverberg,30,5250000.0
Nick Bjugstad,28,5250000.0
Brock Nelson,29,5200000.0
Shea Theodore,25,5200000.0
Sam Reinhart,25,5200000.0
Mika Zibanejad,27,5150000.0
Adam Larsson,28,5100000.0
Alex DeBrincat,23,5100000.0
Rasmus Andersson,24,5050000.0
Jonathan Marchessault,30,5000000.0
Derek Stepan,30,5000000.0
Travis Konecny,23,5000000.0
Evgeny Kuznetsov,28,5000000.0
Gustav Nyquist,31,5000000.0
Josh Bailey,31,5000000.0
Samuel Girard,22,5000000.0
Brent Seabrook,35,5000000.0
Frans Nielsen,36,5000000.0
Joe Pavelski,36,5000000.0
Alex Pietrangelo,30,5000000.0
Mats Zuccarello,33,5000000.0
Alexander Edler,34,5000000.0
Frederik Andersen,31,5000000.0
Morgan Rielly,26,5000000.0
Tyler Myers,30,5000000.0
Brad Marchand,32,5000000.0
Jake Guentzel,26,5000000.0
Noah Hanifin,23,4950000.0
Esa Lindell,26,4800000.0
Matt Dumba,26,4800000.0
Jason Zucker,28,4800000.0
Ivan Provorov,23,4750000.0
Sean Couturier,28,4750000.0
Aleksander Barkov,25,4750000.0
Jordan Eberle,30,4750000.0
Cam Fowler,29,4750000.0
Alex Tuch,24,4750000.0
Dylan Larkin,24,4750000.0
Tomas Hertl,27,4750000.0
Nikolaj Ehlers,24,4750000.0
Ryan Murray,27,4700000.0
Damon Severson,26,4675000.0
Max Domi,25,4600000.0
T.JOshie,34,4500000.0
Nikita Zaitsev,29,4500000.0
J.TMiller,27,4500000.0
Brandon Sutter,31,4500000.0
Danny DeKeyser,30,4500000.0
Connor Hellebuyck,27,4500000.0
Jonathan Drouin,25,4500000.0
Anthony Mantha,26,4500000.0
Oscar Klefbom,27,4500000.0
Dmitry Orlov,29,4500000.0
Josh Manson,29,4450000.0
Alex Killorn,31,4450000.0
André Burakovsky,25,4400000.0
Patrice Bergeron,35,4375000.0
Mikael Backlund,31,4350000.0
Anthony Deangelo,25,4300000.0
Bryan Little,33,4250000.0
Teuvo Teräväinen,26,4250000.0
Jordan Binnington,27,4250000.0
Nino Niederreiter,28,4250000.0
Tyler Bozak,34,4250000.0
Viktor Arvidsson,27,4250000.0
Kyle Palmieri,29,4250000.0
Tomas Tatar,30,4200000.0
Brady Skjei,26,4200000.0
Marc Staal,33,4200000.0
Calvin De Haan,29,4100000.0
Yanni Gourde,29,4100000.0
Brian Dumoulin,29,4100000.0
Tom Wilson,26,4100000.0
Nick Bonino,32,4100000.0
Olli Määttä,26,4083300.0
Marcus Pettersson,24,4025175.0
Brett Pesce,26,4025000.0
Nikita Gusev,28,4000000.0
Mathieu Perreault,32,4000000.0
Jaden Schwartz,28,4000000.0
Victor Rask,27,4000000.0
Jeff Petry,33,4000000.0
Josh Anderson,26,4000000.0
Andrew Ladd,35,4000000.0
Ryan Strome,27,4000000.0
Johnny Boychuk,36,4000000.0
David Backes,36,4000000.0
Dustin Brown,36,4000000.0
David Savard,30,4000000.0
