name,team,position,source,fetched_at,goals,assists,plus_minus,powerplay_points,shots_on_goal,hits,blocks,wins,goals_against_average,saves,shutouts
Connor McDavid,EDM,C,Daily Faceoff,2021-01-04 20:06:43.044721,27.8,51.4,11.4,21.7,178.8,25.3,22.5,,,,
Leon Draisaitl,EDM,C/LW,Daily Faceoff,2021-01-04 20:06:43.044721,29.5,44.5,-1.8,25.1,163.7,30.6,16.4,,,,
Nathan MacKinnon,COL,C,Daily Faceoff,2021-01-04 20:06:43.044721,28.5,43.1,11.0,24.2,239.5,35.4,20.8,,,,
Artemi Panarin,NYR,LW,Daily Faceoff,2021-01-04 20:06:43.044721,22.5,44.0,17.9,15.7,156.0,13.4,13.4,,,,
Evgeni Malkin,PIT,C,Daily Faceoff,2021-01-04 20:06:43.044721,23.6,42.7,3.4,19.9,172.5,39.4,24.5,,,,
Brad Marchand,BOS,LW,Daily Faceoff,2021-01-04 20:06:43.044721,24.2,41.2,15.6,18.3,154.3,35.4,18.3,,,,
Mikko Rantanen,COL,RW,Daily Faceoff,2021-01-04 20:06:43.044721,23.7,40.9,4.9,20.6,148.3,36.9,27.3,,,,
Sidney Crosby,PIT,C,Daily Faceoff,2021-01-04 20:06:43.044721,24.2,40.2,5.5,20.8,166.0,53.5,24.6,,,,
Steven Stamkos,TB,LW/RW,Daily Faceoff,2021-01-04 20:06:43.044721,27.1,36.8,9.3,22.4,160.5,52.1,29.2,,,,
Mitch Marner,TOR,RW,Daily Faceoff,2021-01-04 20:06:43.044721,18.1,45.8,5.0,19.3,164.7,27.2,31.3,,,,
Auston Matthews,TOR,C,Daily Faceoff,2021-01-04 20:06:43.044721,35.1,28.6,7.3,15.8,223.4,23.3,53.7,,,,
Patrick Kane,CHI,RW,Daily Faceoff,2021-01-04 20:06:43.044721,25.6,37.1,0.2,17.6,211.9,16.2,11.7,,,,
Jack Eichel,BUF,C,Daily Faceoff,2021-01-04 20:06:43.044721,23.3,34.8,1.7,19.2,216.0,45.1,35.6,,,,
Johnny Gaudreau,CGY,LW/RW,Daily Faceoff,2021-01-04 20:06:43.044721,19.2,38.4,2.4,16.0,158.4,6.7,9.5,,,,
Mark Stone,VGS,RW,Daily Faceoff,2021-01-04 20:06:43.044721,23.3,34.1,12.8,14.1,153.4,53.2,47.7,,,,
Sebastian Aho,CAR,C,Daily Faceoff,2021-01-04 20:06:43.044721,24.4,32.9,10.7,14.2,174.1,51.5,18.0,,,,
Aleksander Barkov,FLA,C,Daily Faceoff,2021-01-04 20:06:43.044721,20.9,35.9,2.0,16.3,155.8,19.4,40.1,,,,
Elias Pettersson,VAN,C,Daily Faceoff,2021-01-04 20:06:43.044721,22.9,32.5,7.5,16.8,127.0,43.5,38.8,,,,
Blake Wheeler,WPG,C/RW,Daily Faceoff,2021-01-04 20:06:43.044721,16.7,38.2,3.5,20.0,155.9,64.1,37.6,,,,
John Tavares,TOR,C,Daily Faceoff,2021-01-04 20:06:43.044721,25.1,29.3,4.6,14.3,188.6,35.5,32.8,,,,
Mathew Barzal,NYI,C,Daily Faceoff,2021-01-04 20:06:43.044721,15.3,38.6,0.2,14.9,135.8,17.8,33.9,,,,
Alex Ovechkin,WSH,LW,Daily Faceoff,2021-01-04 20:06:43.044721,30.9,23.0,0.7,18.1,243.6,140.9,22.4,,,,
Taylor Hall,BUF,LW,Daily Faceoff,2021-01-04 20:06:43.044721,19.7,34.0,-1.3,17.1,196.5,45.7,30.4,,,,
Brayden Point,TB,C,Daily Faceoff,2021-01-04 20:06:43.044721,23.2,30.3,18.0,13.7,134.2,19.8,31.8,,,,
Mark Scheifele,WPG,C,Daily Faceoff,2021-01-04 20:06:43.044721,20.4,32.9,9.0,12.5,128.4,38.1,33.0,,,,
Jake Guentzel,PIT,LW/RW,Daily Faceoff,2021-01-04 20:06:43.044721,27.5,25.7,11.1,9.5,169.9,72.5,31.7,,,,
Jonathan Huberdeau,FLA,LW,Daily Faceoff,2021-01-04 20:06:43.044721,16.9,34.8,-2.8,18.2,141.1,35.3,25.3,,,,
Matthew Tkachuk,CGY,LW/RW,Daily Faceoff,2021-01-04 20:06:43.044721,19.7,31.1,3.4,15.7,151.8,86.9,13.5,,,,
David Pastrnak,BOS,RW,Daily Faceoff,2021-01-04 20:06:43.044721,23.7,27.1,7.6,15.9,160.9,33.7,16.5,,,,
Kyle Connor,WPG,LW,Daily Faceoff,2021-01-04 20:06:43.044721,27.3,23.3,1.2,12.2,177.4,12.1,17.3,,,,
