position,name,week,points,source
QB,Aaron Rodgers,7.0,25.02,NFL.com
QB,Alex Smith,7.0,23.82,NFL.com
QB,Jameis Winston,7.0,23.3,NFL.com
QB,Blake Bortles,7.0,22.68,NFL.com
QB,Matthew Stafford,7.0,21.3,NFL.com
QB,Colin Kaepernick,7.0,20.06,NFL.com
QB,Kirk Cousins,7.0,18.58,NFL.com
QB,Matt Ryan,7.0,17.68,NFL.com
QB,Geno Smith,7.0,16.92,NFL.com
QB,Landry Jones,7.0,16.66,NFL.com
QB,Marcus Mariota,7.0,16.4,NFL.com
QB,Derek Carr,7.0,15.36,NFL.com
QB,Russell Wilson,7.0,15.08,NFL.com
QB,Andrew Luck,7.0,14.88,NFL.com
QB,Andy Dalton,7.0,14.56,NFL.com
QB,Tyrod Taylor,7.0,13.96,NFL.com
QB,Philip Rivers,7.0,13.84,NFL.com
QB,Joe Flacco,7.0,13.22,NFL.com
QB,Carson Wentz,7.0,13.0,NFL.com
QB,Tom Brady,7.0,12.84,NFL.com
QB,Ryan Tannehill,7.0,12.54,NFL.com
QB,Trevor Siemian,7.0,12.48,NFL.com
QB,Drew Brees,7.0,12.42,NFL.com
QB,Carson Palmer,7.0,12.18,NFL.com
QB,Sam Bradford,7.0,12.06,NFL.com
RB,Jacquizz Rodgers,7.0,21.1,NFL.com
RB,Melvin Gordon,7.0,20.7,NFL.com
RB,DeMarco Murray,7.0,20.1,NFL.com
RB,Knile Davis,7.0,19.7,NFL.com
RB,C.J. Anderson,7.0,19.4,NFL.com
RB,Spencer Ware,7.0,18.1,NFL.com
RB,Zach Zenner,7.0,17.2,NFL.com
RB,Tevin Coleman,7.0,17.1,NFL.com
RB,David Johnson,7.0,17.0,NFL.com
RB,Devonta Freeman,7.0,16.1,NFL.com
RB,Todd Gurley,7.0,15.8,NFL.com
RB,Matt Jones,7.0,13.6,NFL.com
RB,Jeremy Hill,7.0,13.2,NFL.com
RB,Shaun Draughn,7.0,12.8,NFL.com
RB,LeGarrette Blount,7.0,12.6,NFL.com
RB,T.J. Yeldon,7.0,12.2,NFL.com
RB,Jay Ajayi,7.0,11.9,NFL.com
RB,Giovani Bernard,7.0,11.9,NFL.com
RB,James White,7.0,10.9,NFL.com
RB,Bilal Powell,7.0,10.8,NFL.com
RB,Jamaal Charles,7.0,10.7,NFL.com
RB,Le'Veon Bell,7.0,10.4,NFL.com
RB,LeSean McCoy,7.0,9.7,NFL.com
RB,Mark Ingram,7.0,9.3,NFL.com
RB,Chris Ivory,7.0,8.7,NFL.com
WR,Julio Jones,7.0,16.3,NFL.com
WR,Jarvis Landry,7.0,13.9,NFL.com
WR,Odell Beckham,7.0,13.5,NFL.com
WR,T.Y. Hilton,7.0,13.5,NFL.com
WR,Amari Cooper,7.0,13.2,NFL.com
WR,Allen Robinson,7.0,13.2,NFL.com
WR,Alshon Jeffery,7.0,13.1,NFL.com
WR,Cameron Meredith,7.0,12.9,NFL.com
WR,Larry Fitzgerald,7.0,12.8,NFL.com
WR,Brandon Marshall,7.0,12.8,NFL.com
WR,Demaryius Thomas,7.0,12.8,NFL.com
WR,Jordy Nelson,7.0,12.6,NFL.com
WR,Kenny Britt,7.0,12.5,NFL.com
WR,Doug Baldwin,7.0,12.4,NFL.com
WR,Marvin Jones,7.0,12.4,NFL.com
WR,Stefon Diggs,7.0,12.2,NFL.com
WR,Allen Hurns,7.0,12.1,NFL.com
WR,Michael Crabtree,7.0,12.0,NFL.com
WR,Michael Floyd,7.0,12.0,NFL.com
WR,Jordan Matthews,7.0,11.8,NFL.com
WR,Jeremy Kerley,7.0,11.4,NFL.com
WR,Randall Cobb,7.0,11.3,NFL.com
WR,Pierre Garcon,7.0,11.2,NFL.com
WR,Anquan Boldin,7.0,11.1,NFL.com
WR,DeVante Parker,7.0,11.1,NFL.com
TE,Jimmy Graham,7.0,12.4,NFL.com
TE,Jordan Reed,7.0,11.9,NFL.com
TE,Zach Ertz,7.0,11.1,NFL.com
TE,Julius Thomas,7.0,10.5,NFL.com
TE,Richard Rodgers,7.0,9.3,NFL.com
TE,Martellus Bennett,7.0,9.1,NFL.com
TE,Clive Walford,7.0,9.1,NFL.com
TE,C.J. Uzomah,7.0,8.8,NFL.com
TE,Cole Wick,7.0,8.6,NFL.com
TE,Vernon Davis,7.0,8.3,NFL.com
TE,Virgil Green,7.0,7.9,NFL.com
TE,Larry Donnell,7.0,7.7,NFL.com
TE,Jermaine Gresham,7.0,7.6,NFL.com
TE,Marcedes Lewis,7.0,7.4,NFL.com
TE,Austin Hooper,7.0,7.0,NFL.com
TE,Levine Toilolo,7.0,7.0,NFL.com
TE,Anthony Fasano,7.0,6.9,NFL.com
TE,Demetrius Harris,7.0,6.9,NFL.com
TE,Rob Gronkowski,7.0,6.5,NFL.com
TE,Delanie Walker,7.0,5.4,NFL.com
TE,Gary Barnidge,7.0,5.1,NFL.com
TE,Hunter Henry,7.0,4.8,NFL.com
TE,Travis Kelce,7.0,4.4,NFL.com
TE,Coby Fleener,7.0,4.1,NFL.com
TE,Kyle Rudolph,7.0,4.1,NFL.com
K,Mike Nugent,7.0,12.0,NFL.com
K,Cairo Santos,7.0,12.0,NFL.com
K,Roberto Aguayo,7.0,11.0,NFL.com
K,Dan Carpenter,7.0,11.0,NFL.com
K,Phil Dawson,7.0,11.0,NFL.com
K,Dustin Hopkins,7.0,11.0,NFL.com
K,Ryan Succop,7.0,11.0,NFL.com
K,Justin Tucker,7.0,11.0,NFL.com
K,Matt Bryant,7.0,9.0,NFL.com
K,Mason Crosby,7.0,8.0,NFL.com
K,Sebastian Janikowski,7.0,8.0,NFL.com
K,Matt Prater,7.0,8.0,NFL.com
K,Adam Vinatieri,7.0,8.0,NFL.com
K,Brandon McManus,7.0,7.0,NFL.com
K,Nick Novak,7.0,7.0,NFL.com
K,Josh Brown,7.0,5.0,NFL.com
K,Stephen Gostkowski,7.0,5.0,NFL.com
K,Steven Hauschka,7.0,5.0,NFL.com
K,Josh Lambo,7.0,5.0,NFL.com
K,Chris Boswell,7.0,4.0,NFL.com
K,Nick Folk,7.0,4.0,NFL.com
K,Andrew Franks,7.0,4.0,NFL.com
K,Cody Parkey,7.0,4.0,NFL.com
K,Caleb Sturgis,7.0,4.0,NFL.com
K,Greg Zuerlein,7.0,4.0,NFL.com
DEF,Cincinnati Bengals   ,7.0,12.0,NFL.com
DEF,Denver Broncos   ,7.0,12.0,NFL.com
DEF,Arizona Cardinals   ,7.0,12.0,NFL.com
DEF,Houston Texans   ,7.0,12.0,NFL.com
DEF,Buffalo Bills   ,7.0,6.0,NFL.com
DEF,Tampa Bay Buccaneers    ,7.0,6.0,NFL.com
DEF,Indianapolis Colts   ,7.0,6.0,NFL.com
DEF,Miami Dolphins   ,7.0,6.0,NFL.com
DEF,Philadelphia Eagles   ,7.0,6.0,NFL.com
DEF,New York Jets   ,7.0,6.0,NFL.com
DEF,Detroit Lions   ,7.0,6.0,NFL.com
DEF,Green Bay Packers   ,7.0,6.0,NFL.com
DEF,New England Patriots   ,7.0,6.0,NFL.com
DEF,Oakland Raiders   ,7.0,6.0,NFL.com
DEF,Baltimore Ravens   ,7.0,6.0,NFL.com
DEF,Washington Redskins   ,7.0,6.0,NFL.com
DEF,Seattle Seahawks   ,7.0,6.0,NFL.com
DEF,Tennessee Titans   ,7.0,6.0,NFL.com
DEF,Minnesota Vikings    ,7.0,6.0,NFL.com
DEF,San Francisco 49ers   ,7.0,5.0,NFL.com
