position,name,low,mid,high,n
QB,Aaron Rodgers,18.7,20.5,25.0,4
QB,Blake Bortles,18.3,19.8,22.7,4
QB,Matt Ryan,17.7,19.2,20.1,4
QB,Matthew Stafford,17.4,18.8,21.3,4
QB,Alex Smith,15.7,18.6,23.8,4
QB,Tom Brady,12.8,18.5,21.2,4
QB,Kirk Cousins,17.1,18.2,19.8,4
QB,Jameis Winston,15.8,18.0,23.3,4
QB,Andy Dalton,14.6,17.4,18.5,4
QB,Philip Rivers,13.8,17.2,19.9,4
RB,DeMarco Murray,15.3,17.1,20.1,4
QB,Marcus Mariota,15.5,16.6,17.7,4
QB,Tyrod Taylor,14.0,16.4,17.8,4
QB,Colin Kaepernick,14.5,16.3,20.1,4
QB,Derek Carr,14.8,16.2,17.9,4
QB,Andrew Luck,14.9,16.1,17.0,4
QB,Drew Brees,12.4,16.1,18.5,4
QB,Russell Wilson,14.9,15.7,17.8,4
RB,David Johnson,12.9,15.4,17.0,4
WR,Julio Jones,12.5,15.0,16.8,4
QB,Brian Hoyer,10.7,14.8,17.9,4
QB,Joe Flacco,13.2,14.2,15.1,4
QB,Landry Jones,12.4,14.1,16.7,4
RB,Devonta Freeman,12.7,13.9,16.1,4
RB,Melvin Gordon,10.3,13.8,20.7,4
QB,Eli Manning,9.9,13.6,15.6,4
RB,Spencer Ware,11.3,13.6,18.1,4
QB,Geno Smith,11.5,13.5,16.9,4
RB,Le'Veon Bell,10.4,13.5,15.3,4
RB,LeSean McCoy,9.7,13.3,16.1,4
RB,Todd Gurley,11.5,13.2,15.8,4
QB,Carson Wentz,12.9,13.0,13.1,4
WR,Allen Robinson,12.2,13.0,13.5,4
QB,Ryan Tannehill,12.4,12.8,13.2,4
RB,C.J. Anderson,9.7,12.8,19.4,4
WR,Odell Beckham,11.7,12.6,13.5,2
RB,Jacquizz Rodgers,6.1,12.4,21.1,4
QB,Sam Bradford,11.8,12.2,12.7,5
WR,Jordy Nelson,11.7,12.1,12.6,4
WR,Odell Beckham Jr.,12.0,12.1,12.2,2
QB,Carson Palmer,8.3,11.9,13.9,4
QB,Cody Kessler,10.8,11.9,12.9,4
QB,Trevor Siemian,10.6,11.9,13.5,4
WR,Alshon Jeffery,10.3,11.6,13.1,4
WR,T.Y. Hilton,9.1,11.6,13.5,4
WR,Amari Cooper,10.0,11.3,13.2,4
QB,Case Keenum,9.7,11.2,12.1,4
RB,Tevin Coleman,8.8,11.0,17.1,4
