team,age,name,line,ppu,position_yahoo,position,rollup,vorp,yahoo_rank,rp,rp_vorp,rp_arbitrage,round,target
Col,25.0,Nathan MacKinnon,1.0,1.0,C,C,72.4,22.3,1.5,1.0,1.0,0.0,1.0,True
Edm,23.0,Connor McDavid,1.0,1.0,C,C,67.9,17.8,2.0,2.0,2.0,0.0,1.0,True
Was,35.0,Alex Ovechkin,1.0,1.0,LW,LW,65.7,16.4,3.5,1.0,1.0,0.0,1.0,False
NYR,29.0,Artemi Panarin,2.0,1.0,LW,LW,55.4,6.1,4.0,2.5,3.0,-0.5,1.0,True
Edm,25.0,Leon Draisaitl,2.0,1.0,"C,LW",LW,64.1,14.8,4.0,2.5,2.0,0.5,1.0,True
Buf,24.0,Jack Eichel,1.0,1.0,C,C,55.4,5.2,6.0,3.0,6.0,-3.0,1.0,False
Tor,23.0,Auston Matthews,1.0,1.0,C,C,56.2,6.0,7.0,4.0,3.0,1.0,1.0,True
Car,23.0,Sebastian Aho,1.0,1.0,C,C,50.6,0.5,9.0,5.0,8.0,-3.0,1.0,False
TB,26.0,Andrei Vasilevskiy,,,G,G,95.3,35.2,10.0,1.0,1.0,0.0,1.0,True
Pit,33.0,Sidney Crosby,1.0,1.0,C,C,56.0,5.9,10.5,6.0,4.0,2.0,1.0,False
Chi,32.0,Patrick Kane,1.0,1.0,RW,RW,55.6,9.7,10.5,1.0,1.0,0.0,1.0,False
Car,,Andrei Svechnikov,2.0,1.0,"LW,RW",LW,51.2,1.9,12.5,4.0,8.0,-4.0,2.0,False
Bos,32.0,Brad Marchand,1.0,1.0,LW,LW,53.9,4.6,13.5,5.0,5.0,0.0,2.0,False
NYR,27.0,Mika Zibanejad,1.0,1.0,C,C,56.0,5.8,14.0,7.0,5.0,2.0,2.0,True
Col,24.0,Mikko Rantanen,1.0,1.0,RW,RW,53.5,7.6,16.0,2.0,2.0,0.0,2.0,True
Wpg,27.0,Connor Hellebuyck,,,G,G,68.0,7.9,16.0,2.0,6.0,-4.0,2.0,False
Tor,23.0,Mitchell Marner,,,RW,RW,50.6,4.7,17.0,3.0,4.0,-1.0,2.0,True
Van,,Elias Pettersson,1.0,1.0,C,C,46.5,-3.6,20.0,8.0,11.0,-3.0,2.0,False
TB,30.0,Steven Stamkos,1.0,1.0,"LW,RW",LW,53.7,4.4,22.0,6.5,6.0,0.5,2.0,True
Wpg,22.0,Patrik Laine,2.0,1.0,"LW,RW",LW,47.4,-1.9,22.0,6.5,10.0,-3.5,2.0,False
TB,30.0,Victor Hedman,1.0,1.0,D,D,47.5,12.8,23.5,1.0,3.0,-2.0,2.0,False
VGK,32.0,Max Pacioretty,1.0,1.0,LW,LW,55.2,5.9,24.0,8.0,4.0,4.0,3.0,False
Tor,30.0,John Tavares,2.0,1.0,C,C,48.8,-1.3,24.5,9.5,9.0,0.5,3.0,True
TB,24.0,Brayden Point,1.0,1.0,C,C,44.1,-6.0,24.5,9.5,13.0,-3.5,3.0,False
Wpg,34.0,Blake Wheeler,1.0,1.0,"C,RW",RW,51.3,5.4,24.5,4.0,3.0,1.0,3.0,False
Van,,J.T. Miller,1.0,1.0,"LW,RW",RW,50.1,4.2,26.5,5.0,6.0,-1.0,3.0,False
Pit,34.0,Evgeni Malkin,2.0,1.0,C,C,55.1,4.9,27.5,11.0,7.0,4.0,3.0,False
Pit,26.0,Jake Guentzel,1.0,1.0,"LW,RW",RW,47.9,2.0,28.5,6.0,7.0,-1.0,3.0,True
Was,30.0,John Carlson,1.0,1.0,D,D,49.2,14.5,28.5,2.0,2.0,0.0,3.0,True
Cgy,23.0,Matthew Tkachuk,1.0,1.0,"LW,RW",RW,50.5,4.6,29.5,7.0,5.0,2.0,3.0,True
VGK,29.0,Robin Lehner,,,G,G,73.1,12.9,31.5,3.0,3.0,0.0,3.0,True
Nsh,30.0,Roman Josi,1.0,1.0,D,D,50.7,16.0,33.5,3.0,1.0,2.0,3.0,True
Bos,33.0,Tuukka Rask,,,G,G,69.6,9.4,34.0,4.0,5.0,-1.0,3.0,False
Fla,27.0,Jonathan Huberdeau,1.0,1.0,LW,LW,46.1,-3.2,35.5,9.0,11.0,-2.0,3.0,False
StL,27.0,Jordan Binnington,,,G,G,67.1,6.9,36.0,5.0,7.0,-2.0,4.0,False
Bos,24.0,David Pastrnak,,,RW,RW,40.6,-5.3,37.0,8.0,15.5,-7.5,4.0,False
Col,28.0,Gabriel Landeskog,2.0,2.0,"C,LW",LW,48.3,-1.0,38.5,10.0,9.0,1.0,4.0,True
Was,,Ilya Samsonov,,,G,G,58.3,-1.8,38.5,6.0,12.0,-6.0,4.0,False
Ott,,Brady Tkachuk,1.0,1.0,LW,LW,53.3,4.0,39.5,11.0,7.0,4.0,4.0,False
