team,age,name,position_yahoo,position,rollup,vorp,adp,pr_vorp,pr_adp,pr_arbitrage,round
Edm,23.0,Connor McDavid,C,C,61.9,13.7,1.6,2.0,1.0,-1.0,1.0
Col,25.0,Nathan MacKinnon,C,C,63.5,15.3,2.5,1.0,2.0,1.0,1.0
Edm,25.0,Leon Draisaitl,"C,LW",C,58.9,10.7,3.6,3.0,3.0,0.0,1.0
NYR,29.0,Artemi Panarin,LW,LW,48.7,2.5,5.2,5.0,1.0,-4.0,1.0
Was,35.0,Alex Ovechkin,LW,LW,59.3,13.1,5.5,1.0,2.0,1.0,1.0
Tor,23.0,Auston Matthews,C,C,55.2,7.0,6.7,4.0,4.0,0.0,1.0
TB,26.0,Andrei Vasilevskiy,G,G,96.1,33.7,7.6,1.0,1.0,0.0,1.0
Buf,24.0,Jack Eichel,C,C,53.1,4.9,8.2,6.0,5.0,-1.0,1.0
Chi,32.0,Patrick Kane,RW,RW,49.7,5.7,10.1,2.0,1.0,-1.0,1.0
Car,23.0,Sebastian Aho,C,C,46.5,-1.7,11.4,12.0,6.0,-6.0,1.0
Pit,33.0,Sidney Crosby,C,C,52.7,4.5,13.0,7.0,7.0,0.0,2.0
Col,24.0,Mikko Rantanen,RW,RW,51.0,7.0,15.1,1.0,2.0,1.0,2.0
TB,30.0,Victor Hedman,D,D,51.6,9.9,16.0,3.0,1.0,-2.0,2.0
Wpg,27.0,Connor Hellebuyck,G,G,77.9,15.6,16.8,2.0,2.0,0.0,2.0
NYR,27.0,Mika Zibanejad,C,C,55.0,6.8,17.9,5.0,8.0,3.0,2.0
Tor,23.0,Mitchell Marner,RW,RW,45.2,1.2,18.1,5.0,3.0,-2.0,2.0
TB,24.0,Brayden Point,C,C,43.1,-5.1,19.3,16.0,9.0,-7.0,2.0
Was,30.0,John Carlson,D,D,55.7,14.0,21.7,1.0,2.0,1.0,2.0
Bos,32.0,Brad Marchand,LW,LW,49.3,3.0,22.6,4.0,3.0,-1.0,2.0
TB,30.0,Steven Stamkos,"LW,RW",LW,51.0,4.8,23.8,2.0,4.0,2.0,2.0
Pit,26.0,Jake Guentzel,"LW,RW",RW,45.6,1.6,25.9,4.0,4.0,0.0,3.0
Fla,27.0,Jonathan Huberdeau,LW,LW,45.0,-1.2,26.5,7.0,5.0,-2.0,3.0
Wpg,22.0,Patrik Laine,"LW,RW",LW,42.7,-3.5,28.0,10.0,6.0,-4.0,3.0
Pit,34.0,Evgeni Malkin,C,C,51.2,3.0,28.5,8.0,10.0,2.0,3.0
Tor,30.0,John Tavares,C,C,47.3,-0.9,30.2,11.0,11.0,0.0,3.0
Nsh,30.0,Roman Josi,D,D,54.3,12.6,32.7,2.0,3.0,1.0,3.0
Cgy,23.0,Matthew Tkachuk,"LW,RW",LW,46.3,0.1,32.9,6.0,7.0,1.0,3.0
Bos,33.0,Tuukka Rask,G,G,66.2,3.9,33.1,8.0,3.0,-5.0,3.0
VGK,29.0,Robin Lehner,G,G,69.4,7.1,35.0,4.0,4.0,0.0,3.0
Col,28.0,Gabriel Landeskog,"C,LW",C,47.4,-0.8,36.0,10.0,12.0,2.0,4.0
Wpg,34.0,Blake Wheeler,"C,RW",C,50.2,2.0,37.4,9.0,13.0,4.0,4.0
VGK,32.0,Max Pacioretty,LW,LW,49.5,3.3,38.6,3.0,8.0,5.0,4.0
VGK,28.0,Mark Stone,RW,RW,47.1,3.1,39.1,3.0,5.0,2.0,4.0
StL,27.0,Jordan Binnington,G,G,72.2,9.9,40.3,3.0,5.0,2.0,4.0
Fla,25.0,Aleksander Barkov,C,C,44.1,-4.1,40.4,14.0,14.0,0.0,4.0
Bos,35.0,Patrice Bergeron,C,C,45.6,-2.6,41.8,13.0,15.0,2.0,4.0
Bos,24.0,David Pastrnak,RW,RW,39.5,-4.5,43.4,11.0,6.0,-5.0,4.0
Car,27.0,Dougie Hamilton,D,D,47.3,5.7,43.5,8.0,4.0,-4.0,4.0
Wpg,27.0,Mark Scheifele,C,C,41.8,-6.4,43.5,17.5,16.0,-1.5,4.0
Cgy,27.0,Johnny Gaudreau,"LW,RW",RW,42.4,-1.6,47.6,6.0,7.0,1.0,4.0
Mon,33.0,Carey Price,G,G,56.8,-5.5,49.0,11.0,6.0,-5.0,5.0
Tor,31.0,Frederik Andersen,G,G,69.3,7.0,52.5,5.0,7.0,2.0,5.0
Buf,29.0,Taylor Hall,LW,LW,44.5,-1.7,53.5,8.0,9.0,1.0,5.0
SJ,35.0,Brent Burns,D,D,49.8,8.1,53.8,4.0,5.0,1.0,5.0
VGK,30.0,Alex Pietrangelo,D,D,47.7,6.0,56.8,6.0,6.0,0.0,5.0
StL,29.0,Ryan O'Reilly,C,C,39.5,-8.7,62.4,23.0,17.0,-6.0,6.0
Tor,26.0,Morgan Rielly,D,D,42.2,0.6,64.2,20.0,7.0,-13.0,6.0
Was,28.0,Evgeny Kuznetsov,C,C,37.8,-10.4,64.3,28.0,18.0,-10.0,6.0
Phi,28.0,Sean Couturier,C,C,39.9,-8.3,64.4,22.0,19.0,-3.0,6.0
Pit,25.0,Tristan Jarry,G,G,52.7,-9.6,64.9,15.0,8.0,-7.0,6.0
Phi,32.0,Claude Giroux,"C,LW",C,40.2,-8.0,66.5,21.0,20.0,-1.0,6.0
Ari,30.0,Darcy Kuemper,G,G,54.9,-7.4,66.7,13.0,9.0,-4.0,6.0
Wpg,24.0,Kyle Connor,LW,LW,39.7,-6.5,67.1,17.0,10.0,-7.0,6.0
Cgy,26.0,Elias Lindholm,"C,RW",RW,42.3,-1.7,68.9,7.0,8.0,1.0,6.0
Pit,33.0,Kris Letang,D,D,47.4,5.8,70.4,7.0,8.0,1.0,6.0
Nsh,26.0,Filip Forsberg,LW,LW,40.0,-6.2,71.0,14.0,11.0,-3.0,6.0
Mon,28.0,Brendan Gallagher,RW,RW,39.3,-4.7,71.4,12.0,9.0,-3.0,6.0
StL,29.0,Torey Krug,D,D,46.1,4.4,71.6,9.0,9.0,0.0,6.0
Edm,27.0,Ryan Nugent-Hopkins,"C,LW",C,43.6,-4.6,73.1,15.0,21.0,6.0,7.0
Dal,34.0,Anton Khudobin,G,G,68.9,6.5,75.5,6.0,10.0,4.0,7.0
Col,29.0,Philipp Grubauer,G,G,68.4,6.0,76.3,7.0,11.0,4.0,7.0
Van,23.0,Brock Boeser,RW,RW,35.2,-8.8,76.7,21.0,10.0,-11.0,7.0
SJ,29.0,Evander Kane,LW,LW,43.1,-3.2,77.6,9.0,12.0,3.0,7.0
StL,29.0,Brayden Schenn,"C,RW",C,41.3,-6.9,78.5,19.5,22.0,2.5,7.0
Wpg,25.0,Neal Pionk,D,D,47.8,6.1,83.3,5.0,10.0,5.0,7.0
Tor,24.0,William Nylander,"LW,RW",LW,36.5,-9.7,83.9,22.0,13.0,-9.0,7.0
Cls,26.0,Seth Jones,D,D,42.6,0.9,84.4,19.0,11.0,-8.0,8.0
