team,age,name,line,ppu,position_yahoo,position,rollup,vorp,yahoo_rank,rp,rp_vorp,rp_arbitrage,round
Col,25.0,Nathan MacKinnon,1.0,1.0,C,C,74.1,19.0,1.5,1.0,1.0,0.0,1.0
Edm,23.0,Connor McDavid,1.0,1.0,C,C,69.6,14.5,2.0,2.0,2.0,0.0,1.0
Was,35.0,Alex Ovechkin,1.0,1.0,LW,LW,67.3,13.6,3.5,1.5,1.5,0.0,1.0
Was,35.0,Alex Ovechkin,1.0,2.0,LW,LW,67.3,13.6,3.5,1.5,1.5,0.0,1.0
NYR,29.0,Artemi Panarin,2.0,1.0,LW,LW,63.3,9.6,4.0,3.5,4.0,-0.5,1.0
Edm,25.0,Leon Draisaitl,2.0,1.0,"C,LW",C,65.9,10.8,4.0,3.0,3.0,0.0,1.0
Edm,25.0,Leon Draisaitl,2.0,1.0,"C,LW",LW,65.9,12.2,4.0,3.5,3.0,0.5,1.0
Buf,24.0,Jack Eichel,1.0,1.0,C,C,58.3,3.2,6.0,4.0,7.0,-3.0,1.0
Tor,23.0,Auston Matthews,1.0,1.0,C,C,63.0,7.9,7.0,5.0,4.0,1.0,1.0
Car,23.0,Sebastian Aho,1.0,1.0,C,C,56.9,1.8,9.0,6.0,9.0,-3.0,1.0
TB,26.0,Andrei Vasilevskiy,,,G,G,95.3,33.0,10.0,1.0,1.0,0.0,1.0
Chi,32.0,Patrick Kane,1.0,1.0,RW,RW,58.7,7.7,10.5,1.0,2.0,-1.0,1.0
Pit,33.0,Sidney Crosby,1.0,1.0,C,C,58.6,3.5,10.5,7.0,6.0,1.0,1.0
Car,,Andrei Svechnikov,2.0,1.0,"LW,RW",RW,55.5,4.5,12.5,2.0,4.0,-2.0,2.0
Car,,Andrei Svechnikov,2.0,1.0,"LW,RW",LW,55.5,1.8,12.5,5.0,8.0,-3.0,2.0
Bos,32.0,Brad Marchand,1.0,1.0,LW,LW,59.7,5.9,13.5,6.0,5.0,1.0,2.0
NYR,27.0,Mika Zibanejad,1.0,1.0,C,C,61.5,6.5,14.0,8.0,5.0,3.0,2.0
Wpg,27.0,Connor Hellebuyck,,,G,G,69.4,7.1,16.0,2.0,6.0,-4.0,2.0
Col,24.0,Mikko Rantanen,1.0,1.0,RW,RW,58.2,7.2,16.0,3.0,3.0,0.0,2.0
Tor,23.0,Mitchell Marner,,,RW,RW,53.1,2.1,17.0,4.0,10.0,-6.0,2.0
Van,,Elias Pettersson,1.0,1.0,C,C,53.7,-1.4,20.0,9.0,12.5,-3.5,2.0
TB,30.0,Steven Stamkos,1.0,1.0,"LW,RW",LW,59.5,5.8,22.0,7.5,6.0,1.5,2.0
Wpg,22.0,Patrik Laine,2.0,1.0,"LW,RW",RW,52.0,0.9,22.0,5.5,11.0,-5.5,2.0
Wpg,22.0,Patrik Laine,2.0,1.0,"LW,RW",LW,52.0,-1.8,22.0,7.5,14.0,-6.5,2.0
TB,30.0,Steven Stamkos,1.0,1.0,"LW,RW",RW,59.5,8.5,22.0,5.5,1.0,4.5,2.0
TB,30.0,Victor Hedman,1.0,1.0,D,D,54.0,13.9,23.5,1.0,2.0,-1.0,2.0
VGK,32.0,Max Pacioretty,1.0,1.0,LW,LW,59.3,5.6,24.0,9.0,7.0,2.0,3.0
Wpg,34.0,Blake Wheeler,1.0,1.0,"C,RW",RW,53.5,2.5,24.5,7.0,8.0,-1.0,3.0
Tor,30.0,John Tavares,2.0,1.0,C,C,53.0,-2.1,24.5,11.0,15.0,-4.0,3.0
TB,24.0,Brayden Point,1.0,1.0,C,C,53.7,-1.4,24.5,11.0,12.5,-1.5,3.0
Wpg,34.0,Blake Wheeler,1.0,1.0,"C,RW",C,53.5,-1.6,24.5,11.0,14.0,-3.0,3.0
Van,,J.T. Miller,1.0,1.0,"LW,RW",LW,55.2,1.5,26.5,10.0,9.0,1.0,3.0
Van,,J.T. Miller,1.0,1.0,"LW,RW",RW,55.2,4.2,26.5,8.0,5.0,3.0,3.0
Pit,34.0,Evgeni Malkin,2.0,1.0,C,C,58.1,3.0,27.5,13.0,8.0,5.0,3.0
Pit,26.0,Jake Guentzel,1.0,1.0,"LW,RW",RW,53.8,2.8,28.5,9.0,7.0,2.0,3.0
Pit,26.0,Jake Guentzel,1.0,1.0,"LW,RW",LW,53.8,0.1,28.5,11.0,12.0,-1.0,3.0
Was,30.0,John Carlson,1.0,1.0,D,D,51.7,11.6,28.5,2.0,4.0,-2.0,3.0
Cgy,23.0,Matthew Tkachuk,1.0,1.0,"LW,RW",LW,54.5,0.8,29.5,12.0,10.0,2.0,3.0
Cgy,23.0,Matthew Tkachuk,1.0,1.0,"LW,RW",RW,54.5,3.5,29.5,10.0,6.0,4.0,3.0
VGK,29.0,Robin Lehner,,,G,G,74.6,12.3,31.5,3.0,3.0,0.0,3.0
Nsh,30.0,Roman Josi,1.0,1.0,D,D,54.7,14.6,33.5,3.0,1.0,2.0,3.0
Bos,33.0,Tuukka Rask,,,G,G,71.5,9.2,34.0,4.0,5.0,-1.0,3.0
Fla,27.0,Jonathan Huberdeau,1.0,1.0,LW,LW,49.9,-3.9,35.5,13.0,18.0,-5.0,3.0
StL,27.0,Jordan Binnington,,,G,G,68.3,6.0,36.0,5.0,7.0,-2.0,4.0
Bos,24.0,David Pastrnak,,,RW,RW,47.8,-3.3,37.0,11.0,15.0,-4.0,4.0
Col,28.0,Gabriel Landeskog,2.0,2.0,"C,LW",C,54.2,-0.9,38.5,14.0,11.0,3.0,4.0
Was,,Ilya Samsonov,,,G,G,57.8,-4.5,38.5,6.0,14.0,-8.0,4.0
Col,28.0,Gabriel Landeskog,2.0,2.0,"C,LW",LW,54.2,0.5,38.5,14.0,11.0,3.0,4.0
Ott,,Brady Tkachuk,1.0,1.0,LW,LW,53.1,-0.6,39.5,15.0,13.0,2.0,4.0
Bos,35.0,Patrice Bergeron,1.0,1.0,C,C,54.3,-0.8,40.5,15.0,10.0,5.0,4.0
Car,,Teuvo Teravainen,1.0,1.0,"LW,RW",RW,50.4,-0.6,41.5,12.0,12.0,0.0,4.0
Car,,Teuvo Teravainen,1.0,1.0,"LW,RW",LW,50.4,-3.4,41.5,16.0,16.5,-0.5,4.0
Phi,,Carter Hart,,,G,G,66.1,3.8,43.0,7.0,8.0,-1.0,4.0
Car,27.0,Dougie Hamilton,1.0,1.0,D,D,51.8,11.8,45.5,4.0,3.0,1.0,4.0
Cgy,27.0,Johnny Gaudreau,2.0,1.0,"LW,RW",RW,50.3,-0.7,46.5,13.0,13.0,0.0,4.0
Cgy,27.0,Johnny Gaudreau,2.0,1.0,"LW,RW",LW,50.3,-3.4,46.5,17.0,16.5,0.5,4.0
