position,name,ros_total,ros_mean,week_points
DEF,Arizona Cardinals  ,51.0,5.1,12.0
DEF,Atlanta Falcons  ,52.0,4.7272727272727275,4.0
DEF,Baltimore Ravens  ,60.0,5.0,4.0
DEF,Buffalo Bills  ,56.0,5.6,6.0
DEF,Carolina Panthers  ,68.0,6.181818181818182,NA
DEF,Chicago Bears  ,47.0,4.7,2.0
DEF,Cincinnati Bengals  ,65.0,6.5,12.0
DEF,Cleveland Browns  ,49.0,4.9,4.0
DEF,Dallas Cowboys   ,63.0,5.25,NA
DEF,Denver Broncos   ,61.0,6.1,12.0
DEF,Detroit Lions   ,60.0,6.0,4.0
DEF,Green Bay Packers  ,66.0,6.0,6.0
DEF,Houston Texans   ,63.0,6.3,12.0
DEF,Indianapolis Colts   ,54.0,4.909090909090909,6.0
DEF,Jacksonville Jaguars   ,65.0,5.416666666666667,5.0
DEF,Kansas City Chiefs   ,66.0,6.0,1.0
DEF,Los Angeles Rams   ,58.0,5.8,11.0
DEF,Miami Dolphins   ,53.0,5.3,6.0
DEF,Minnesota Vikings    ,63.0,5.7272727272727275,6.0
DEF,New England Patriots   ,58.0,5.8,6.0
DEF,New Orleans Saints   ,67.0,5.583333333333333,2.0
DEF,New York Giants   ,53.0,5.3,4.0
DEF,New York Jets   ,61.0,5.545454545454546,6.0
DEF,Oakland Raiders   ,65.0,6.5,4.0
DEF,Philadelphia Eagles   ,70.0,5.833333333333333,6.0
DEF,Pittsburgh Steelers   ,62.0,6.2,1.0
DEF,San Diego Chargers    ,56.0,5.6,3.0
DEF,San Francisco 49ers   ,42.0,4.2,5.0
DEF,Seattle Seahawks   ,64.0,5.818181818181818,6.0
DEF,Tampa Bay Buccaneers    ,55.0,5.0,6.0
DEF,Tennessee Titans   ,62.0,6.2,6.0
DEF,Washington Redskins   ,52.0,5.2,6.0
K,Adam Vinatieri,58.0,5.2727272727272725,8.0
K,Andrew Franks,53.0,5.3,4.0
K,Blair Walsh,70.0,6.363636363636363,2.0
K,Brandon McManus,56.0,5.6,7.0
K,Cairo Santos,83.0,7.545454545454546,12.0
K,Caleb Sturgis,63.0,5.7272727272727275,4.0
K,Chandler Catanzaro,60.0,6.0,1.0
K,Chris Boswell,79.0,7.9,4.0
K,Cody Parkey,4.0,0.4,4.0
K,Connor Barth,54.0,4.909090909090909,2.0
K,Dan Bailey,67.0,6.7,NA
K,Dan Carpenter,71.0,5.916666666666667,14.0
K,Dustin Hopkins,55.0,5.5,11.0
K,Graham Gano,60.0,6.0,NA
K,Greg Zuerlein,58.0,5.8,4.0
K,Jason Myers,61.0,5.545454545454546,2.0
K,Josh Brown,68.0,6.8,5.0
K,Josh Lambo,54.0,4.909090909090909,5.0
K,Justin Tucker,61.0,6.1,11.0
K,Ka'imi Fairbairn,0.0,0.0,0.0
K,Mason Crosby,62.0,5.166666666666667,5.0
K,Matt Bryant,56.0,5.6,8.0
K,Matt Prater,67.0,5.583333333333333,5.0
K,Mike Nugent,63.0,6.3,12.0
K,Nick Folk,70.0,6.363636363636363,5.0
K,Nick Novak,62.0,6.2,7.0
K,Patrick Murray,0.0,0.0,0.0
K,Phil Dawson,67.0,6.090909090909091,11.0
K,Roberto Aguayo,70.0,6.363636363636363,11.0
K,Ryan Succop,58.0,5.8,11.0
K,Sebastian Janikowski,57.0,5.7,5.0
K,Stephen Gostkowski,68.0,6.8,2.0
K,Steven Hauschka,70.0,6.363636363636363,5.0
K,Wil Lutz,70.0,5.833333333333333,2.0
QB,Aaron Rodgers,170.9,15.536363636363637,15.02
QB,AJ McCarron,5.04,0.56,0.52
QB,Alex Smith,177.36,16.123636363636365,23.82
QB,Andrew Luck,158.57999999999998,15.858,14.8
QB,Andy Dalton,156.14000000000001,15.614,14.56
QB,Ben Roethlisberger,147.1,16.344444444444445,NA
QB,Blaine Gabbert,121.0,12.1,NA
QB,Blake Bortles,171.68,14.306666666666667,22.72
QB,Brett Hundley,2.66,0.38,0.38
QB,Brian Hoyer,17.58,1.9533333333333334,10.66
QB,Brock Osweiler,124.72,12.472,8.48
QB,Cam Newton,193.06,19.306,NA
QB,Carson Palmer,172.58,14.381666666666666,12.1
QB,Carson Wentz,178.24,14.853333333333333,13.28
QB,Case Keenum,113.92,11.392,12.0
QB,Chad Henne,0.9600000000000001,0.24000000000000002,0.28
