name,team,position,pick
Connor McDavid,Edm,C,1.6
Nathan MacKinnon,Col,C,2.5
Leon Draisaitl,Edm,"C,LW",3.6
Artemi Panarin,NYR,LW,5.2
Alex Ovechkin,Was,LW,5.5
Auston Matthews,Tor,C,6.8
Andrei Vasilevskiy,TB,G,7.6
Jack Eichel,Buf,C,8.3
Nikita Kucherov,TB,RW,9.2
Patrick Kane,Chi,RW,10.1
Sebastian Aho,Car,C,11.6
Sidney Crosby,Pit,C,13.3
Mikko Rantanen,Col,RW,15.1
Victor Hedman,TB,D,15.8
Elias Pettersson,Van,C,16.7
Andrei Svechnikov,Car,"LW,RW",16.8
Connor Hellebuyck,Wpg,G,16.9
Mika Zibanejad,NYR,C,18.1
Mitchell Marner,Tor,RW,18.1
Brayden Point,TB,C,19.0
John Carlson,Was,D,21.7
Brad Marchand,Bos,LW,23.0
Steven Stamkos,TB,"LW,RW",24.0
Jake Guentzel,Pit,"LW,RW",26.2
Jonathan Huberdeau,Fla,LW,26.2
Patrik Laine,Wpg,"LW,RW",28.4
Evgeni Malkin,Pit,C,28.5
John Tavares,Tor,C,30.3
Roman Josi,Nsh,D,32.8
Matthew Tkachuk,Cgy,"LW,RW",33.2
Tuukka Rask,Bos,G,33.2
Cale Makar,Col,D,33.5
Carter Hart,Phi,G,34.2
Robin Lehner,VGK,G,34.9
Gabriel Landeskog,Col,"C,LW",35.9
Blake Wheeler,Wpg,"C,RW",37.8
Mark Stone,VGK,RW,38.6
Max Pacioretty,VGK,LW,39.0
Aleksander Barkov,Fla,C,39.7
Jordan Binnington,StL,G,40.6
J.T. Miller,Van,"LW,RW",41.8
Patrice Bergeron,Bos,C,41.8
Teuvo Teravainen,Car,"LW,RW",43.1
Mark Scheifele,Wpg,C,43.1
Ilya Samsonov,Was,G,43.2
Dougie Hamilton,Car,D,43.6
David Pastrnak,Bos,RW,43.6
Johnny Gaudreau,Cgy,"LW,RW",47.6
Carey Price,Mon,G,49.2
Brady Tkachuk,Ott,LW,49.4
Igor Shesterkin,NYR,G,50.2
Frederik Andersen,Tor,G,53.1
Taylor Hall,Buf,LW,53.5
Brent Burns,SJ,D,54.1
Alex Pietrangelo,VGK,D,56.6
Ryan O'Reilly,StL,C,62.7
Evgeny Kuznetsov,Was,C,64.1
Morgan Rielly,Tor,D,64.1
Quinn Hughes,Van,D,64.1
Sean Couturier,Phi,C,64.8
Tristan Jarry,Pit,G,65.5
Claude Giroux,Phi,"C,LW",67.0
Darcy Kuemper,Ari,G,67.4
Kyle Connor,Wpg,LW,67.6
Elias Lindholm,Cgy,"C,RW",69.5
Kris Letang,Pit,D,70.6
Torey Krug,StL,D,71.0
Filip Forsberg,Nsh,LW,71.2
Brendan Gallagher,Mon,RW,72.3
Ryan Nugent-Hopkins,Edm,"C,LW",72.9
Miro Heiskanen,Dal,D,73.7
Philipp Grubauer,Col,G,74.9
Brock Boeser,Van,RW,75.2
Anton Khudobin,Dal,G,76.2
Evander Kane,SJ,LW,78.1
Zach Werenski,Cls,D,79.2
Brayden Schenn,StL,"C,RW",79.3
Jacob Markstrom,Cgy,G,80.1
Marc-Andre Fleury,VGK,G,82.2
Neal Pionk,Wpg,D,84.0
Seth Jones,Cls,D,84.0
William Nylander,Tor,"LW,RW",84.3
Erik Karlsson,SJ,D,84.6
Travis Konecny,Phi,RW,85.4
Mathew Barzal,NYI,C,85.4
Mike Hoffman,StL,"LW,RW",86.2
Rasmus Dahlin,Buf,D,90.1
Timo Meier,SJ,"LW,RW",90.3
Petr Mrazek,Car,G,91.7
Tom Wilson,Was,RW,91.9
Shea Theodore,VGK,D,92.4
Shea Weber,Mon,D,93.1
Pierre-Luc Dubois,Cls,C,95.2
Ivan Provorov,Phi,D,98.3
Pavel Francouz,Col,G,99.3
Alex DeBrincat,Chi,"LW,RW",99.3
Jonathan Marchessault,VGK,"C,LW",99.4
John Klingberg,Dal,D,100.8
Kevin Fiala,Min,"LW,RW",101.8
Tyson Barrie,Edm,D,102.2
Braden Holtby,Van,G,103.4
Tony DeAngelo,NYR,D,104.5
Kailer Yamamoto,Edm,RW,105.7
Anders Lee,NYI,LW,108.3
Jeff Petry,Mon,D,109.7
Jakub Vrana,Was,LW,111.1
Charlie McAvoy,Bos,D,112.0
Elvis Merzlikins,Cls,G,113.6
Kyle Palmieri,NJ,RW,114.6
Thomas Chabot,Ott,D,115.7
