position,name,low,mid,high,n
TE,A.J. Derby,0.0,0.0,0.0,2
WR,A.J. Green,8.0,11.3,12.8,4
RB,Aaron Ripkowski,0.0,0.7,1.2,4
QB,Aaron Rodgers,19.0,20.0,21.1,4
WR,Adam Humphries,4.2,5.3,6.0,4
WR,Adam Thielen,4.0,4.6,5.2,4
K,Adam Vinatieri,1.0,5.8,9.0,3
RB,Adrian Peterson,0.0,0.0,0.0,2
QB,AJ McCarron,0.4,0.7,1.4,3
RB,Akeem Hunt,0.0,0.0,0.0,3
WR,Albert Wilson,2.6,3.0,3.8,4
WR,Aldrick Robinson,1.1,1.7,2.2,4
RB,Alex Collins,0.0,0.6,1.1,4
WR,Alex Erickson,0.0,0.3,0.5,4
QB,Alex Smith,15.8,16.1,16.5,4
QB,Alex Tanney,0.0,0.0,0.0,2
RB,Alfred Blue,1.6,2.7,3.8,4
RB,Alfred Morris,2.0,3.0,3.9,4
WR,Allen Hurns,6.6,8.4,12.0,4
WR,Allen Robinson,10.1,11.1,12.9,4
WR,Alshon Jeffery,6.4,7.9,8.8,4
WR,Amari Cooper,6.9,9.8,11.3,4
RB,Ameer Abdullah,0.0,0.0,0.0,2
RB,Andre Ellington,1.5,2.3,3.2,4
WR,Andre Holmes,1.0,1.9,2.7,4
WR,Andre Johnson,2.1,2.8,3.2,4
WR,Andre Roberts,1.2,1.4,1.6,4
RB,Andre Williams,0.0,0.0,0.0,3
WR,Andrew Hawkins,2.7,3.2,3.6,4
QB,Andrew Luck,17.4,17.6,17.8,4
QB,Andy Dalton,14.4,15.8,17.8,4
RB,Andy Janovich,0.0,0.5,0.9,4
WR,Andy Jones,0.0,0.0,0.0,3
WR,Anquan Boldin,4.9,6.2,6.8,4
TE,Anthony Fasano,0.6,2.6,7.0,4
RB,Anthony Sherman,0.0,0.2,0.3,4
RB,Antone Smith,0.9,1.3,1.7,4
RB,Antonio Andrews,0.0,0.8,1.9,4
TE,Antonio Gates,3.9,5.4,6.9,4
DEF,Arizona Cardinals,4.0,8.6,12.5,3
WR,Arrelious Benn,0.0,0.5,1.0,2
DEF,Atlanta Falcons,6.0,6.2,6.4,3
QB,Austin Davis,0.0,0.0,0.0,2
TE,Austin Hooper,0.6,1.4,2.1,4
TE,Austin Seferian-Jenkins,1.3,1.8,2.5,3
TE,Ben Koyack,0.0,0.2,0.4,2
WR,Bennie Fowler,1.6,3.4,7.7,4
RB,Bilal Powell,3.6,5.8,7.6,4
RB,Bishop Sankey,0.0,0.0,0.0,3
K,Blair Walsh,7.4,8.0,8.7,3
QB,Blake Bortles,14.5,15.0,15.9,4
RB,Branden Oliver,0.0,0.0,0.0,2
WR,Brandin Cooks,9.0,10.6,13.0,4
RB,Brandon Bolden,0.0,1.1,2.0,4
TE,Brandon Bostick,0.0,0.3,0.5,2
WR,Brandon Coleman,0.6,1.8,3.5,4
WR,Brandon Gibson,0.0,0.3,0.6,2
WR,Brandon LaFell,5.2,7.3,10.5,4
WR,Brandon Marshall,6.8,10.0,11.8,4
K,Brandon McManus,7.4,9.1,11.0,3
TE,Brandon Myers,0.6,2.6,7.2,4
TE,Brandon Pettigrew,0.0,0.4,0.9,2
WR,Brandon Tate,0.0,0.8,1.7,4
QB,Brandon Weeden,0.0,0.0,0.0,2
RB,Brandon Wilds,0.0,0.0,0.0,3
TE,Brandon Williams,0.5,0.6,0.7,2
WR,Braxton Miller,1.2,2.1,2.6,4
TE,Brent Celek,0.0,1.4,2.7,4
WR,Brenton Bersin,0.0,0.3,0.5,4
QB,Brett Hundley,0.0,0.1,0.3,3
WR,Brice Butler,0.0,1.7,2.8,4
WR,Brittan Golden,0.0,0.3,0.5,4
QB,Brock Osweiler,13.1,14.7,16.0,4
WR,Bryan Walters,0.0,0.7,1.4,3
WR,Bryce Treggs,0.0,0.5,1.4,3
DEF,Buffalo Bills,3.0,4.8,5.9,3
RB,C.J. Anderson,7.0,12.9,21.2,3
TE,C.J. Fiedorowicz,2.7,4.5,6.9,4
RB,C.J. Prosise,2.0,3.1,4.2,4
RB,C.J. Spiller,0.0,1.4,2.3,4
TE,C.J. Uzomah,0.6,1.2,1.7,4
K,Cairo Santos,8.0,8.2,8.5,3
K,Caleb Sturgis,5.0,6.8,8.2,3
QB,Cam Newton,12.6,17.2,21.0,4
RB,Cameron Artis-Payne,0.0,1.7,4.2,3
TE,Cameron Brate,4.0,6.3,7.4,4
WR,Cameron Meredith,3.8,7.2,11.9,4
DEF,Carolina Panthers,6.0,7.2,8.3,3
QB,Carson Palmer,10.7,14.4,17.8,5
QB,Carson Wentz,13.0,14.3,15.1,4
WR,Cecil Shorts,1.6,3.0,5.5,3
RB,Cedric Peerman,0.0,0.0,0.0,3
QB,Chad Henne,0.0,0.1,0.3,3
K,Chandler Catanzaro,5.0,6.4,7.2,3
RB,Charcandrick West,0.6,2.5,5.2,4
TE,Charles Clay,4.7,6.4,10.0,4
WR,Charles Johnson,0.0,1.3,2.7,4
RB,Charles Sims,0.0,0.0,0.0,2
WR,Charone Peake,0.5,1.4,2.2,4
TE,Chase Coffman,0.0,0.4,1.0,4
QB,Chase Daniel,-0.0,0.1,0.3,4
WR,Chester Rogers,0.0,2.1,3.6,4
DEF,Chicago Bears,3.0,5.0,6.1,3
WR,Chris Conley,3.3,3.9,4.2,4
WR,Chris Givens,0.0,0.0,0.0,2
WR,Chris Hogan,3.2,4.6,5.8,4
RB,Chris Ivory,3.8,4.9,7.0,4
RB,Chris Johnson,0.0,0.0,0.0,3
RB,Chris Polk,0.0,1.2,2.4,2
RB,Chris Thompson,5.0,7.2,10.9,4
QB,Christian Hackenberg,0.5,2.0,3.4,2
RB,Christine Michael,10.9,13.3,15.2,4
DEF,Cincinnati Bengals,2.0,4.5,7.0,3
TE,Clark Harris,0.0,0.0,0.0,2
TE,Clay Harbor,0.4,1.6,3.2,4
DEF,Cleveland Browns,5.0,6.3,7.0,3
TE,Clive Walford,2.7,3.6,4.8,4
TE,Coby Fleener,4.2,5.3,6.7,4
WR,Cody Core,0.0,0.2,0.6,4
QB,Cody Kessler,10.3,10.7,11.0,2
