source,fetched_at,team,position,name,goals,assists,plus_minus,powerplay_points,shots_on_goal,hits,blocks,wins,saves,save_percentage,goals_against_average,shutouts
CBS,2021-01-07 08:20:41.125491,EDM,C,Connor McDavid,35.63,57.94,-0.39,18.15,177.9,,,,,,,
CBS,2021-01-07 08:20:41.125491,EDM,C,Leon Draisaitl,38.43,54.84,0.13,16.61,163.88,,,,,,,
CBS,2021-01-07 08:20:41.125491,NYR,C,Mika Zibanejad,43.12,32.82,8.82,14.55,198.87,,,,,,,
CBS,2021-01-07 08:20:41.125491,COL,C,Nathan MacKinnon,31.1,49.68,3.11,16.39,286.68,,,,,,,
CBS,2021-01-07 08:20:41.125491,PIT,C,Evgeni Malkin,24.28,46.62,-0.69,14.14,187.8,,,,,,,
CBS,2021-01-07 08:20:41.125491,TOR,C,Auston Matthews,38.5,27.92,9.74,12.8,246.95,,,,,,,
CBS,2021-01-07 08:20:41.125491,PIT,C,Sidney Crosby,23.43,41.36,-5.04,13.62,157.96,,,,,,,
CBS,2021-01-07 08:20:41.125491,VAN,C,J.T. Miller,22.46,35.3,4.23,10.17,110.63,,,,,,,
CBS,2021-01-07 08:20:41.125491,TB,C,Steven Stamkos,25.94,33.0,0.21,11.21,174.91,,,,,,,
CBS,2021-01-07 08:20:41.125491,BUF,C,Jack Eichel,26.19,29.85,0.83,12.07,165.04,,,,,,,
CBS,2021-01-07 08:20:41.125491,CAR,LW,Sebastian Aho,31.01,26.3,-3.34,8.59,174.52,,,,,,,
CBS,2021-01-07 08:20:41.125491,VAN,C,Elias Pettersson,24.01,31.73,5.57,10.48,114.4,,,,,,,
CBS,2021-01-07 08:20:41.125491,EDM,C,Ryan Nugent-Hopkins,21.23,36.83,-1.13,10.79,152.83,,,,,,,
CBS,2021-01-07 08:20:41.125491,TB,C,Brayden Point,25.4,34.26,0.21,7.45,139.37,,,,,,,
CBS,2021-01-07 08:20:41.125491,TOR,C,John Tavares,24.06,28.85,-1.46,10.9,192.34,,,,,,,
CBS,2021-01-07 08:20:41.125491,COL,C,Nazem Kadri,23.57,20.88,3.11,9.03,178.42,,,,,,,
CBS,2021-01-07 08:20:41.125491,BOS,C,Patrice Bergeron,25.52,23.84,3.9,7.73,205.32,,,,,,,
CBS,2021-01-07 08:20:41.125491,WPG,C,Mark Scheifele,22.0,30.33,-4.28,8.85,124.26,,,,,,,
CBS,2021-01-07 08:20:41.125491,NYR,C,Ryan Strome,14.97,32.81,11.94,7.4,119.52,,,,,,,
CBS,2021-01-07 08:20:41.125491,CHI,C,Jonathan Toews,17.28,33.2,1.8,6.71,121.59,,,,,,,
CBS,2021-01-07 08:20:41.125491,STL,C,Ryan O'Reilly,12.01,40.62,0.2,8.65,105.58,,,,,,,
CBS,2021-01-07 08:20:41.125491,STL,C,Brayden Schenn,20.27,26.12,-3.72,9.04,120.58,,,,,,,
CBS,2021-01-07 08:20:41.125491,PHI,C,Sean Couturier,16.82,30.15,2.14,6.24,142.62,,,,,,,
CBS,2021-01-07 08:20:41.125491,NYI,C,Mathew Barzal,14.5,32.88,-1.83,7.72,140.12,,,,,,,
CBS,2021-01-07 08:20:41.125491,LA,C,Anze Kopitar,16.22,29.43,-0.92,10.03,120.45,,,,,,,
CBS,2021-01-07 08:20:41.125491,NYI,C,Brock Nelson,22.06,22.53,-0.9,4.09,145.78,,,,,,,
CBS,2021-01-07 08:20:41.125491,CGY,C,Sean Monahan,18.81,25.15,-2.54,8.75,131.5,,,,,,,
CBS,2021-01-07 08:20:41.125491,FLA,C,Aleksander Barkov,14.79,29.94,-1.75,8.79,143.37,,,,,,,
CBS,2021-01-07 08:20:41.125491,NYI,C,Jean-Gabriel Pageau,22.87,12.9,7.07,4.96,118.77,,,,,,,
CBS,2021-01-07 08:20:41.125491,VAN,C,Bo Horvat,21.78,21.83,-3.15,5.55,126.57,,,,,,,
CBS,2021-01-07 08:20:41.125491,PHI,LW,Claude Giroux,15.13,25.66,-0.92,9.57,158.33,,,,,,,
CBS,2021-01-07 08:20:41.125491,WAS,C,Evgeny Kuznetsov,16.4,26.32,-5.55,8.15,124.74,,,,,,,
CBS,2021-01-07 08:20:41.125491,BOS,C,David Krejci,13.67,29.3,-0.55,7.55,88.56,,,,,,,
CBS,2021-01-07 08:20:41.125491,CLB,C,Pierre-Luc Dubois,15.28,25.42,-0.3,5.94,133.85,,,,,,,
CBS,2021-01-07 08:20:41.125491,WAS,C,Nicklas Backstrom,9.72,34.33,-3.92,10.1,125.88,,,,,,,
CBS,2021-01-07 08:20:41.125491,TB,C,Blake Coleman,19.41,13.25,13.65,1.22,165.56,,,,,,,
