source,fetched_at,team,position,name,goals,assists,plus_minus,powerplay_points,shots_on_goal,hits,blocks,wins,saves,save_percentage,goals_against_average,shutouts
Daily Faceoff,2021-01-07 08:20:37.590158,EDM,C,Connor McDavid,27.8,51.4,11.4,21.7,178.8,25.3,22.5,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,EDM,C/LW,Leon Draisaitl,29.5,44.5,-1.8,25.1,163.7,30.6,16.4,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,COL,C,Nathan MacKinnon,28.5,43.1,11.0,24.2,239.5,35.4,20.8,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,NYR,LW,Artemi Panarin,22.5,44.0,17.9,15.7,156.0,13.4,13.4,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,PIT,C,Evgeni Malkin,23.6,42.7,3.4,19.9,172.5,39.4,24.5,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,BOS,LW,Brad Marchand,24.2,41.2,15.6,18.3,154.3,35.4,18.3,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,COL,RW,Mikko Rantanen,23.7,40.9,4.9,20.6,148.3,36.9,27.3,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,PIT,C,Sidney Crosby,24.2,40.2,5.5,20.8,166.0,53.5,24.6,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,TBL,LW/RW,Steven Stamkos,27.1,36.8,9.3,22.4,160.5,52.1,29.2,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,TOR,RW,Mitch Marner,18.1,45.8,5.0,19.3,164.7,27.2,31.3,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,TOR,C,Auston Matthews,35.1,28.6,7.3,15.8,223.4,23.3,53.7,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,CHI,RW,Patrick Kane,25.6,37.1,0.2,17.6,211.9,16.2,11.7,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,BUF,C,Jack Eichel,23.3,34.8,1.7,19.2,216.0,45.1,35.6,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,CGY,LW/RW,Johnny Gaudreau,19.2,38.4,2.4,16.0,158.4,6.7,9.5,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,VGK,RW,Mark Stone,23.3,34.1,12.8,14.1,153.4,53.2,47.7,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,CAR,C,Sebastian Aho,24.4,32.9,10.7,14.2,174.1,51.5,18.0,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,FLA,C,Aleksander Barkov,20.9,35.9,2.0,16.3,155.8,19.4,40.1,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,VAN,C,Elias Pettersson,22.9,32.5,7.5,16.8,127.0,43.5,38.8,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,WPG,C/RW,Blake Wheeler,16.7,38.2,3.5,20.0,155.9,64.1,37.6,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,TOR,C,John Tavares,25.1,29.3,4.6,14.3,188.6,35.5,32.8,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,NYI,C,Mathew Barzal,15.3,38.6,0.2,14.9,135.8,17.8,33.9,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,WSH,LW,Alex Ovechkin,30.9,23.0,0.7,18.1,243.6,140.9,22.4,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,BUF,LW,Taylor Hall,19.7,34.0,-1.3,17.1,196.5,45.7,30.4,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,TBL,C,Brayden Point,23.2,30.3,18.0,13.7,134.2,19.8,31.8,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,WPG,C,Mark Scheifele,20.4,32.9,9.0,12.5,128.4,38.1,33.0,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,PIT,LW/RW,Jake Guentzel,27.5,25.7,11.1,9.5,169.9,72.5,31.7,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,FLA,LW,Jonathan Huberdeau,16.9,34.8,-2.8,18.2,141.1,35.3,25.3,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,CGY,LW/RW,Matthew Tkachuk,19.7,31.1,3.4,15.7,151.8,86.9,13.5,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,BOS,RW,David Pastrnak,23.7,27.1,7.6,15.9,160.9,33.7,16.5,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,WPG,LW,Kyle Connor,27.3,23.3,1.2,12.2,177.4,12.1,17.3,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,EDM,C/LW,Ryan Nugent-Hopkins,18.0,32.3,0.0,14.2,151.2,39.9,32.7,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,NYR,C,Mika Zibanejad,23.3,26.5,6.8,16.2,180.6,69.9,48.0,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,CAR,LW/RW,Teuvo Teravainen,13.7,35.8,14.0,16.2,136.6,20.2,19.2,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,CAR,LW/RW,Andrei Svechnikov,18.1,31.0,7.4,15.8,153.1,97.0,22.6,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,WSH,C,Nicklas Backstrom,13.6,35.4,4.2,18.1,114.3,30.2,28.9,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,VAN,LW/RW,J.T. Miller,16.9,32.0,3.7,17.0,120.0,104.4,25.1,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,WSH,C,Evgeny Kuznetsov,14.8,33.2,2.1,14.7,125.3,32.2,15.3,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,PHI,C,Sean Couturier,19.4,28.3,13.8,9.9,143.7,39.4,29.4,,,,,
