team,name,position,goals,assists,plus_minus,powerplay_points,shots_on_goal,hits,blocks,wins,save_percentage,goals_against_average,saves,shutouts
Edm,Connor McDavid,C,30.81,53.447,3.337,23.95,177.233,25.65,22.5,,,,,
Col,Nathan MacKinnon,C,28.867,45.26,8.037,21.863,255.06,36.2,20.8,,,,,
Edm,Leon Draisaitl,"C,LW",33.977,48.113,-1.223,23.237,163.86,29.8,16.4,,,,,
NYR,Artemi Panarin,LW,24.727,46.163,18.19,15.007,160.253,15.2,13.4,,,,,
Was,Alex Ovechkin,LW,34.08,21.13,-0.617,15.117,245.01,143.45,22.4,,,,,
Tor,Auston Matthews,C,34.867,26.84,9.68,15.533,222.783,25.65,53.7,,,,,
TB,Andrei Vasilevskiy,G,,,,,,,,26.41,0.919,-2.503,1148.11,3.447
Buf,Jack Eichel,C,25.163,33.217,1.51,17.423,197.347,41.05,35.6,,,,,
TB,Nikita Kucherov,RW,25.12,45.34,0.21,12.92,189.61,,,,,,,
Chi,Patrick Kane,RW,25.63,39.323,2.847,16.527,203.607,15.6,11.7,,,,,
Car,Sebastian Aho,C,27.803,31.4,5.787,12.597,173.54,48.75,18.0,,,,,
Pit,Sidney Crosby,C,23.21,41.187,1.82,19.473,157.32,49.25,24.6,,,,,
Col,Mikko Rantanen,RW,23.7,37.887,4.337,19.083,154.65,34.95,27.3,,,,,
TB,Victor Hedman,D,10.9,33.333,12.237,15.883,138.443,63.4,82.6,,,,,
Car,Andrei Svechnikov,"LW,RW",20.213,30.64,3.533,14.227,155.99,95.5,22.6,,,,,
Van,Elias Pettersson,C,22.97,32.41,7.69,15.427,122.467,47.75,38.8,,,,,
Wpg,Connor Hellebuyck,G,,,,,,,,21.727,0.917,-2.617,1208.063,2.897
NYR,Mika Zibanejad,C,30.807,29.44,6.873,16.25,181.823,68.45,48.0,,,,,
Tor,Mitchell Marner,RW,15.795,47.14,4.225,17.08,153.535,22.0,,,,,,
TB,Brayden Point,C,23.533,32.52,12.07,12.717,131.523,19.9,31.8,,,,,
Was,John Carlson,D,9.907,41.76,4.627,18.693,149.283,37.65,100.0,,,,,
Bos,Brad Marchand,LW,23.217,41.693,10.247,16.53,150.233,35.2,18.3,,,,,
TB,Steven Stamkos,"LW,RW",25.68,34.267,6.17,17.203,159.47,48.05,29.2,,,,,
Pit,Jake Guentzel,"LW,RW",26.497,27.947,4.687,8.713,171.833,73.25,31.7,,,,,
Fla,Jonathan Huberdeau,LW,17.1,37.347,0.04,16.897,130.377,36.15,25.3,,,,,
Wpg,Patrik Laine,"LW,RW",23.255,26.87,1.3,11.045,172.375,69.0,,,,,,
Pit,Evgeni Malkin,C,22.627,42.773,3.57,17.347,167.1,36.2,24.5,,,,,
Tor,John Tavares,C,25.053,29.717,2.047,14.4,186.98,32.75,32.8,,,,,
Nsh,Roman Josi,D,11.05,34.183,9.137,13.153,203.823,43.55,94.6,,,,,
Cgy,Matthew Tkachuk,"LW,RW",20.597,31.547,1.843,13.413,151.597,86.45,13.5,,,,,
Bos,Tuukka Rask,G,,,,,,,,20.81,0.918,-2.427,933.187,3.05
Phi,Carter Hart,G,,,,,,,,21.077,0.916,-2.47,999.707,2.54
Col,Cale Makar,D,9.913,36.117,9.203,13.483,119.623,37.3,32.0,,,,,
VGK,Robin Lehner,G,,,,,,,,20.51,0.919,-2.42,991.793,2.723
Col,Gabriel Landeskog,"C,LW",19.697,27.153,6.203,12.863,153.183,88.85,40.0,,,,,
Wpg,Blake Wheeler,"C,RW",16.337,37.25,0.243,16.907,149.27,68.55,37.6,,,,,
VGK,Max Pacioretty,LW,23.803,24.273,6.76,10.893,238.273,80.0,23.2,,,,,
VGK,Mark Stone,RW,19.76,34.037,8.203,12.407,152.017,48.6,47.7,,,,,
StL,Jordan Binnington,G,,,,,,,,21.7,0.913,-2.587,1066.307,2.897
Fla,Aleksander Barkov,C,18.23,33.947,1.083,14.363,147.723,18.7,40.1,,,,,
Van,J.T. Miller,"LW,RW",19.787,33.433,4.977,15.39,118.877,98.2,25.1,,,,,
Bos,Patrice Bergeron,C,22.84,24.813,11.767,12.677,180.14,35.85,40.5,,,,,
Was,Ilya Samsonov,G,,,,,,,,21.487,0.913,-2.62,1092.01,2.38
Car,Teuvo Teravainen,"LW,RW",14.103,36.447,10.237,14.217,140.46,19.6,19.2,,,,,
Bos,David Pastrnak,RW,26.56,28.87,4.7,16.08,172.977,31.35,16.5,,,,,
Car,Dougie Hamilton,D,13.947,24.017,9.81,8.75,199.95,78.45,68.1,,,,,
Wpg,Mark Scheifele,C,21.8,32.077,2.573,11.783,127.22,33.55,33.0,,,,,
Cgy,Johnny Gaudreau,"LW,RW",18.477,38.067,1.88,14.667,159.257,5.35,9.5,,,,,
Ott,Brady Tkachuk,LW,16.69,18.407,-6.093,6.493,193.543,209.25,29.6,,,,,
Mon,Carey Price,G,,,,,,,,18.023,0.911,-2.733,1074.657,2.317
NYR,Igor Shesterkin,G,,,,,,,,20.193,0.917,-2.567,1022.383,2.277
Tor,Frederik Andersen,G,,,,,,,,22.997,0.913,-2.7,1136.93,2.297
Buf,Taylor Hall,LW,15.953,30.523,-1.823,14.253,175.757,41.35,30.4,,,,,
SJ,Brent Burns,D,10.793,27.19,-3.093,13.483,187.457,57.55,85.8,,,,,
VGK,Alex Pietrangelo,D,10.967,27.167,4.48,11.56,170.987,36.15,99.5,,,,,
StL,Ryan O'Reilly,C,14.603,34.673,7.433,12.683,130.127,16.55,28.3,,,,,
Tor,Morgan Rielly,D,5.6,29.037,6.197,11.12,147.257,41.65,76.2,,,,,
Was,Evgeny Kuznetsov,C,16.067,31.84,-0.15,13.283,122.013,31.6,15.3,,,,,
