source,fetched_at,team,position,name,ranking_preseason,ranking_current,goals,assists,plus_minus,powerplay_points,shots_on_goal,hits,blocks,wins,saves,save_percentage,goals_against_average,shutouts
Yahoo,2021-01-08 10:51:03.078557,Col,C,Nathan MacKinnon,2.0,1.0,27.0,43.0,10.0,25.0,239.0,37.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Was,LW,Alex Ovechkin,5.0,2.0,34.0,26.0,3.0,18.0,223.0,146.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Edm,C,Connor McDavid,1.0,3.0,29.0,51.0,-1.0,32.0,175.0,26.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,NYR,LW,Artemi Panarin,4.0,4.0,24.0,44.0,23.0,18.0,160.0,17.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Edm,"C,LW",Leon Draisaitl,3.0,5.0,34.0,45.0,-2.0,28.0,164.0,29.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Buf,C,Jack Eichel,6.0,6.0,26.0,35.0,2.0,21.0,211.0,37.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Tor,C,Auston Matthews,7.0,7.0,31.0,24.0,12.0,18.0,198.0,28.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Bos,LW,Brad Marchand,19.0,8.0,21.0,41.0,15.0,21.0,140.0,35.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Car,C,Sebastian Aho,9.0,9.0,28.0,35.0,10.0,15.0,172.0,46.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Pit,C,Sidney Crosby,11.0,10.0,22.0,42.0,5.0,24.0,148.0,45.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Chi,RW,Patrick Kane,10.0,11.0,25.0,39.0,3.0,18.0,206.0,15.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Car,"LW,RW",Andrei Svechnikov,12.0,13.0,21.0,32.0,7.0,17.0,155.0,94.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Wpg,"C,RW",Blake Wheeler,35.0,14.0,16.0,44.0,1.0,21.0,162.0,73.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,NYR,C,Mika Zibanejad,13.0,15.0,26.0,29.0,5.0,18.0,166.0,67.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Tor,RW,Mitchell Marner,17.0,17.0,17.0,46.0,8.0,20.0,152.0,22.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Col,RW,Mikko Rantanen,14.0,18.0,22.0,39.0,5.0,24.0,138.0,33.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,VGK,LW,Max Pacioretty,29.0,19.0,22.0,23.0,7.0,13.0,205.0,72.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Van,"LW,RW",J.T. Miller,33.0,20.0,20.0,33.0,7.0,19.0,126.0,92.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,TB,"LW,RW",Steven Stamkos,23.0,21.0,24.0,33.0,9.0,18.0,143.0,44.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Tor,C,John Tavares,27.0,22.0,26.0,31.0,3.0,18.0,180.0,30.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Wpg,"LW,RW",Patrik Laine,21.0,23.0,24.0,29.0,5.0,15.0,167.0,69.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Van,C,Elias Pettersson,15.0,25.0,22.0,33.0,10.0,19.0,126.0,52.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,TB,C,Brayden Point,22.0,27.0,22.0,33.0,18.0,17.0,121.0,20.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Bos,RW,David Pastrnak,46.0,28.0,25.0,28.0,7.0,20.0,156.0,29.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,TB,D,Victor Hedman,18.0,29.0,10.0,33.0,20.0,18.0,126.0,58.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Pit,C,Evgeni Malkin,25.0,30.0,20.0,39.0,8.0,18.0,141.0,33.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Cgy,"LW,RW",Matthew Tkachuk,28.0,31.0,22.0,31.0,2.0,16.0,155.0,86.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Was,D,John Carlson,24.0,33.0,10.0,43.0,10.0,21.0,141.0,38.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Nsh,D,Roman Josi,32.0,35.0,10.0,35.0,12.0,15.0,187.0,41.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Pit,"LW,RW",Jake Guentzel,20.0,37.0,26.0,29.0,8.0,8.0,156.0,74.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Car,"LW,RW",Teuvo Teravainen,43.0,40.0,15.0,38.0,16.0,17.0,130.0,19.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Bos,C,Patrice Bergeron,39.0,42.0,22.0,24.0,15.0,16.0,141.0,32.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Ott,LW,Brady Tkachuk,36.0,43.0,16.0,18.0,-8.0,8.0,188.0,214.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Fla,LW,Jonathan Huberdeau,26.0,45.0,18.0,41.0,2.0,21.0,130.0,37.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Cgy,"LW,RW",Johnny Gaudreau,47.0,46.0,19.0,42.0,4.0,18.0,155.0,4.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Col,"C,LW",Gabriel Landeskog,30.0,47.0,20.0,26.0,7.0,15.0,139.0,83.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,StL,C,Ryan O'Reilly,50.0,48.0,18.0,35.0,10.0,15.0,157.0,16.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Car,D,Dougie Hamilton,41.0,50.0,12.0,22.0,14.0,10.0,182.0,71.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Phi,C,Sean Couturier,48.0,51.0,20.0,30.0,10.0,11.0,152.0,43.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Phi,"C,LW",Claude Giroux,60.0,52.0,16.0,33.0,7.0,15.0,154.0,31.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,VGK,RW,Mark Stone,42.0,53.0,17.0,31.0,11.0,14.0,129.0,44.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Fla,C,Aleksander Barkov,44.0,54.0,19.0,36.0,3.0,18.0,144.0,18.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Mon,RW,Brendan Gallagher,55.0,56.0,21.0,17.0,7.0,7.0,203.0,57.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,VGK,"C,LW",Jonathan Marchessault,81.0,57.0,18.0,22.0,3.0,11.0,181.0,73.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,SJ,D,Brent Burns,53.0,58.0,10.0,34.0,-3.0,18.0,180.0,57.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,NYI,LW,Anders Lee,77.0,59.0,21.0,17.0,9.0,11.0,146.0,78.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Wpg,D,Neal Pionk,80.0,61.0,4.0,29.0,8.0,18.0,118.0,111.0,,,,,,
