ADP,PLAYER,POS,TEAM,GP,TOI,G,A,P,+/-,SOG,HIT,BLK,PPP,GWG,SHO,W,SV%,GAA,SV,SA,TOTAL
1.1,Connor McDavid,C,EDM,79,22.1,0.53,0.99,1.52,0.34,3.83,0.90,0.33,0.55,0.07,,,(/),,,,17.66
2.3,Leon Draisaitl,"C,LW",EDM,81,22.2,0.57,0.75,1.32,0.30,3.21,0.53,0.25,0.44,0.08,,,(/),,,,13.66
3.1,Auston Matthews,C,TOR,77,20.5,0.82,0.55,1.36,0.26,4.64,0.92,0.74,0.44,0.07,,,(/),,,,16.97
4.5,Nathan MacKinnon,C,COL,72,21.0,0.53,0.82,1.35,0.25,3.97,0.73,0.40,0.40,0.06,,,(/),,,,13.21
5.5,Cale Makar,D,COL,74,24.1,0.24,0.73,0.97,0.41,2.36,1.00,0.94,0.35,0.05,,,(/),,,,8.45
7.0,Kirill Kaprizov,LW,MIN,80,18.7,0.64,0.70,1.34,0.24,3.91,0.67,0.30,0.50,0.03,,,(/),,,,12.76
8.0,Mikko Rantanen,"C,RW",COL,75,20.1,0.44,0.75,1.19,0.25,2.72,0.56,0.43,0.37,0.03,,,(/),,,,8.12
8.7,Andrei Vasilevskiy,G,TBL,60,60.0,,,,,,,,,,0.05,0.68,0.916 (26.6/29.0),2.31,26.56,29.00,2.11
8.9,Igor Shesterkin,G,NYR,55,60.0,,,,,,,,,,0.07,0.69,0.919 (25.7/28.0),1.74,25.73,28.00,3.78
9.4,Nikita Kucherov,RW,TBL,77,19.7,0.53,0.90,1.43,0.18,3.41,0.46,0.20,0.61,0.05,,,(/),,,,14.08
12.0,Jonathan Huberdeau,LW,CGY,80,18.9,0.40,0.90,1.30,0.21,2.66,0.84,0.33,0.38,0.05,,,(/),,,,9.90
12.9,Alex Ovechkin,LW,WSH,79,20.3,0.58,0.41,0.99,-0.04,3.87,1.94,0.35,0.30,0.04,,,(/),,,,7.87
13.6,Aleksander Barkov,C,FLO,80,20.8,0.48,0.66,1.14,0.21,3.11,0.44,0.54,0.29,0.04,,,(/),,,,7.67
