position,name,ros_total,ros_mean,week_points
DEF,Arizona Cardinals,96.5,9.65,9.1
DEF,Atlanta Falcons,62.9,6.29,5.6
DEF,Baltimore Ravens,61.7,6.17,7.7
DEF,Buffalo Bills,122.2,12.22,15.8
DEF,Carolina Panthers,66.3,6.63,NA
DEF,Chicago Bears,55.6,5.56,5.2
DEF,Cincinnati Bengals,59.1,5.91,6.9
DEF,Cleveland Browns,44.9,4.49,5.1
DEF,Dallas Cowboys,65.8,6.58,NA
DEF,Denver Broncos,101.4,10.14,11.2
DEF,Detroit Lions,37.300000000000004,3.73,3.9
DEF,Green Bay Packers,74.0,6.7272727272727275,7.6
DEF,Houston Texans,62.8,6.28,5.6
DEF,Indianapolis Colts,27.77,2.777,2.7
DEF,Jacksonville Jaguars,50.1,4.554545454545455,2.4
DEF,Kansas City Chiefs,103.9,9.445454545454545,8.2
DEF,Miami Dolphins,47.3,4.73,3.5
DEF,Minnesota Vikings,150.5,13.681818181818182,10.5
DEF,New England Patriots,74.5,7.45,4.8
DEF,New Orleans Saints,53.230000000000004,4.839090909090909,5.7
DEF,New York Giants,24.4,2.44,4.2
DEF,New York Jets,36.0,3.6,3.7
DEF,Oakland Raiders,54.7,5.47,5.8
DEF,Philadelphia Eagles,82.6,7.509090909090909,6.9
DEF,Pittsburgh Steelers,39.2,3.92,2.7
DEF,San Diego Chargers,81.8,8.18,4.0
DEF,San Francisco 49ers,35.08,3.508,5.9
DEF,Seattle Seahawks,99.3,9.027272727272727,10.7
DEF,St. Louis Rams,61.7,6.17,7.4
DEF,Tampa Bay Buccaneers,43.16,3.9236363636363634,6.3
DEF,Tennessee Titans,63.9,6.39,7.5
DEF,Washington Redskins,67.7,6.7700000000000005,6.9
K,Adam Vinatieri,98.0,9.8,9.6
K,Andrew Franks,48.6,4.859999999999999,5.1
K,Blair Walsh,92.9,8.445454545454545,7.0
K,Brandon McManus,91.3,9.129999999999999,9.4
K,Cairo Santos,84.8,7.709090909090909,7.9
K,Caleb Sturgis,95.1,8.645454545454545,7.9
K,Chandler Catanzaro,66.6,6.66,6.3
K,Chris Boswell,71.7,7.17,6.6
K,Cody Parkey,61.0,6.1,5.8
K,Connor Barth,71.5,7.15,7.5
K,Dan Bailey,80.5,8.05,NA
K,Dan Carpenter,76.2,7.62,7.8
K,Dustin Hopkins,87.5,8.75,9.0
K,Graham Gano,82.6,8.26,NA
K,Greg Zuerlein,69.7,6.97,7.8
K,Jason Myers,77.4,7.036363636363636,7.4
K,Josh Brown,82.2,8.22,7.7
K,Josh Lambo,84.1,8.41,8.4
K,Justin Tucker,87.7,8.77,9.4
K,Mason Crosby,95.0,8.636363636363637,9.6
K,Matt Bryant,91.7,9.17,9.5
K,Matt Prater,80.5,8.05,8.1
K,Mike Nugent,75.9,7.59,7.9
K,Nick Folk,72.9,7.29,6.2
K,Nick Novak,77.7,7.7700000000000005,7.1
K,Phil Dawson,60.8,6.08,6.2
K,Roberto Aguayo,59.8,5.4363636363636365,6.3
K,Ryan Succop,54.8,5.4799999999999995,7.3
K,Sebastian Janikowski,72.9,7.29,8.0
K,Stephen Gostkowski,84.0,8.4,8.7
K,Steven Hauschka,90.6,8.236363636363636,8.2
K,Wil Lutz,78.3,7.118181818181818,5.9
QB,Aaron Rodgers,202.4,18.400000000000002,18.7
QB,AJ McCarron,14.6,1.46,1.7
QB,Alex Smith,173.7,15.790909090909091,15.7
QB,Andrew Luck,177.8,17.78,15.9
QB,Andy Dalton,160.2,16.02,18.2
QB,Ben Roethlisberger,170.0,18.88888888888889,NA
QB,Blaine Gabbert,9.0,0.9,0.9
QB,Blake Bortles,177.0,16.09090909090909,19.4
QB,Brandon Weeden,0.02,0.002,-0.0
QB,Brett Hundley,-0.15,-0.013636363636363636,-0.01
QB,Brian Hoyer,149.0,14.9,17.9
QB,Brock Osweiler,131.2,13.120000000000001,11.3
QB,Bruce Gradkowski,0.27,0.027,0.02
QB,Cam Newton,217.2,21.72,NA
QB,Carson Palmer,106.9,10.69,8.3
QB,Carson Wentz,153.8,13.981818181818182,13.1
QB,Case Keenum,120.0,12.0,11.3
QB,Chase Daniel,-0.16,-0.014545454545454545,-0.02
QB,Cody Kessler,126.9,12.69,12.9
QB,Colin Kaepernick,145.4,14.54,14.5
QB,Colt McCoy,22.6,2.26,2.5
QB,Connor Shaw,2.3000000000000003,0.23,0.4
QB,Dak Prescott,16.3,1.6300000000000001,NA
QB,Dan Orlovsky,14.6,1.46,1.5
QB,Derek Anderson,13.1,1.31,NA
QB,Derek Carr,164.8,16.48,17.9
QB,Drew Brees,224.8,20.436363636363637,18.5
