name,team,position,pick
Connor McDavid,Edm,C,1.1
Leon Draisaitl,Edm,"C,LW",2.4
Nathan MacKinnon,Col,C,3.1
Nikita Kucherov,TB,RW,4.4
Andrei Vasilevskiy,TB,G,5.1
Mikko Rantanen,Col,RW,7.0
David Pastrnak,Bos,RW,7.8
Auston Matthews,Tor,C,7.8
Artemi Panarin,NYR,LW,9.4
Brad Marchand,Bos,LW,10.3
Alex Ovechkin,Was,LW,11.3
Cale Makar,Col,D,13.4
Patrick Kane,Chi,RW,13.9
Mitchell Marner,Tor,RW,14.4
Jonathan Huberdeau,Fla,LW,16.8
Sidney Crosby,Pit,C,18.1
Brayden Point,TB,"C,RW",18.7
Robin Lehner,VGK,G,18.8
Sebastian Aho,Car,C,19.4
Darcy Kuemper,Col,G,21.8
Mika Zibanejad,NYR,C,23.1
Connor Hellebuyck,Wpg,G,23.4
Aleksander Barkov,Fla,C,23.9
John Carlson,Was,D,24.7
Adam Fox,NYR,D,25.3
Brady Tkachuk,Ott,LW,25.6
Andrei Svechnikov,Car,"LW,RW",27.7
Kirill Kaprizov,Min,"LW,RW",28.5
Victor Hedman,TB,D,28.7
Jake Guentzel,Pit,"LW,RW",30.3
Steven Stamkos,TB,"C,RW",31.3
Alex DeBrincat,Chi,"LW,RW",33.6
Gabriel Landeskog,Col,"C,LW",35.2
Patrice Bergeron,Bos,C,35.7
Max Pacioretty,VGK,LW,36.1
Matthew Tkachuk,Cgy,"LW,RW",36.2
Igor Shesterkin,NYR,G,38.3
John Tavares,Tor,C,39.8
Mark Scheifele,Wpg,C,40.7
Mark Stone,VGK,RW,42.4
Marc-Andre Fleury,Chi,G,43.1
Frederik Andersen,Car,G,43.6
Dougie Hamilton,NJ,D,43.7
Quinn Hughes,Van,D,45.0
Elias Pettersson,Van,C,46.9
Semyon Varlamov,NYI,G,47.1
Aaron Ekblad,Fla,D,48.0
Alex Pietrangelo,VGK,D,48.5
Kyle Connor,Wpg,LW,49.0
Johnny Gaudreau,Cgy,"LW,RW",50.7
J.T. Miller,Van,"C,LW",53.1
Morgan Rielly,Tor,D,56.8
Ilya Sorokin,NYI,G,57.1
Nikolaj Ehlers,Wpg,"LW,RW",58.3
Charlie McAvoy,Bos,D,59.5
Juuse Saros,Nsh,G,59.9
Brock Boeser,Van,RW,60.2
Roman Josi,Nsh,D,60.7
Mathew Barzal,NYI,C,61.1
Carey Price,Mon,G,62.0
Tyson Barrie,Edm,D,62.7
Jack Campbell,Tor,G,65.9
Roope Hintz,Dal,"C,LW",66.6
Ryan O'Reilly,StL,C,66.8
Cam Talbot,Min,G,67.1
Evgeny Kuznetsov,Was,C,67.5
Philipp Grubauer,Sea,G,68.4
Darnell Nurse,Edm,D,69.9
Ilya Samsonov,Was,G,71.2
Seth Jones,Chi,D,72.8
Tyler Seguin,Dal,"C,RW",74.2
Ondrej Palat,TB,LW,75.0
Shea Theodore,VGK,D,76.3
Ryan Nugent-Hopkins,Edm,"C,LW",76.6
Kris Letang,Pit,D,78.9
Miro Heiskanen,Dal,D,80.4
Sam Reinhart,Fla,"C,RW",83.2
Petr Mrazek,Tor,G,83.8
Elias Lindholm,Cgy,"C,RW",83.9
Spencer Knight,Fla,G,85.4
Jordan Binnington,StL,G,85.6
Jack Eichel,Buf,C,85.7
Linus Ullmark,Bos,G,89.7
Jakob Chychrun,Ari,D,90.1
Alexander Radulov,Dal,"LW,RW",90.2
T.J. Oshie,Was,"C,RW",90.5
Nicklas Backstrom,Was,C,90.6
Jason Robertson,Dal,LW,91.0
Jonathan Marchessault,VGK,"C,LW",91.5
Nick Suzuki,Mon,"C,RW",91.7
Anze Kopitar,LA,C,92.3
Torey Krug,StL,D,95.0
Blake Wheeler,Wpg,"C,RW",96.2
Taylor Hall,Bos,LW,97.5
Martin Necas,Car,"C,RW",99.4
William Nylander,Tor,"LW,RW",99.6
David Perron,StL,"LW,RW",101.5
Thatcher Demko,Van,G,102.5
Drew Doughty,LA,D,102.6
Kevin Lankinen,Chi,G,104.4
Cole Caufield,Mon,RW,105.0
Joe Pavelski,Dal,"C,RW",105.2
MacKenzie Blackwood,NJ,G,105.3
Jeff Petry,Mon,D,106.0
Neal Pionk,Wpg,D,106.2
John Klingberg,Dal,D,107.0
Brayden Schenn,StL,"C,RW",107.2
Evgeni Malkin,Pit,C,107.3
Bryan Rust,Pit,"LW,RW",109.4
Sam Bennett,Fla,"C,LW",109.6
Andre Burakovsky,Col,"LW,RW",111.6
MacKenzie Weegar,Fla,D,111.7
Zach Werenski,Cls,D,112.8
Vladimir Tarasenko,StL,RW,114.1
Tristan Jarry,Pit,G,115.1
Sergei Bobrovsky,Fla,G,117.0
Ryan Ellis,Phi,D,119.4
Ivan Provorov,Phi,D,120.5
