team,age,name,line,ppu,position_yahoo,position,rollup,vorp,adp,pr_vorp,pr_adp,pr_arbitrage,round,goals,assists,powerplay_points,shots_on_goal,hits,blocks,game_winning_goals,wins,save_percentage,saves,shutouts
Edm,24.0,Connor McDavid,1.0,1.0,C,C,64.6,21.6,1.1,1.0,1.0,0.0,1.0,46.655,87.38,34.37,272.72,59.7,32.6,8.2,,,,
Edm,25.0,Leon Draisaitl,2.0,1.0,"C,LW",C,57.9,14.9,2.4,4.0,2.0,-2.0,1.0,48.095,73.52,32.24,247.775,48.8,21.7,7.4,,,,
Col,26.0,Nathan MacKinnon,1.0,1.0,C,C,59.6,16.6,3.1,2.0,3.0,1.0,1.0,40.615,67.605,29.43,381.13,56.0,28.8,5.5,,,,
TB,28.0,Nikita Kucherov,1.0,1.0,RW,RW,52.1,12.0,4.4,2.0,1.0,-1.0,1.0,37.235,69.135,29.135,249.99,44.6,24.9,6.7,,,,
Col,24.0,Mikko Rantanen,1.0,1.0,RW,RW,48.0,7.9,7.0,3.0,2.0,-1.0,1.0,39.185,51.615,26.015,263.76,46.0,36.2,5.0,,,,
Bos,25.0,David Pastrnak,1.0,1.0,RW,RW,53.5,13.4,7.8,1.0,3.0,2.0,1.0,44.475,49.935,25.305,327.635,57.8,24.8,6.9,,,,
Tor,24.0,Auston Matthews,1.0,1.0,C,C,58.5,15.5,7.8,3.0,4.0,1.0,1.0,55.095,39.425,20.495,345.815,57.9,69.6,9.1,,,,
NYR,29.0,Artemi Panarin,2.0,1.0,LW,LW,42.1,0.7,9.4,7.0,1.0,-6.0,1.0,33.745,67.52,20.26,212.875,19.9,18.1,5.5,,,,
Bos,33.0,Brad Marchand,1.0,1.0,LW,LW,47.5,6.1,10.3,2.0,2.0,0.0,1.0,38.67,59.83,21.83,233.15,68.3,20.5,6.8,,,,
Was,36.0,Alex Ovechkin,1.0,1.0,LW,LW,55.5,14.1,11.3,1.0,3.0,2.0,1.0,50.495,28.885,21.235,337.885,172.6,33.8,6.1,,,,
Col,22.0,Cale Makar,1.0,1.0,D,D,42.7,10.6,13.4,4.0,1.0,-3.0,2.0,16.625,56.885,25.17,202.435,82.4,74.0,3.8,,,,
Chi,32.0,Patrick Kane,1.0,1.0,RW,RW,44.9,4.8,13.9,4.0,4.0,0.0,2.0,32.52,63.64,22.72,280.985,21.4,18.6,4.5,,,,
Fla,28.0,Jonathan Huberdeau,2.0,1.0,LW,LW,45.5,4.1,16.8,3.0,4.0,1.0,2.0,30.37,65.6,28.395,202.61,65.2,28.1,3.8,,,,
TB,25.0,Brayden Point,1.0,1.0,"C,RW",C,39.7,-3.3,18.7,11.0,5.0,-6.0,2.0,37.385,44.97,18.875,192.375,34.3,34.4,6.4,,,,
Car,24.0,Sebastian Aho,1.0,1.0,C,C,34.7,-8.3,19.4,21.0,6.0,-15.0,2.0,29.753,35.663,13.107,197.027,61.5,31.8,6.7,,,,
NYR,28.0,Mika Zibanejad,1.0,1.0,C,C,47.9,4.9,23.1,5.0,7.0,2.0,2.0,41.29,40.365,20.21,244.185,96.0,59.7,6.0,,,,
Fla,26.0,Aleksander Barkov,1.0,1.0,C,C,46.2,3.2,23.9,6.0,8.0,2.0,2.0,33.61,54.94,23.0,259.475,37.5,53.7,4.8,,,,
Was,31.0,John Carlson,1.0,1.0,D,D,43.9,11.8,24.7,1.0,2.0,1.0,3.0,15.565,58.745,22.53,205.125,56.5,132.4,2.7,,,,
Car,21.0,Andrei Svechnikov,1.0,1.0,"LW,RW",RW,42.7,2.6,27.7,5.0,5.0,0.0,3.0,26.91,42.185,18.775,241.485,159.0,31.4,4.0,,,,
Min,24.0,Kirill Kaprizov,1.0,1.0,"LW,RW",RW,37.3,-2.8,28.5,10.0,6.0,-4.0,3.0,38.6,34.985,16.65,217.18,46.3,28.2,5.0,,,,
