source,fetched_at,year,team,position,name,gp,toi,goals,assists,plus_minus,powerplay_points,shots_on_goal,hits,blocks,wins,saves,save_percentage,goals_against_average,shutouts
Yahoo,2021-01-08 17:40:08.774272,2018,Edm,C,Connor McDavid,78.0,22.5,41.0,75.0,3.0,33.0,240.0,39.0,,,,,,
Yahoo,2021-01-08 17:40:08.774272,2018,Col,C,Nathan MacKinnon,82.0,22.05,41.0,58.0,20.0,37.0,365.0,54.0,,,,,,
Yahoo,2021-01-08 17:40:08.774272,2018,Edm,"C,LW",Leon Draisaitl,82.0,22.35,50.0,55.0,2.0,29.0,231.0,57.0,,,,,,
Yahoo,2021-01-08 17:40:08.774272,2018,NYR,LW,Artemi Panarin,79.0,19.51,28.0,59.0,14.0,18.0,191.0,14.0,,,,,,
Yahoo,2021-01-08 17:40:08.774272,2018,Was,LW,Alex Ovechkin,81.0,20.55,51.0,38.0,7.0,28.0,338.0,223.0,,,,,,
Yahoo,2021-01-08 17:40:08.774272,2018,Buf,C,Jack Eichel,77.0,20.26,28.0,54.0,-11.0,26.0,303.0,70.0,,,,,,
Yahoo,2021-01-08 17:40:08.774272,2018,Tor,C,Auston Matthews,68.0,18.33,37.0,36.0,-9.0,20.0,251.0,28.0,,,,,,
Yahoo,2021-01-08 17:40:08.774272,2018,Car,C,Sebastian Aho,82.0,20.09,30.0,53.0,25.0,24.0,243.0,65.0,,,,,,
Yahoo,2021-01-08 17:40:08.774272,2018,Chi,RW,Patrick Kane,81.0,22.29,44.0,66.0,2.0,30.0,341.0,21.0,,,,,,
Yahoo,2021-01-08 17:40:08.774272,2018,Pit,C,Sidney Crosby,79.0,20.59,35.0,65.0,18.0,29.0,220.0,85.0,,,,,,
Yahoo,2021-01-08 17:40:08.774272,2018,Car,"LW,RW",Andrei Svechnikov,82.0,14.38,20.0,17.0,0.0,5.0,189.0,123.0,,,,,,
Yahoo,2021-01-08 17:40:08.774272,2018,NYR,C,Mika Zibanejad,82.0,20.33,30.0,44.0,-12.0,23.0,236.0,134.0,,,,,,
Yahoo,2021-01-08 17:40:08.774272,2018,Col,RW,Mikko Rantanen,74.0,20.5,31.0,56.0,13.0,33.0,193.0,59.0,,,,,,
Yahoo,2021-01-08 17:40:08.774272,2018,Van,C,Elias Pettersson,71.0,18.13,28.0,38.0,3.0,22.0,144.0,42.0,,,,,,
Yahoo,2021-01-08 17:40:08.774272,2018,Tor,RW,Mitchell Marner,82.0,19.49,26.0,68.0,22.0,21.0,233.0,29.0,,,,,,
Yahoo,2021-01-08 17:40:08.774272,2018,TB,D,Victor Hedman,70.0,22.46,12.0,42.0,24.0,25.0,182.0,59.0,,,,,,
Yahoo,2021-01-08 17:40:08.774272,2018,Bos,LW,Brad Marchand,79.0,19.37,36.0,64.0,15.0,34.0,231.0,46.0,,,,,,
Yahoo,2021-01-08 17:40:08.774272,2018,Pit,"LW,RW",Jake Guentzel,82.0,19.21,40.0,36.0,13.0,11.0,227.0,105.0,,,,,,
Yahoo,2021-01-08 17:40:08.774272,2018,Wpg,"LW,RW",Patrik Laine,82.0,17.13,30.0,20.0,-24.0,23.0,245.0,70.0,,,,,,
Yahoo,2021-01-08 17:40:08.774272,2018,TB,C,Brayden Point,79.0,18.55,41.0,51.0,27.0,35.0,191.0,31.0,,,,,,
Yahoo,2021-01-08 17:40:08.774272,2018,TB,"LW,RW",Steven Stamkos,82.0,18.18,45.0,53.0,4.0,40.0,234.0,72.0,,,,,,
Yahoo,2021-01-08 17:40:08.774272,2018,Was,D,John Carlson,80.0,25.03,13.0,57.0,21.0,33.0,185.0,54.0,,,,,,
Yahoo,2021-01-08 17:40:08.774272,2018,Pit,C,Evgeni Malkin,68.0,18.48,21.0,51.0,-25.0,26.0,187.0,54.0,,,,,,
Yahoo,2021-01-08 17:40:08.774272,2018,Fla,LW,Jonathan Huberdeau,82.0,18.51,30.0,62.0,-14.0,34.0,226.0,57.0,,,,,,
Yahoo,2021-01-08 17:40:08.774272,2018,Tor,C,John Tavares,82.0,19.05,47.0,41.0,19.0,19.0,286.0,59.0,,,,,,
Yahoo,2021-01-08 17:40:08.774272,2018,Cgy,"LW,RW",Matthew Tkachuk,80.0,17.35,34.0,43.0,14.0,24.0,207.0,104.0,,,,,,
Yahoo,2021-01-08 17:40:08.774272,2018,VGK,LW,Max Pacioretty,66.0,17.0,22.0,18.0,-13.0,8.0,191.0,119.0,,,,,,
Yahoo,2021-01-08 17:40:08.774272,2018,Col,"C,LW",Gabriel Landeskog,73.0,21.08,34.0,41.0,17.0,27.0,243.0,120.0,,,,,,
Yahoo,2021-01-08 17:40:08.774272,2018,Nsh,D,Roman Josi,82.0,25.09,15.0,41.0,9.0,12.0,274.0,53.0,,,,,,
Yahoo,2021-01-08 17:40:08.774272,2018,Van,"LW,RW",J.T. Miller,75.0,14.39,13.0,34.0,8.0,20.0,108.0,115.0,,,,,,
Yahoo,2021-01-08 17:40:08.774272,2018,Wpg,"C,RW",Blake Wheeler,82.0,20.42,20.0,71.0,0.0,33.0,231.0,81.0,,,,,,
Yahoo,2021-01-08 17:40:08.774272,2018,Ott,LW,Brady Tkachuk,71.0,16.01,22.0,23.0,-10.0,10.0,214.0,174.0,,,,,,
Yahoo,2021-01-08 17:40:08.774272,2018,Bos,C,Patrice Bergeron,65.0,18.28,32.0,47.0,23.0,27.0,205.0,43.0,,,,,,
Yahoo,2021-01-08 17:40:08.774272,2018,Car,D,Dougie Hamilton,82.0,19.4,18.0,21.0,0.0,7.0,259.0,160.0,,,,,,
Yahoo,2021-01-08 17:40:08.774272,2018,VGK,RW,Mark Stone,77.0,19.53,33.0,40.0,17.0,20.0,199.0,72.0,,,,,,
