name,age,salary
Erik Karlsson,31,14500000.0
Artemi Panarin,29,13000000.0
Carey Price,34,13000000.0
Tyler Seguin,29,13000000.0
Connor McDavid,24,13000000.0
Mark Stone,29,12000000.0
Sergei Bobrovsky,33,12000000.0
Nikita Kucherov,28,12000000.0
Andrei Vasilevskiy,27,11000000.0
Drew Doughty,31,11000000.0
Roman Josi,31,10750000.0
Oliver Ekman-Larsson,30,10500000.0
Auston Matthews,24,10470000.0
Mitchell Marner,24,10358000.0
Blake Wheeler,35,10000000.0
Jack Eichel,24,10000000.0
Jeff Skinner,29,10000000.0
Mikko Rantanen,24,10000000.0
Matt Duchene,30,10000000.0
Nicklas Bäckström,33,10000000.0
Vladimir Tarasenko,29,9500000.0
Evgeni Malkin,35,9500000.0
Chris Kreider,30,9500000.0
John Tavares,31,9350000.0
Anders Lee,31,9000000.0
Jared Spurgeon,31,9000000.0
Justin Faulk,29,9000000.0
Kevin Hayes,29,9000000.0
Sidney Crosby,34,9000000.0
Logan Couture,32,9000000.0
Brayden Point,25,9000000.0
Aaron Ekblad,25,9000000.0
Matthew Tkachuk,23,9000000.0
Jamie Benn,32,8500000.0
Ryan McDonagh,32,8400000.0
Joshua Morrissey,26,8000000.0
Ryan Johansen,29,8000000.0
Jacob Trouba,27,8000000.0
Leon Draisaitl,25,8000000.0
Cale Makar,22,8000000.0
Brock Nelson,29,8000000.0
Joe Pavelski,37,8000000.0
Brayden Schenn,30,8000000.0
P.KSubban,32,8000000.0
John Carlson,31,8000000.0
Victor Hedman,30,8000000.0
Evgeny Kuznetsov,29,8000000.0
Anze Kopitar,34,8000000.0
Aleksander Barkov,26,7750000.0
Ryan Ellis,30,7700000.0
Sebastian Aho,24,7700000.0
Steven Stamkos,31,7500000.0
Patrik Laine,23,7500000.0
Brock Boeser,24,7500000.0
Brent Burns,36,7500000.0
Jakub Voracek,32,7500000.0
Kyle Connor,24,7500000.0
Mats Zuccarello,34,7500000.0
Connor Hellebuyck,28,7500000.0
Matt Dumba,27,7400000.0
Charlie McAvoy,23,7300000.0
Marc-Édouard Vlasic,34,7250000.0
Nico Hischier,22,7250000.0
Kris Letang,34,7250000.0
Ivan Provorov,24,7125000.0
William Karlsson,28,7100000.0
James van Riemsdyk,32,7000000.0
Esa Lindell,27,7000000.0
Thomas Chabot,24,7000000.0
Jordan Eberle,31,7000000.0
Mathew Barzal,24,7000000.0
Jake Guentzel,26,7000000.0
Zachary Werenski,24,7000000.0
Tyler Myers,31,7000000.0
Clayton Keller,23,7000000.0
Evander Kane,30,7000000.0
Nick Leddy,30,7000000.0
Patrick Kane,32,6900000.0
Jonathan Toews,33,6900000.0
Nathan MacKinnon,26,6850000.0
David Pastrnak,25,6800000.0
Mark Scheifele,28,6750000.0
Hampus Lindholm,27,6750000.0
Mark Giordano,38,6750000.0
Dylan Larkin,25,6750000.0
Johnny Gaudreau,28,6750000.0
Ryan Kesler,37,6675000.0
Ryan Pulock,26,6660000.0
Pierre-Luc Dubois,23,6650000.0
Jean-Gabriel Pageau,28,6500000.0
Brad Marchand,33,6500000.0
Jake Muzzin,32,6500000.0
Nikolaj Ehlers,25,6500000.0
John Gibson,28,6400000.0
Dougie Hamilton,28,6300000.0
Yanni Gourde,29,6300000.0
Jason Zucker,29,6250000.0
Cam Fowler,29,6250000.0
Vincent Trocheck,28,6250000.0
Sean Monahan,26,6125000.0
Jesperi Kotkaniemi,21,6100035.0
Tom Wilson,27,6100000.0
Semyon Varlamov,33,6000000.0
Nick Schmaltz,25,6000000.0
Marc-André Fleury,36,6000000.0
Bryan Little,33,6000000.0
Shea Weber,36,6000000.0
Phil Kessel,34,6000000.0
Andrei Svechnikov,21,6000000.0
William Nylander,25,6000000.0
John Klingberg,29,6000000.0
Erik Johnson,33,6000000.0
Gustav Nyquist,32,6000000.0
T.JOshie,34,6000000.0
Jordan Staal,33,6000000.0
Nate Schmidt,30,6000000.0
Timo Meier,24,6000000.0
Brent Seabrook,36,6000000.0
Charlie Coyle,29,6000000.0
Matt Murray,27,6000000.0
Ryan O'Reilly,30,6000000.0
Filip Forsberg,27,6000000.0
Max Domi,26,6000000.0
Gabriel Landeskog,28,6000000.0
J.TMiller,28,6000000.0
Jaccob Slavin,27,6000000.0
Teuvo Teräväinen,27,5875000.0
Elias Lindholm,26,5850000.0
Adam Henrique,31,5825000.0
Bo Horvat,26,5775000.0
Adam Pelech,27,5750000.0
Colton Parayko,28,5625000.0
Darnell Nurse,26,5600000.0
Darcy Kuemper,31,5500000.0
Christopher Tanev,31,5500000.0
Jonathan Drouin,26,5500000.0
Anton Strålman,35,5500000.0
Tyler Johnson,31,5500000.0
Tomas Hertl,27,5500000.0
Nino Niederreiter,29,5475000.0
Rasmus Ristolainen,26,5400000.0
Calvin De Haan,30,5400000.0
Seth Jones,27,5400000.0
Brady Skjei,27,5400000.0
André Burakovsky,26,5400000.0
Mikael Backlund,32,5350000.0
Jakob Chychrun,23,5300000.0
Ondrej Palat,30,5300000.0
Jonathan Huberdeau,28,5300000.0
Anthony Mantha,27,5300000.0
Patric Hörnqvist,34,5300000.0
Cam Atkinson,32,5275000.0
Jakob Silfverberg,30,5250000.0
Max Pacioretty,32,5250000.0
Travis Konecny,24,5250000.0
Shea Theodore,26,5200000.0
Tyler Toffoli,29,5125000.0
Alex DeBrincat,23,5100000.0
Kevin Fiala,25,5100000.0
Christian Dvorak,25,5075000.0
Damon Severson,27,5050000.0
Elvis Merzlikins,27,5000000.0
Kyle Palmieri,30,5000000.0
Jeff Petry,33,5000000.0
Alex Goligoski,36,5000000.0
Alex Pietrangelo,31,5000000.0
Kirill Kaprizov,24,5000000.0
Claude Giroux,33,5000000.0
Robin Lehner,30,5000000.0
Ryan Nugent-Hopkins,28,5000000.0
Michael Matheson,27,5000000.0
Danny DeKeyser,31,5000000.0
Brendan Gallagher,29,5000000.0
Jonathan Marchessault,30,5000000.0
Morgan Rielly,27,5000000.0
Ryan Strome,28,5000000.0
Alex Ovechkin,36,5000000.0
Philipp Grubauer,29,5000000.0
Miro Heiskanen,22,5000000.0
Evgeni Dadonov,32,5000000.0
Milan Lucic,33,5000000.0
Josh Bailey,32,5000000.0
Sam Reinhart,25,5000000.0
Rasmus Dahlin,21,5000000.0
Samuel Girard,23,5000000.0
Justin Schultz,31,5000000.0
Mattias Ekholm,31,5000000.0
TJ Brodie,31,5000000.0
Noah Hanifin,24,4950000.0
Jake DeBrusk,24,4850000.0
Anthony Cirelli,24,4800000.0
Mikhail Sergachev,23,4800000.0
Jakub Vrána,25,4750000.0
Sean Couturier,28,4750000.0
Mika Zibanejad,28,4750000.0
Colin White,24,4750000.0
Alex Tuch,25,4750000.0
Alexander Radulov,35,4650000.0
Brandon Saad,28,4500000.0
Mikko Koskinen,33,4500000.0
Taylor Hall,29,4500000.0
J.TCompher,26,4500000.0
Oscar Klefbom,28,4500000.0
Pavel Buchnevich,26,4500000.0
Nikita Zaitsev,29,4500000.0
Oliver Bjorkstrand,26,4500000.0
Reilly Smith,30,4500000.0
Alex Killorn,32,4450000.0
Josh Manson,29,4450000.0
Thomas Greiss,35,4400000.0
Patrice Bergeron,36,4375000.0
Alec Martinez,34,4250000.0
Kevin Shattenkirk,32,4250000.0
Viktor Arvidsson,28,4250000.0
Tyler Bertuzzi,26,4250000.0
Jake Gardiner,31,4200000.0
Chris Tierney,27,4200000.0
Anthony Beauvillier,24,4150000.0
Will Butcher,26,4100000.0
Brian Dumoulin,30,4100000.0
Olli Määttä,27,4083500.0
Rasmus Andersson,24,4050000.0
Marcus Pettersson,25,4025175.0
Brett Pesce,26,4025000.0
Vince Dunn,24,4000000.0
Torey Krug,30,4000000.0
Dustin Brown,36,4000000.0
Elias Pettersson,22,4000000.0
Connor Brown,27,4000000.0
Victor Rask,28,4000000.0
Jacob Markström,31,4000000.0
Tyson Barrie,30,4000000.0
Dominik Kubalik,26,4000000.0
Quinn Hughes,21,4000000.0
Ilya Sorokin,26,4000000.0
Andrew Ladd,35,4000000.0
Loui Eriksson,36,4000000.0
Frederik Andersen,32,4000000.0
Travis Sanheim,25,4000000.0
Nazem Kadri,30,4000000.0
Matt Grzelcyk,27,4000000.0
Connor Murphy,28,4000000.0
Jordan Binnington,28,4000000.0
Jonas Brodin,28,4000000.0
Johnny Boychuk,37,4000000.0
Josh Anderson,27,4000000.0
Jaden Schwartz,29,4000000.0
Juuse Saros,26,4000000.0
Cam Talbot,34,4000000.0
Phillip Danault,28,4000000.0
Paul Byron,32,4000000.0
Kyle Okposo,33,4000000.0
Mikael Granlund,29,4000000.0
Kevin Labanc,25,3950000.0
Joonas Donskoi,29,3900000.0
Blake Coleman,29,3900000.0
Colin Miller,28,3875000.0
Rickard Rakell,28,3800000.0
Nick Foligno,33,3800000.0
Paul Stastny,35,3750000.0
Anton Khudobin,35,3750000.0
Micheal Ferland,29,3750000.0
Tomas Tatar,30,3750000.0
Conor Garland,25,3750000.0
Nikita Zadorov,26,3750000.0
Colton Sissons,27,3650000.0
Andrew Copp,27,3640000.0
Jonathan Bernier,33,3600000.0
Dylan Strome,24,3600000.0
Devon Toews,27,3550000.0
Marco Scandella,31,3550000.0
Joel Edmundson,28,3500000.0
Mike Hoffman,31,3500000.0
Brett Connolly,29,3500000.0
Zack Kassian,30,3500000.0
Boone Jenner,28,3500000.0
Jamie Oleksiak,28,3500000.0
Linus Ullmark,28,3500000.0
Bryan Rust,29,3500000.0
Miles Wood,26,3500000.0
Oskar Sundqvist,27,3500000.0
Brandon Tanev,29,3500000.0
Alex Iafallo,27,3500000.0
Neal Pionk,26,3500000.0
Ben Chiarot,30,3500000.0
Alexander Wennberg,27,3500000.0
Ben Bishop,34,3500000.0
Tristan Jarry,26,3500000.0
Alexander Edler,35,3500000.0
Carter Hart,23,3479000.0
Jesper Bratt,23,3450000.0
David Perron,33,3412500.0
Joonas Korpisalo,27,3400000.0
Jared McCann,25,3380000.0
Dmitry Orlov,30,3300000.0
Markus Nutivaara,27,3300000.0
Shayne Gostisbehere,28,3250000.0
Victor Olofsson,26,3250000.0
Dmitrij Jaskin,28,3200000.0
Filip Hronek,23,3200000.0
Richard Pánik,30,3200000.0
Brenden Dillon,30,3100000.0
Robby Fabbri,25,3100000.0
Chandler Stephenson,27,3025000.0
Roope Hintz,24,3000000.0
Jake McCabe,27,3000000.0
Carson Soucy,27,3000000.0
Nick Jensen,31,3000000.0
Carl Hagelin,33,3000000.0
Ryan Graves,26,3000000.0
Dylan DeMelo,28,3000000.0
Frans Nielsen,37,3000000.0
Radek Faksa,27,3000000.0
Igor Shesterkin,25,3000000.0
Joel Eriksson Ek,24,3000000.0
Ryan Getzlaf,36,3000000.0
Lars Eller,32,3000000.0
Craig Smith,32,3000000.0
MacKenzie Weegar,27,3000000.0
Jonathan Quick,35,3000000.0
Pavel Zacha,24,3000000.0
Erik Cernak,24,2950000.0
Sam Bennett,25,2925000.0
Andrew Shaw,30,2900000.0
Ian Cole,32,2900000.0
Denis Gurianov,24,2900000.0
David Savard,30,2800000.0
Mackenzie Blackwood,24,2800000.0
Valeri Nichushkin,26,2800000.0
Petr Mrázek,29,2800000.0
Travis Hamonic,31,2750000.0
John Moore,30,2750000.0
Pius Suter,25,2750000.0
Brock McGinn,27,2750000.0
Alexander Kerfoot,27,2700000.0
Andreas Athanasiou,27,2700000.0
Alexandar Georgiev,25,2650000.0
Jordan Greenway,24,2600000.0
Oskar Lindblom,25,2600000.0
Frank Vatrano,27,2600000.0
Vladislav Gavrikov,25,2550000.0
Philippe Myers,24,2550000.0
Zach Hyman,29,2550000.0
Vladislav Namestnikov,28,2500000.0
Adam Lowry,28,2500000.0
Casey Cizikas,30,2500000.0
Barclay Goodrow,28,2500000.0
Drake Batherson,23,2500000.0
Cody Eakin,30,2500000.0
Thomas Hickey,32,2500000.0
Chris Driedger,27,2500000.0
Adrian Kempe,25,2500000.0
Andreas Johnsson,26,2500000.0
Tanner Pearson,29,2500000.0
Cal Clutterbuck,33,2500000.0
Radko Gudas,31,2500000.0
Thatcher Demko,25,2500000.0
Jack Roslovic,24,2500000.0
Ethan Bear,24,2500000.0
Adam Larsson,28,2500000.0
Brandon Carlo,24,2500000.0
Alex Nedeljkovic,25,2500000.0
Andrew Mangiapane,25,2450000.0
Radim Simek,29,2450000.0
Henri Jokiharju,22,2400000.0
Robert Thomas,22,2400000.0
Jordan Kyrou,23,2400000.0
Dante Fabbro,23,2400000.0
Casey Mittelstadt,22,2400000.0
Kasperi Kapanen,25,2340000.0
Artturi Lehkonen,26,2300000.0
Luke Kunin,23,2300000.0
Lawson Crouse,24,2250000.0
Erik Haula,30,2250000.0
Dmitry Kulikov,30,2250000.0
Sean Walker,26,2250000.0
Scott Laughton,27,2250000.0
Tyler Pitlick,29,2200000.0
Brett Kulak,27,2200000.0
Kyle Turris,32,2200000.0
Zemgus Girgensons,27,2200000.0
Troy Stecher,27,2200000.0
Michal Kempný,31,2200000.0
Dillon Dubé,23,2200000.0
Jay Beagle,35,2200000.0
Ilya Mikheyev,26,2190000.0
Ryan Reaves,34,2125000.0
Warren Foegele,25,2100000.0
Duncan Keith,38,2100000.0
Marcus Foligno,30,2100000.0
Nick Bonino,33,2050000.0
Gustav Forsling,25,2000000.0
Ilya Samsonov,24,2000000.0
Derek Forbort,29,2000000.0
Filip Chytil,22,2000000.0
Mattias Janmark,28,2000000.0
Anthony Duclair,26,2000000.0
Teddy Blueger,27,2000000.0
Martin Jones,31,2000000.0
Dean Kukan,28,2000000.0
Brayden McNabb,30,2000000.0
Cody Ceci,27,2000000.0
Nick Cousins,28,2000000.0
Justin Holl,29,2000000.0
Matt Roy,26,2000000.0
Marc Staal,34,2000000.0
Rocco Grimaldi,28,2000000.0
Mark Borowiecki,32,2000000.0
Jake Allen,31,2000000.0
Calle Järnkrok,30,2000000.0
Joel Armia,28,2000000.0
Ryan Lindgren,23,2000000.0
Zachary Sanford,26,2000000.0
Leo Komarov,34,2000000.0
Ryan Suter,36,2000000.0
Mike Reilly,28,2000000.0
Jesper Fast,29,2000000.0
Jeff Carter,36,2000000.0
Braden Holtby,32,2000000.0
Jason Dickinson,26,2000000.0
Ryan Murray,28,2000000.0
Erik Gudbranson,29,1950000.0
Ivan Barbashev,25,1900000.0
Jake Bean,23,1900000.0
Mike Smith,39,1900000.0
Antoine Roussel,31,1900000.0
Yegor Sharangovich,23,1800000.0
Sonny Milano,25,1800000.0
Justin Braun,34,1800000.0
Jack Campbell,29,1800000.0
Johan Larsson,29,1800000.0
Adam Erne,26,1800000.0
Tyson Jost,23,1750000.0
Scott Mayfield,28,1750000.0
Antti Raanta,32,1750000.0
John Marino,24,1750000.0
Michael Del Zotto,31,1750000.0
Artem Zub,26,1750000.0
Tucker Poolman,28,1750000.0
James Reimer,33,1750000.0
Brandon Montour,27,1750000.0
Zach Aston-Reese,27,1725000.0
Pavel Francouz,31,1700000.0
Robert Hägg,26,1700000.0
Jan Rutta,31,1700000.0
Nick Ritchie,25,1700000.0
Scott Harrington,28,1700000.0
Adin Hill,25,1675000.0
Laurent Brossoit,28,1650000.0
Brendan Lemieux,25,1650000.0
Janne Kuokkanen,23,1600000.0
Samuel Blais,25,1600000.0
Anders Bjork,25,1600000.0
Haydn Fleury,25,1550000.0
Chris Wagner,30,1525000.0
Maxime Comtois,22,1525000.0
Noel Acciari,29,1500000.0
Josh Archibald,28,1500000.0
Derek Grant,31,1500000.0
Pheonix Copley,29,1500000.0
Patrik Nemeth,29,1500000.0
Sean Kuraly,28,1500000.0
Nicholas Paul,26,1500000.0
Tomas Nosek,29,1500000.0
Austin Watson,29,1500000.0
Trevor Moore,26,1500000.0
Matt Martin,32,1500000.0
Luke Glendening,32,1500000.0
Marcus Johansson,30,1500000.0
Casey DeSmith,30,1500000.0
Garnet Hathaway,29,1500000.0
Andrej Sekera,35,1500000.0
Jaroslav Halák,36,1500000.0
Tyler Motte,26,1450000.0
Troy Terry,24,1450000.0
Jesse Puljujärvi,23,1450000.0
Eeli Tolvanen,22,1450000.0
Joshua Brown,27,1400000.0
Tage Thompson,23,1400000.0
David Kämpf,26,1400000.0
Nick Holden,34,1400000.0
Robert Bortuzzo,32,1375000.0
Derek Stepan,31,1350000.0
Ilya Lyubushkin,27,1350000.0
Riley Stillman,23,1350000.0
Alexandre Texier,22,1300000.0
Kyle Clifford,30,1300000.0
Juuso Riikola,27,1300000.0
Jacob Larsson,24,1300000.0
Derek Ryan,34,1250000.0
David Rittich,29,1250000.0
Rūdolfs Balcers,24,1250000.0
Pierre Engvall,25,1250000.0
Nathan Beaulieu,28,1250000.0
Kris Russell,34,1250000.0
Ondrej Kase,25,1250000.0
Jordan Oesterle,29,1250000.0
Travis Dermott,24,1250000.0
Conor Sheary,29,1250000.0
Nicolas Aubé-Kubel,25,1225000.0
