name,line,ppu
Maxime Comtois,1,1.0
Trevor Zegras,1,1.0
Rickard Rakell,1,1.0
Adam Henrique,2,2.0
Isac Lundestrom,2,
Jakob Silfverberg,2,2.0
Sonny Milano,3,
Ryan Getzlaf,3,1.0
Troy Terry,3,2.0
Derek Grant,4,
Sam Steel,4,
Max Jones,4,
Hampus Lindholm,1,
Josh Manson,1,
Cam Fowler,2,2.0
Jamie Drysdale,2,1.0
Jacob Larsson,3,
Kevin Shattenkirk,3,2.0
Clayton Keller,1,1.0
Clayton Keller,1,2.0
Nick Schmaltz,1,1.0
⚠,1,
Lawson Crouse,2,1.0
Barrett Hayton,2,2.0
Christian Fischer,2,2.0
Ryan Dzingel,3,
Johan Larsson,3,
Dmitrij Jaskin,3,
Loui Eriksson,4,
Jay Beagle,4,
Antoine Roussel,4,
Jakob Chychrun,1,1.0
Ilya Lyubushkin,1,
Shayne Gostisbehere,2,2.0
Anton Stralman,2,
Conor Timmins,3,
Victor Soderstrom,3,2.0
Brad Marchand,1,1.0
Patrice Bergeron,1,1.0
David Pastrnak,1,1.0
Taylor Hall,2,1.0
Charlie Coyle,2,2.0
Craig Smith,2,2.0
Jake DeBrusk,3,2.0
Erik Haula,3,
Nick Foligno,3,2.0
Trent Frederic,4,
Tomas Nosek,4,
Curtis Lazar,4,
Derek Forbort,1,
Charlie McAvoy,1,1.0
Matt Grzelcyk,2,2.0
Brandon Carlo,2,
Mike Reilly,3,
Connor Clifton,3,
Jeff Skinner,1,1.0
Casey Mittelstadt,1,1.0
Victor Olofsson,1,1.0
Rasmus Asplund,2,
Dylan Cozens,2,
Tage Thompson,2,1.0
Anders Bjork,3,
Zemgus Girgensons,3,2.0
Vinnie Hinostroza,3,2.0
Drake Caggiula,4,
Cody Eakin,4,
Kyle Okposo,4,2.0
Rasmus Dahlin,1,1.0
Henri Jokiharju,1,2.0
Robert Hagg,2,
Colin Miller,2,2.0
Will Butcher,3,
Mark Pysyk,3,
Matthew Tkachuk,1,1.0
Elias Lindholm,1,1.0
Blake Coleman,1,
Johnny Gaudreau,2,1.0
Sean Monahan,2,1.0
Andrew Mangiapane,2,2.0
Dillon Dube,3,2.0
Mikael Backlund,3,2.0
Tyler Pitlick,3,
Milan Lucic,4,2.0
Brad Richardson,4,
Trevor Lewis,4,
Noah Hanifin,1,2.0
Chris Tanev,1,
Nikita Zadorov,2,
Rasmus Andersson,2,1.0
Juuso Valimaki,3,
Michael Stone,3,
Andrei Svechnikov,1,1.0
Sebastian Aho,1,1.0
Martin Necas,1,2.0
Nino Niederreiter,2,2.0
Vincent Trocheck,2,1.0
Teuvo Teravainen,2,1.0
Jesperi Kotkaniemi,3,2.0
Jordan Staal,3,2.0
Jesper Fast,3,
Steven Lorentz,4,
Derek Stepan,4,
Jordan Martinook,4,
Jaccob Slavin,1,
Tony DeAngelo,1,1.0
Brady Skjei,2,
Brett Pesce,2,2.0
Ian Cole,3,
Ethan Bear,3,
Alex DeBrincat,1,1.0
Tyler Johnson,1,1.0
Patrick Kane,1,1.0
