source,fetched_at,team,position,name,goals,assists,plus_minus,powerplay_points,shots_on_goal,hits,blocks,wins,saves,save_percentage,goals_against_average,shutouts
CBS,2021-10-03 18:56:35.338198,EDM,C,Connor McDavid,50.41,92.36,1.34,25.44,278.94,,,,,,,
CBS,2021-10-03 18:56:35.338198,EDM,C,Leon Draisaitl,51.99,77.64,3.77,23.08,252.45,,,,,,,
CBS,2021-10-03 18:56:35.338198,COL,C,Nathan MacKinnon,44.33,72.71,2.06,22.86,429.56,,,,,,,
CBS,2021-10-03 18:56:35.338198,TOR,C,Auston Matthews,58.49,39.65,5.95,18.09,381.43,,,,,,,
CBS,2021-10-03 18:56:35.338198,FLA,C,Sam Reinhart,44.32,40.7,19.52,16.18,200.28,,,,,,,
CBS,2021-10-03 18:56:35.338198,PIT,C,Sidney Crosby,36.05,57.2,-0.34,20.56,237.09,,,,,,,
CBS,2021-10-03 18:56:35.338198,FLA,C,Aleksander Barkov,34.92,57.18,3.18,18.1,282.25,,,,,,,
CBS,2021-10-03 18:56:35.338198,NYR,C,Mika Zibanejad,47.88,40.83,-1.8,15.92,247.67,,,,,,,
CBS,2021-10-03 18:56:35.338198,CAR,LW,Sebastian Aho,42.89,42.93,-7.75,13.62,265.47,,,,,,,
CBS,2021-10-03 18:56:35.338198,WPG,C,Mark Scheifele,34.06,53.84,-7.12,13.96,178.47,,,,,,,
CBS,2021-10-03 18:56:35.338198,TB,C,Brayden Point,39.77,44.84,-1.65,12.95,194.35,,,,,,,
CBS,2021-10-03 18:56:35.338198,TB,C,Steven Stamkos,37.06,42.35,-1.65,17.19,215.29,,,,,,,
CBS,2021-10-03 18:56:35.338198,PIT,C,Evgeni Malkin,24.7,51.74,0.26,16.16,181.65,,,,,,,
CBS,2021-10-03 18:56:35.338198,VAN,C,J.T. Miller,27.06,47.41,4.18,14.32,158.57,,,,,,,
CBS,2021-10-03 18:56:35.338198,BUF,C,Jack Eichel,30.9,45.67,-2.89,15.22,230.03,,,,,,,
CBS,2021-10-03 18:56:35.338198,TOR,C,John Tavares,32.05,41.92,-2.97,14.84,275.89,,,,,,,
CBS,2021-10-03 18:56:35.338198,BOS,C,Patrice Bergeron,36.39,36.09,-2.16,10.83,329.49,,,,,,,
CBS,2021-10-03 18:56:35.338198,LA,C,Anze Kopitar,22.78,50.04,1.71,16.96,154.14,,,,,,,
CBS,2021-10-03 18:56:35.338198,SJ,C,Tomas Hertl,31.17,38.98,5.46,11.16,186.54,,,,,,,
CBS,2021-10-03 18:56:35.338198,STL,C,Ryan O'Reilly,24.23,50.09,7.69,11.11,162.47,,,,,,,
CBS,2021-10-03 18:56:35.338198,VAN,C,Elias Pettersson,30.63,39.45,3.77,12.49,173.21,,,,,,,
CBS,2021-10-03 18:56:35.338198,EDM,C,Ryan Nugent-Hopkins,28.53,41.63,-3.01,15.07,223.49,,,,,,,
CBS,2021-10-03 18:56:35.338198,WAS,C,Nicklas Backstrom,18.65,55.51,-3.66,17.48,155.37,,,,,,,
CBS,2021-10-03 18:56:35.338198,PHI,C,Sean Couturier,28.24,41.72,4.56,9.7,220.28,,,,,,,
CBS,2021-10-03 18:56:35.338198,CHI,C,Jonathan Toews,24.33,46.71,2.71,9.39,166.19,,,,,,,
CBS,2021-10-03 18:56:35.338198,DAL,C,Joe Pavelski,32.71,29.05,9.72,11.3,183.9,,,,,,,
CBS,2021-10-03 18:56:35.338198,NYR,C,Ryan Strome,20.69,46.67,2.82,12.05,163.49,,,,,,,
CBS,2021-10-03 18:56:35.338198,PIT,C,Jeff Carter,35.21,22.58,18.26,6.45,256.32,,,,,,,
CBS,2021-10-03 18:56:35.338198,NYI,C,Mathew Barzal,23.86,45.95,-8.12,10.91,191.49,,,,,,,
CBS,2021-10-03 18:56:35.338198,COL,C,Nazem Kadri,26.51,30.4,2.06,9.99,290.58,,,,,,,
CBS,2021-10-03 18:56:35.338198,WPG,C,Pierre-Luc Dubois,23.21,37.94,2.43,9.44,162.96,,,,,,,
CBS,2021-10-03 18:56:35.338198,WAS,C,Evgeny Kuznetsov,23.51,41.88,-3.66,11.29,167.62,,,,,,,
CBS,2021-10-03 18:56:35.338198,PHI,LW,Claude Giroux,23.84,37.23,1.0,12.42,218.82,,,,,,,
CBS,2021-10-03 18:56:35.338198,DET,C,Dylan Larkin,22.92,37.18,-0.52,10.37,219.26,,,,,,,
CBS,2021-10-03 18:56:35.338198,STL,C,Brayden Schenn,26.65,32.24,-4.91,10.47,156.73,,,,,,,
CBS,2021-10-03 18:56:35.338198,MON,C,Nick Suzuki,21.83,37.85,-2.47,14.05,176.12,,,,,,,
CBS,2021-10-03 18:56:35.338198,SJ,C,Logan Couture,27.2,29.4,5.46,8.25,184.88,,,,,,,
CBS,2021-10-03 18:56:35.338198,LV,C,William Karlsson,21.67,42.72,-1.44,7.58,210.5,,,,,,,
CBS,2021-10-03 18:56:35.338198,OTT,C,Josh Norris,25.21,26.51,7.0,14.35,136.91,,,,,,,
CBS,2021-10-03 18:56:35.338198,DAL,C,Tyler Seguin,20.3,40.1,1.13,7.97,262.32,,,,,,,
CBS,2021-10-03 18:56:35.338198,NYI,C,Jean-Gabriel Pageau,27.48,23.45,7.47,7.61,148.97,,,,,,,
CBS,2021-10-03 18:56:35.338198,VAN,C,Bo Horvat,28.27,29.3,-2.98,8.14,182.14,,,,,,,
CBS,2021-10-03 18:56:35.338198,FLA,C,Anton Lundell,21.73,31.19,10.3,7.53,168.55,,,,,,,
CBS,2021-10-03 18:56:35.338198,NYI,C,Brock Nelson,30.92,28.94,-12.05,7.28,184.08,,,,,,,
CBS,2021-10-03 18:56:35.338198,MON,RW,Cole Caufield,26.99,31.51,2.07,6.35,225.04,,,,,,,
CBS,2021-10-03 18:56:35.338198,CAR,C,Vincent Trocheck,20.11,35.81,-7.75,9.42,211.28,,,,,,,
CBS,2021-10-03 18:56:35.338198,NJ,C,Nico Hischier,22.4,28.44,4.9,9.0,156.07,,,,,,,
CBS,2021-10-03 18:56:35.338198,TB,C,Gemel Smith,17.83,32.43,7.4,3.87,94.05,,,,,,,
CBS,2021-10-03 18:56:35.338198,CGY,C,Sean Monahan,22.39,32.94,-7.43,10.62,179.94,,,,,,,
CBS,2021-10-03 18:56:35.338198,MON,C,Christian Dvorak,25.31,24.28,5.76,8.07,140.64,,,,,,,
CBS,2021-10-03 18:56:35.338198,FLA,C,Sam Bennett,21.43,23.56,11.12,4.04,194.34,,,,,,,
CBS,2021-10-03 18:56:35.338198,NJ,C,Pavel Zacha,19.07,30.31,4.9,8.65,128.75,,,,,,,
CBS,2021-10-03 18:56:35.338198,ARI,C,Nick Schmaltz,15.17,38.27,0.38,7.58,117.79,,,,,,,
CBS,2021-10-03 18:56:35.338198,CGY,C,Mikael Backlund,18.39,32.72,-1.71,6.29,200.87,,,,,,,
CBS,2021-10-03 18:56:35.338198,SEA,C,Calle Jarnkrok,20.4,24.62,8.7,7.59,151.9,,,,,,,
CBS,2021-10-03 18:56:35.338198,CAR,C,Martin Necas,21.07,32.06,-7.75,7.19,162.61,,,,,,,
CBS,2021-10-03 18:56:35.338198,WAS,C,Garrett Pilon,20.72,25.21,5.59,5.47,143.3,,,,,,,
CBS,2021-10-03 18:56:35.338198,CAR,C,Ryan Suzuki,19.3,27.7,2.7,6.69,158.41,,,,,,,
CBS,2021-10-03 18:56:35.338198,CHI,C,Dylan Strome,18.62,27.4,3.44,7.03,115.31,,,,,,,
CBS,2021-10-03 18:56:35.338198,PHI,C,Kevin Hayes,21.71,24.25,0.41,5.33,190.95,,,,,,,
CBS,2021-10-03 18:56:35.338198,MIN,C,Marco Rossi,18.81,26.98,3.04,6.47,133.93,,,,,,,
CBS,2021-10-03 18:56:35.338198,LV,C,Peyton Krebs,16.59,27.29,8.9,5.72,132.37,,,,,,,
CBS,2021-10-03 18:56:35.338198,FLA,C,Joe Thornton,11.61,30.35,7.63,8.56,96.97,,,,,,,
CBS,2021-10-03 18:56:35.338198,NSH,C,Mikael Granlund,21.89,20.86,1.7,5.89,142.29,,,,,,,
