name,team,position,age,goals,assists,points,plus_minus,powerplay_points,game_winning_goals,shots_on_goal,blocks,hits,wins,shutouts,save_percentage,saves
Connor McDavid,EDM,C,25.0,42.9,82.4,125.3,8.9,43.3,8.2,266.5,32.6,59.7,,,,
Nathan MacKinnon,COL,C,26.0,36.9,62.5,99.4,16.0,36.0,5.5,332.7,28.8,56.0,,,,
Leon Draisaitl,EDM,C/LW,26.0,44.2,69.4,113.6,7.2,41.4,7.4,243.1,21.7,48.8,,,,
Nikita Kucherov,TBL,RW,27.0,38.3,66.9,105.2,14.9,36.6,6.7,245.3,24.9,44.6,,,,
Auston Matthews,TOR,C,24.0,51.7,39.2,90.8,13.5,22.9,9.1,310.2,69.6,57.9,,,,
David Pastrnak,BOS,RW,25.0,41.3,47.2,88.5,11.3,31.0,6.9,280.9,24.8,57.8,,,,
Patrick Kane,CHI,RW,33.0,33.5,61.1,94.7,-4.8,27.3,4.5,307.7,18.6,21.4,,,,
Artemi Panarin,NYR,LW,30.0,31.8,64.7,96.5,25.8,24.3,5.5,217.9,18.1,19.9,,,,
Brad Marchand,BOS,LW,33.0,35.9,60.2,96.1,17.3,28.4,6.8,211.4,20.5,68.3,,,,
Alex Ovechkin,WSH,LW,36.0,46.6,30.0,76.6,-0.8,25.3,6.1,323.2,33.8,172.6,,,,
Mikko Rantanen,COL,RW,25.0,35.4,50.7,86.1,11.9,32.5,5.0,217.1,36.2,46.0,,,,
Jonathan Huberdeau,FLA,LW,28.0,28.8,61.5,90.3,2.6,34.6,3.8,194.6,28.1,65.2,,,,
Aleksander Barkov,FLA,C,26.0,32.3,52.7,85.0,5.3,27.9,4.8,236.7,53.7,37.5,,,,
Mitch Marner,TOR,RW,24.0,24.8,66.3,91.1,14.8,23.6,4.8,216.9,48.3,30.4,,,,
Sebastian Aho,CAR,C,24.0,35.8,44.0,79.8,12.4,22.9,6.7,228.4,31.8,61.5,,,,
Sidney Crosby,PIT,C,34.0,30.2,54.3,84.5,5.1,29.0,5.1,210.3,35.6,63.4,,,,
Patrice Bergeron,BOS,C,36.0,33.8,37.8,71.6,17.7,23.6,4.9,236.9,53.5,54.1,,,,
Steven Stamkos,TBL,C/RW,31.0,34.3,44.2,78.5,8.7,29.6,5.0,199.5,32.5,71.2,,,,
Brayden Point,TBL,C/RW,25.0,35.0,45.1,80.0,15.2,24.8,6.4,190.4,34.4,34.3,,,,
Mika Zibanejad,NYR,C,28.0,34.7,39.9,74.6,0.3,24.5,6.0,240.7,59.7,96.0,,,,
Alex DeBrincat,CHI,LW/RW,24.0,37.9,36.4,74.2,-1.4,24.6,6.8,239.2,29.7,79.5,,,,
Jake Guentzel,PIT,LW/RW,27.0,36.3,42.6,78.8,9.2,19.6,6.0,217.7,43.2,79.5,,,,
Nikolaj Ehlers,WPG,LW/RW,25.0,33.0,39.3,72.3,7.8,19.0,6.4,255.8,26.1,43.1,,,,
John Tavares,TOR,C,31.0,32.5,41.1,73.6,8.3,19.5,5.1,245.1,41.3,57.8,,,,
Kirill Kaprizov,MIN,LW/RW,24.0,37.2,35.7,72.9,8.8,19.0,5.0,232.5,28.2,46.3,,,,
Mark Scheifele,WPG,C,28.0,33.0,51.7,84.7,1.2,22.9,5.7,189.3,53.5,46.1,,,,
Mark Stone,VGK,RW,29.0,27.9,50.0,77.9,17.3,22.5,5.6,174.4,54.0,57.7,,,,
Kyle Connor,WPG,LW,25.0,38.3,35.5,73.8,-0.9,18.5,6.6,245.8,24.8,23.9,,,,
Andrei Svechnikov,CAR,LW/RW,21.0,26.4,42.2,68.6,5.8,23.6,4.0,226.6,31.4,159.0,,,,
Max Pacioretty,VGK,LW,33.0,31.1,32.8,63.9,8.1,17.1,5.9,260.2,34.7,79.5,,,,
Matthew Tkachuk,CGY,LW/RW,24.0,28.0,42.8,70.8,3.9,23.0,3.7,218.9,18.5,151.7,,,,
Gabriel Landeskog,COL,C/LW,29.0,28.6,38.8,67.4,11.4,22.0,4.6,211.3,46.1,116.0,,,,
Elias Lindholm,CGY,C/RW,27.0,29.3,40.1,69.4,6.8,23.9,5.7,190.8,45.6,87.7,,,,
Ryan O'Reilly,STL,C,30.0,25.6,48.6,74.2,13.1,19.3,4.4,185.4,39.9,30.5,,,,
Jonathan Marchessault,VGK,C/LW,31.0,25.5,35.8,61.2,11.9,13.9,4.7,264.4,20.5,86.9,,,,
Johnny Gaudreau,CGY,LW/RW,28.0,25.5,46.3,71.8,-1.6,25.0,4.3,201.8,14.0,10.5,,,,
Ryan Nugent-Hopkins,EDM,C/LW,28.0,26.0,38.9,64.9,-1.2,28.8,3.8,204.1,44.2,47.1,,,,
Kevin Fiala,MIN,LW/RW,25.0,28.3,35.0,63.2,-0.1,22.0,5.6,234.5,22.6,41.3,,,,
Sean Couturier,PHI,C,29.0,29.2,41.1,70.3,7.8,16.0,4.8,210.8,40.2,59.9,,,,
Elias Pettersson,VAN,C,23.0,29.7,40.4,70.0,4.8,21.5,5.0,174.3,44.1,55.2,,,,
J.T. Miller,VAN,C/LW,28.0,24.4,45.1,69.4,0.8,26.1,3.6,167.0,38.0,130.8,,,,
Anze Kopitar,LAK,C,34.0,23.4,48.0,71.4,-2.0,26.8,4.1,166.4,57.6,58.3,,,,
Tyler Seguin,DAL,C/RW,30.0,24.5,31.4,56.0,7.2,17.8,5.3,245.5,32.7,65.5,,,,
Blake Wheeler,WPG,C/RW,35.0,21.3,49.3,70.6,-4.1,25.0,2.9,187.5,47.0,90.2,,,,
Mathew Barzal,NYI,C,24.0,22.8,48.1,71.0,5.3,16.3,3.4,198.0,37.9,31.4,,,,
William Nylander,TOR,LW/RW,25.0,27.1,36.2,63.3,9.1,16.0,5.9,208.3,20.9,19.9,,,,
Patrik Laine,CBJ,LW/RW,23.0,33.1,27.0,60.0,-10.4,22.3,3.8,230.3,39.7,80.3,,,,
David Perron,STL,LW/RW,33.0,24.3,40.6,64.8,2.2,23.9,4.0,179.7,25.7,64.2,,,,
Taylor Hall,BOS,LW,30.0,20.5,41.0,61.5,0.1,20.4,3.4,227.4,32.0,53.2,,,,
Bryan Rust,PIT,LW/RW,29.0,30.5,30.2,60.7,10.4,15.6,5.5,200.6,48.7,98.8,,,,
Brock Boeser,VAN,RW,24.0,28.1,35.1,63.2,-1.4,18.4,3.7,208.8,26.0,38.4,,,,
Jakub Vrana,DET,LW,25.0,31.8,32.6,64.4,7.2,11.4,6.0,207.2,24.1,51.0,,,,
Roope Hintz,DAL,C/LW,25.0,24.5,35.7,60.1,6.8,23.7,4.0,169.4,34.3,98.9,,,,
Joe Pavelski,DAL,C/RW,37.0,26.9,28.8,55.7,11.8,21.0,4.4,180.6,57.2,81.7,,,,
Nicklas Backstrom,WSH,C,34.0,19.4,50.7,70.0,1.9,24.2,2.8,150.5,42.1,41.1,,,,
Brady Tkachuk,OTT,LW,22.0,25.9,29.4,55.3,-10.5,13.3,3.9,297.6,39.0,316.2,,,,
Sam Reinhart,FLA,C/RW,26.0,28.4,32.7,61.1,2.8,19.4,4.1,182.4,38.2,33.8,,,,
Jack Eichel,BUF,C,25.0,22.7,39.5,62.3,-6.4,21.5,3.3,206.2,38.7,47.7,,,,
Filip Forsberg,NSH,LW,27.0,25.2,31.6,56.7,2.0,16.5,4.2,221.6,30.1,90.8,,,,
Claude Giroux,PHI,C/LW,34.0,21.5,41.8,63.3,2.1,18.6,3.6,190.5,14.3,41.7,,,,
Teuvo Teravainen,CAR,LW/RW,27.0,18.3,44.7,62.9,12.1,17.3,2.6,173.9,28.5,29.0,,,,
Tomas Hertl,SJS,C/LW,28.0,30.4,36.7,67.1,-2.7,14.0,3.8,180.9,55.6,56.6,,,,
Mike Hoffman,MTL,LW/RW,32.0,26.3,28.4,54.7,-7.2,22.1,4.1,199.6,23.1,40.7,,,,
William Karlsson,VGK,C,29.0,24.0,35.3,59.3,14.8,13.1,4.3,166.3,44.5,46.7,,,,
Bo Horvat,VAN,C,26.0,26.0,32.9,58.8,-6.5,16.9,3.1,203.7,62.6,75.9,,,,
Jason Robertson,DAL,LW,22.0,24.6,36.1,60.7,10.7,8.5,4.2,191.0,21.0,45.5,,,,
Brendan Gallagher,MTL,RW,29.0,27.6,20.7,48.3,4.8,8.0,3.6,251.5,30.9,87.9,,,,
Vladimir Tarasenko,STL,RW,30.0,22.6,29.6,52.2,2.7,14.4,3.0,216.6,37.1,81.3,,,,
Dominik Kubalik,CHI,LW/RW,26.0,29.3,24.5,53.8,-0.4,14.0,4.4,207.2,24.5,89.7,,,,
Vincent Trocheck,CAR,C,28.0,20.1,35.3,55.3,-2.7,20.0,2.9,193.8,44.0,134.5,,,,
Jonathan Toews,CHI,C,32.0,22.8,39.0,61.7,-0.7,14.0,3.8,189.4,33.0,46.2,,,,
Ryan Strome,NYR,C/RW,28.0,18.1,40.3,58.5,7.2,17.5,2.6,164.1,33.1,48.5,,,,
Oliver Bjorkstrand,CBJ,LW/RW,26.0,28.9,30.2,59.1,-4.7,9.1,4.4,222.4,36.6,63.4,,,,
Nick Suzuki,MTL,C/RW,22.0,21.6,38.7,60.3,-6.3,19.0,2.6,180.2,51.7,103.3,,,,
Jesse Puljujarvi,EDM,RW,23.0,25.1,23.4,48.5,6.0,9.7,1.0,233.0,40.4,203.9,,,,
Tyler Toffoli,MTL,LW/RW,29.0,27.5,22.6,50.1,0.2,11.6,4.3,226.6,18.6,81.7,,,,
Dylan Larkin,DET,C,25.0,21.2,35.2,56.4,-9.6,12.1,2.7,243.4,38.5,67.2,,,,
Timo Meier,SJS,LW/RW,25.0,23.6,31.1,54.7,-4.9,11.2,2.3,234.0,39.5,129.1,,,,
Anders Lee,NYI,LW,31.0,27.0,22.8,49.7,5.2,12.5,4.4,205.0,43.8,101.1,,,,
Andre Burakovsky,COL,LW/RW,26.0,23.6,32.8,56.4,9.1,17.3,3.9,142.9,31.8,36.0,,,,
Patric Hornqvist,FLA,RW,35.0,22.1,22.7,44.8,2.2,16.0,2.5,222.5,43.5,131.8,,,,
Pavel Buchnevich,STL,RW,26.0,24.0,34.8,58.8,1.2,15.0,3.3,170.6,34.7,76.3,,,,
Brock Nelson,NYI,C,30.0,27.3,27.7,54.9,5.7,10.4,4.9,185.5,45.4,54.1,,,,
Brayden Schenn,STL,C/RW,30.0,23.1,34.1,57.2,2.0,16.0,4.2,163.9,36.0,137.4,,,,
