team,name,position,goals,assists,powerplay_points,shots_on_goal,hits,blocks,game_winning_goals,wins,save_percentage,saves,shutouts
Edm,Connor McDavid,C,46.655,87.38,34.37,272.72,59.7,32.6,8.2,,,,
Edm,Leon Draisaitl,"C,LW",48.095,73.52,32.24,247.775,48.8,21.7,7.4,,,,
Col,Nathan MacKinnon,C,40.615,67.605,29.43,381.13,56.0,28.8,5.5,,,,
TB,Nikita Kucherov,RW,37.235,69.135,29.135,249.99,44.6,24.9,6.7,,,,
TB,Andrei Vasilevskiy,G,,,,,,,,43.37,0.906,2018.83,4.65
Col,Mikko Rantanen,RW,39.185,51.615,26.015,263.76,46.0,36.2,5.0,,,,
Bos,David Pastrnak,RW,44.475,49.935,25.305,327.635,57.8,24.8,6.9,,,,
Tor,Auston Matthews,C,55.095,39.425,20.495,345.815,57.9,69.6,9.1,,,,
NYR,Artemi Panarin,LW,33.745,67.52,20.26,212.875,19.9,18.1,5.5,,,,
Bos,Brad Marchand,LW,38.67,59.83,21.83,233.15,68.3,20.5,6.8,,,,
Was,Alex Ovechkin,LW,50.495,28.885,21.235,337.885,172.6,33.8,6.1,,,,
Col,Cale Makar,D,16.625,56.885,25.17,202.435,82.4,74.0,3.8,,,,
Chi,Patrick Kane,RW,32.52,63.64,22.72,280.985,21.4,18.6,4.5,,,,
Tor,Mitchell Marner,RW,24.43,67.24,17.7,244.92,,,,,,,
Fla,Jonathan Huberdeau,LW,30.37,65.6,28.395,202.61,65.2,28.1,3.8,,,,
Pit,Sidney Crosby,C,33.125,55.75,24.78,223.695,63.4,35.6,5.1,,,,
TB,Brayden Point,"C,RW",37.385,44.97,18.875,192.375,34.3,34.4,6.4,,,,
VGK,Robin Lehner,G,,,,,,,,38.535,0.912,1721.375,4.865
Car,Sebastian Aho,C,29.753,35.663,13.107,197.027,61.5,31.8,6.7,,,,
Col,Darcy Kuemper,G,,,,,,,,38.795,0.912,1650.66,4.52
NYR,Mika Zibanejad,C,41.29,40.365,20.21,244.185,96.0,59.7,6.0,,,,
Wpg,Connor Hellebuyck,G,,,,,,,,36.19,0.911,1888.825,4.825
Fla,Aleksander Barkov,C,33.61,54.94,23.0,259.475,37.5,53.7,4.8,,,,
Was,John Carlson,D,15.565,58.745,22.53,205.125,56.5,132.4,2.7,,,,
NYR,Adam Fox,D,8.94,50.395,20.65,151.06,43.1,144.2,2.4,,,,
Ott,Brady Tkachuk,LW,26.26,29.095,10.955,290.69,316.2,39.0,3.9,,,,
Car,Andrei Svechnikov,"LW,RW",26.91,42.185,18.775,241.485,159.0,31.4,4.0,,,,
Min,Kirill Kaprizov,"LW,RW",38.6,34.985,16.65,217.18,46.3,28.2,5.0,,,,
TB,Victor Hedman,D,15.23,51.73,24.275,208.045,88.6,110.9,2.5,,,,
Pit,Jake Guentzel,"LW,RW",37.28,45.42,17.935,236.17,79.5,43.2,6.0,,,,
TB,Steven Stamkos,"C,RW",35.68,43.275,23.395,207.395,71.2,32.5,5.0,,,,
Chi,Alex DeBrincat,"LW,RW",35.655,35.125,19.24,223.69,79.5,29.7,6.8,,,,
Col,Gabriel Landeskog,"C,LW",29.755,42.395,17.575,241.155,116.0,46.1,4.6,,,,
Bos,Patrice Bergeron,C,35.095,36.945,17.215,283.195,54.1,53.5,4.9,,,,
VGK,Max Pacioretty,LW,36.175,37.955,15.925,323.395,79.5,34.7,5.9,,,,
Cgy,Matthew Tkachuk,"LW,RW",26.995,42.2,17.65,219.56,151.7,18.5,3.7,,,,
NYR,Igor Shesterkin,G,,,,,,,,33.615,0.911,1719.41,3.87
Tor,John Tavares,C,32.275,41.51,17.17,260.495,57.8,41.3,5.1,,,,
Wpg,Mark Scheifele,C,33.53,52.77,18.43,183.885,46.1,53.5,5.7,,,,
VGK,Mark Stone,RW,29.015,51.635,18.97,191.745,57.7,54.0,5.6,,,,
Chi,Marc-Andre Fleury,G,,,,,,,,31.315,0.911,1781.69,4.62
