Goals,TRUE,,,,,,,,,2021-22 Fantasy Hockey Customizable Rankings,,,,,,,,,,,,,,,,,,,,,,
Assists,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Points,FALSE,,,,,,,,,Starting Goalies,,,https://www.dailyfaceoff.com/starting-goalies/,,,,,,,,,,,,,,,,,,,
Plus/Minus,TRUE,,,,,,,,,Projected Lines,,,https://www.dailyfaceoff.com/teams/,,,,,,,,,,,,,,,,,,,
PIM,FALSE,,,,,,,,,Player News,,,https://www.dailyfaceoff.com/hockey-player-news/,,,,,,,,,,,,,,,,,,,
PPG,FALSE,,,,,,,,,DFO Podcast,,,https://soundcloud.com/dailyfaceoff-podcast,,,,,,,,,,,,,,,,,,,
PPA,FALSE,,,,,,,,,,Twitter,,https://twitter.com/DailyFaceoff,,,,,,,,,,,,,,,,,,,
PPP,TRUE,,,,,,,,,,,Instagram,https://www.instagram.com/dailyfaceoff/,,,,,,,,,,,,,,,,,,,
GWG,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOG,TRUE,,Step 1:,File > Make a Copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATOI,FALSE,,Step 2:,Check off all scoring categories for your league,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLK,FALSE,,Step 3:,Check off which site you use for correct Position Eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIT,FALSE,,Step 4:,"Sort by ""SCORE"" for rankings customized to your league settings",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Players,TEAM,Pos,Age,GP,G,A,PTS,(+/-),PIM,EV,PPG,PPA,PPP,GWG,SOG,ATOI,BLK,HIT,G,A,PTS,(+/-),PIM,PPG,PPA,PPP,GWG,SOG,ATOI,BLK,HIT,SCORE
Dougie Hamilton,NJD,D,28,79.8,18.1,36.8,54.8,6.0,56.2,14.7,3.4,14.7,18.0,3.2,274.8,23.5,91.4,106.4,3.182,1.272,,0.607,,,,1.405,,3.340,,,,9.502
Roman Josi,NSH,D,31,78.6,15.0,43.7,58.7,3.4,36.9,12.0,3.0,16.4,19.4,2.6,258.3,25.3,128.6,59.9,2.303,1.942,,0.258,,,,1.589,,2.951,,,,8.915
Shea Theodore,VGK,D,26,80.3,13.3,38.2,51.4,12.4,26.7,11.3,2.0,15.7,17.7,2.0,238.3,22.5,81.5,36.1,1.822,1.408,,1.464,,,,1.366,,2.479,,,,7.806
Brent Burns,SJS,D,36,82.0,12.2,38.4,50.6,-8.7,43.6,7.4,4.8,11.2,16.0,1.7,233.1,25.9,129.0,66.0,1.510,1.427,,-1.362,,,,1.143,,2.356,,,,5.754
Jakob Chychrun,ARI,D,23,77.4,17.3,27.2,44.5,-3.2,54.8,11.7,5.6,9.3,14.9,2.8,228.2,24.3,126.7,93.7,2.955,0.338,,-0.625,,,,0.998,,2.240,,,,6.220
Alex Pietrangelo,VGK,D,32,75.2,14.2,32.8,47.0,10.0,24.8,11.0,3.2,11.4,14.6,2.7,213.6,24.6,127.6,56.6,2.077,0.883,,1.142,,,,0.959,,1.896,,,,6.385
Darnell Nurse,EDM,D,26,82.0,13.1,31.0,44.1,6.3,75.6,12.2,0.9,7.1,8.0,1.8,210.5,25.0,151.4,174.5,1.765,0.708,,0.647,,,,0.092,,1.822,,,,4.711
