name,position,team,season,points,min,max,bye,injury,age
Le'Veon Bell,RB,PIT,2018,284,256,352,7,,26
Todd Gurley,RB,LAR,2018,274,254,287,12,,24
David Johnson,RB,ARI,2018,264,243,325,9,,27
Ezekiel Elliott,RB,DAL,2018,257,225,303,8,,23
Alvin Kamara,RB,NOS,2018,236,219,291,6,,22
Melvin Gordon,RB,LAC,2018,233,218,266,8,Que,25
Antonio Brown,WR,PIT,2018,235,209,322,7,,30
Kareem Hunt,RB,KCC,2018,223,211,258,12,,23
Leonard Fournette,RB,JAC,2018,222,205,258,9,,23
Saquon Barkley,RB,NYG,2018,219,196,281,9,,21
Rob Gronkowski,TE,NEP,2018,182,153,251,11,,29
Dalvin Cook,RB,MIN,2018,213,194,265,10,,23
Julio Jones,WR,ATL,2018,211,187,292,8,,29
DeAndre Hopkins,WR,HOU,2018,207,172,281,10,,26
LeSean McCoy,RB,BUF,2018,201,172,255,11,Que,30
Devonta Freeman,RB,ATL,2018,199,182,234,8,,26
Keenan Allen,WR,LAC,2018,199,172,279,8,,26
Christian McCaffrey,RB,CAR,2018,196,166,263,4,,22
Michael Thomas,WR,NOS,2018,198,170,279,6,,25
Aaron Rodgers,QB,GBP,2018,331,316,365,7,,35
Travis Kelce,TE,KCC,2018,153,130,218,12,,29
Jordan Howard,RB,CHI,2018,187,175,201,5,,24
Tom Brady,QB,NEP,2018,316,304,340,11,,41
Zach Ertz,TE,PHI,2018,143,122,213,9,,28
A.J. Green,WR,CIN,2018,181,148,267,9,,30
Jerick McKinnon,RB,SFO,2018,176,159,230,11,Avoid,26
Davante Adams,WR,GBP,2018,178,147,253,7,,26
Alex Collins,RB,BAL,2018,174,150,194,10,,24
Derrick Henry,RB,TEN,2018,172,162,188,8,,24
Mike Evans,WR,TBB,2018,174,143,234,5,,25
Russell Wilson,QB,SEA,2018,307,294,330,7,,30
Joe Mixon,RB,CIN,2018,171,157,207,9,,22
Kenyan Drake,RB,MIA,2018,166,151,201,11,,24
Tyreek Hill,WR,KCC,2018,167,147,231,12,,24
Doug Baldwin,WR,SEA,2018,165,144,225,7,Que,30
Deshaun Watson,QB,HOU,2018,299,278,333,10,,23
Greg Olsen,TE,CAR,2018,126,107,185,4,,33
Evan Engram,TE,NYG,2018,125,109,184,9,Que,24
Delanie Walker,TE,TEN,2018,124,106,184,8,Que,34
Royce Freeman,RB,DEN,2018,160,112,203,10,,22
Drew Brees,QB,NOS,2018,296,272,333,6,,39
Jay Ajayi,RB,PHI,2018,158,149,170,9,Que,25
Stefon Diggs,WR,MIN,2018,160,137,228,10,,25
Adam Thielen,WR,MIN,2018,158,125,237,10,Que,28
T.Y. Hilton,WR,IND,2018,158,111,242,,,
Larry Fitzgerald,WR,ARI,2018,158,132,241,9,,35
Cam Newton,QB,CAR,2018,292,280,303,4,,29
Amari Cooper,WR,OAK,2018,156,133,219,7,,24
Jimmy Graham,TE,GBP,2018,116,89,168,7,,32
Lamar Miller,RB,HOU,2018,152,140,172,10,,27
Demaryius Thomas,WR,DEN,2018,152,128,227,10,,31
JuJu Smith-Schuster,WR,PIT,2018,150,135,200,7,,22
Josh Gordon,WR,CLE,2018,150,130,201,11,Que,27
Jordan Reed,TE,WAS,2018,110,91,181,4,Que,28
Kyle Rudolph,TE,MIN,2018,109,81,164,10,,29
Jack Doyle,TE,IND,2018,108,91,167,9,,28
Golden Tate,WR,DET,2018,147,124,217,6,,30
Allen Robinson,WR,CHI,2018,147,117,220,5,,25
Andrew Luck,QB,IND,2018,280,270,301,9,Que,29
Rex Burkhead,RB,NEP,2018,144,132,173,11,Que,28
Brandin Cooks,WR,LAR,2018,144,122,196,12,,25
Ben Roethlisberger,QB,PIT,2018,278,270,293,7,,36
Jarvis Landry,WR,CLE,2018,143,120,210,11,,26
Marshawn Lynch,RB,OAK,2018,140,130,176,7,,32
Carson Wentz,QB,PHI,2018,276,259,296,9,Que,26
Marlon Mack,RB,IND,2018,139,128,165,9,Que,22
Matthew Stafford,QB,DET,2018,274,270,281,6,,30
Kirk Cousins,QB,MIN,2018,273,266,284,10,,30
Carlos Hyde,RB,CLE,2018,137,125,155,11,,28
Alex Smith,QB,WAS,2018,272,262,288,4,,34
Dion Lewis,RB,TEN,2018,136,124,173,8,,28
Chris Hogan,WR,NEP,2018,137,105,199,11,,30
Marquise Goodwin,WR,SFO,2018,137,113,191,11,,28
Robert Woods,WR,LAR,2018,136,117,191,12,,26
Tevin Coleman,RB,ATL,2018,134,121,164,8,,25
Marvin Jones,WR,DET,2018,135,133,142,6,,28
Jimmy Garoppolo,QB,SFO,2018,269,264,282,11,,27
Philip Rivers,QB,LAC,2018,268,261,278,8,,37
Mark Ingram,RB,NOS,2018,132,112,153,6,Sus,29
Trey Burton,TE,CHI,2018,95,79,131,5,,27
Matt Ryan,QB,ATL,2018,267,262,275,8,,33
Michael Crabtree,WR,BAL,2018,133,111,195,10,,31
Devin Funchess,WR,CAR,2018,133,119,186,4,,24
George Kittle,TE,SFO,2018,92,80,124,11,Que,25
Cooper Kupp,WR,LAR,2018,130,107,185,12,,25
Alshon Jeffery,WR,PHI,2018,130,113,169,9,Out,28
Sammy Watkins,WR,KCC,2018,129,93,188,12,,25
Jamison Crowder,WR,WAS,2018,128,109,186,4,Que,25
Pierre Garcon,WR,SFO,2018,128,111,191,11,,32
Robby Anderson,WR,NYJ,2018,128,108,188,11,,25
Jared Cook,TE,OAK,2018,89,77,121,7,,31
Cameron Brate,TE,TBB,2018,89,79,115,5,,27
Jared Goff,QB,LAR,2018,261,256,268,12,,24
Jamaal Williams,RB,GBP,2018,125,100,156,,,
DeVante Parker,WR,MIA,2018,127,100,169,11,Que,25
Charles Clay,TE,BUF,2018,87,72,137,11,,29
Tyler Eifert,TE,CIN,2018,87,74,117,9,,28
Corey Davis,WR,TEN,2018,126,105,197,8,,23
Eric Ebron,TE,IND,2018,87,56,121,9,,25
Chris Carson,RB,SEA,2018,124,114,137,7,,24
Randall Cobb,WR,GBP,2018,125,101,190,7,,28
Marcus Mariota,QB,TEN,2018,259,252,270,8,,25
Ricky Seals-Jones,TE,ARI,2018,85,69,115,9,,23
Kerryon Johnson,RB,DET,2018,121,111,151,6,,21
Emmanuel Sanders,WR,DEN,2018,123,95,191,10,,31
David Njoku,TE,CLE,2018,83,52,128,11,,22
Peyton Barber,RB,TBB,2018,119,76,165,5,,24
Sterling Shepard,WR,NYG,2018,121,100,188,9,,25
Vance McDonald,TE,PIT,2018,81,63,123,7,Que,28
Isaiah Crowell,RB,NYJ,2018,117,79,158,11,Que,25
Kenny Stills,WR,MIA,2018,118,95,179,11,,26
Nelson Agholor,WR,PHI,2018,118,104,167,9,,25
Patrick Mahomes,QB,KCC,2018,251,232,272,12,,23
Dak Prescott,QB,DAL,2018,251,236,264,8,,25
Kelvin Benjamin,WR,BUF,2018,117,94,180,11,,27
Austin Seferian-Jenkins,TE,JAC,2018,77,58,122,9,,26
Ronald Jones,RB,TBB,2018,114,71,141,5,,21
Julian Edelman,WR,NEP,2018,116,91,160,11,Sus,32
O.J. Howard,TE,TBB,2018,77,64,105,5,,24
Austin Hooper,TE,ATL,2018,76,56,119,8,,24
Blake Bortles,QB,JAC,2018,249,245,254,9,,27
Duke Johnson,RB,CLE,2018,109,106,119,11,,25
Mohamed Sanu,WR,ATL,2018,111,90,172,8,,29
James White,RB,NEP,2018,109,82,146,11,,26
Jordy Nelson,WR,OAK,2018,111,76,182,7,,33
Kenny Golladay,WR,DET,2018,110,94,159,6,,25
Keelan Cole,WR,JAC,2018,110,89,153,9,,25
Keelan Cole,WR,JAC,2018,110,89,153,9,,25
Giovani Bernard,RB,CIN,2018,107,90,125,9,,27
Bilal Powell,RB,NYJ,2018,105,91,124,11,,30
DeSean Jackson,WR,TBB,2018,106,94,138,5,,32
Ryan Tannehill,QB,MIA,2018,239,229,254,,,
Josh Doctson,WR,WAS,2018,105,84,170,4,,26
Tarik Cohen,RB,CHI,2018,102,81,161,5,,23
Allen Hurns,WR,DAL,2018,104,86,160,8,,27
Danny Amendola,WR,MIA,2018,103,70,145,11,,33
Rishard Matthews,WR,TEN,2018,103,89,146,,,
Mike Gesicki,TE,MIA,2018,63,30,114,11,,23
Tyrell Williams,WR,LAC,2018,102,92,120,8,Que,26
Derek Carr,QB,OAK,2018,235,228,254,7,,27
Andy Dalton,QB,CIN,2018,235,226,254,9,,31
Will Fuller,WR,HOU,2018,101,87,110,10,Que,24
Cameron Meredith,WR,NOS,2018,101,85,144,6,,26
C.J. Anderson,RB,CAR,2018,97,91,108,4,,27
Case Keenum,QB,DEN,2018,233,221,248,,,
Rashaad Penny,RB,SEA,2018,97,51,141,7,Que,22
Ty Montgomery,RB,GBP,2018,96,78,134,7,,25
Hayden Hurst,TE,BAL,2018,59,49,93,10,Out,25
Vernon Davis,TE,WAS,2018,58,40,70,,,
Blake Jarwin,TE,DAL,2018,57,47,85,,,
Doug Martin,RB,OAK,2018,93,76,130,,,
Theo Riddick,RB,DET,2018,93,80,134,6,,27
Devontae Booker,RB,DEN,2018,93,83,107,10,,26
John Ross,WR,CIN,2018,95,72,147,9,,23
Virgil Green,TE,LAC,2018,56,43,82,,,
Tyler Lockett,WR,SEA,2018,94,72,146,7,Que,26
Eli Manning,QB,NYG,2018,228,211,242,9,,37
Mitchell Trubisky,QB,CHI,2018,227,188,264,,,
Sony Michel,RB,NEP,2018,89,59,115,11,Que,23
Jake Butt,TE,DEN,2018,52,44,68,,,
Luke Willson,TE,DET,2018,51,33,80,,,
Martavis Bryant,WR,OAK,2018,90,75,117,7,,27
Quincy Enunwa,WR,NYJ,2018,89,78,116,,,
Mike Wallace,WR,PHI,2018,88,67,116,9,,32
Paul Richardson,WR,WAS,2018,88,67,147,,,
Javorius Allen,RB,BAL,2018,86,65,118,10,,27
Chris Godwin,WR,TBB,2018,87,73,137,5,,22
Chris Thompson,RB,WAS,2018,85,7,157,4,Que,28
Donte Moncrief,WR,JAC,2018,86,70,127,,,
Latavius Murray,RB,MIN,2018,84,73,105,10,,28
Ryan Grant,WR,IND,2018,86,66,129,9,,28
Jameis Winston,QB,TBB,2018,220,213,234,,,
Matt Breida,RB,SFO,2018,84,73,92,11,Que,23
Dede Westbrook,WR,JAC,2018,86,74,114,9,,25
Corey Clement,RB,PHI,2018,84,72,102,9,,24
Tyler Higbee,TE,LAR,2018,46,40,62,,,
Tyler Higbee,TE,LAR,2018,46,40,62,,,
Tyler Kroft,TE,CIN,2018,46,41,56,,,
Chris Thompson,WR,HOU,2018,85,7,157,4,Que,28
John Brown,WR,BAL,2018,85,71,119,10,,28
Jermaine Kearse,WR,NYJ,2018,82,66,105,,,
Gerald Everett,TE,LAR,2018,43,34,75,12,Que,24
Frank Gore,RB,MIA,2018,80,64,92,,,
Austin Ekeler,RB,LAC,2018,80,70,99,8,,23
James Washington,WR,PIT,2018,82,60,115,7,Que,22
Jesse James,TE,PIT,2018,43,37,51,,,
Dallas Goedert,TE,PHI,2018,42,30,61,,,
Nick Vannett,TE,SEA,2018,42,30,61,,,
Nick Vannett,TE,SEA,2018,42,30,61,,,
Garrett Celek,TE,SFO,2018,42,30,53,,,
Anthony Miller,WR,CHI,2018,81,50,137,5,,24
Jermaine Gresham,TE,ARI,2018,41,34,57,,,
Adam Shaheen,TE,CHI,2018,41,32,59,5,Que,24
Calvin Ridley,WR,ATL,2018,79,53,123,8,,24
Ryan Griffin,TE,HOU,2018,40,1,93,10,,28
Travis Benjamin,WR,LAC,2018,79,52,116,,,
T.J. Yeldon,RB,JAC,2018,77,62,97,9,,25
D.J. Moore,WR,CAR,2018,78,76,80,4,,21
Ed Dickson,TE,SEA,2018,39,36,42,7,Out,31
Jonnu Smith,TE,TEN,2018,38,36,42,,,
Tyrod Taylor,QB,CLE,2018,211,169,242,,,
Taywan Taylor,WR,TEN,2018,77,60,114,8,,23
Terrance Williams,WR,DAL,2018,77,64,111,,,
Stephen Anderson,TE,HOU,2018,38,35,43,,,
Sean Culkin,TE,LAC,2018,38,32,50,,,
Mark Andrews,TE,BAL,2018,37,27,56,,,
Jeff Heuerman,TE,DEN,2018,36,30,49,,,
Nyheim Hines,RB,IND,2018,73,67,90,,,
Courtland Sutton,WR,DEN,2018,73,52,121,10,,23
Jordan Akins,TE,HOU,2018,34,24,54,,,
Rob Kelley,RB,WAS,2018,71,53,98,,,
Kenneth Dixon,RB,BAL,2018,71,57,89,,,
Chris Ivory,RB,BUF,2018,70,44,86,,,
LeGarrette Blount,RB,DET,2018,70,58,83,6,,32
Adrian Peterson,RB,WAS,2018,69,40,110,4,,33
Aaron Jones,RB,GBP,2018,69,45,91,7,Sus,24
Mike Williams,WR,LAC,2018,71,32,119,8,,24
Christian Kirk,WR,ARI,2018,71,44,107,9,,22
Nick O'Leary,TE,BUF,2018,31,30,34,,,
Michael Gallup,WR,DAL,2018,70,35,112,8,,22
Cole Beasley,WR,DAL,2018,70,53,123,,,
A.J. Derby,TE,MIA,2018,31,23,46,,,
Darren Sproles,RB,PHI,2018,67,59,94,,,
Demetrius Harris,TE,KCC,2018,30,25,40,,,
Albert Wilson,WR,MIA,2018,69,55,112,,,
Marcedes Lewis,TE,GBP,2018,29,25,31,,,
Levine Toilolo,TE,DET,2018,29,18,50,,,
Joe Flacco,QB,BAL,2018,202,200,206,,,
D'Onta Foreman,RB,HOU,2018,65,43,78,,,
Tyler Boyd,WR,CIN,2018,67,48,95,,,
Josh Hill,TE,NOS,2018,27,24,35,,,
Seth DeValve,TE,CLE,2018,27,21,31,,,
Corey Coleman,WR,BUF,2018,66,51,83,,,
Nick Boyle,TE,BAL,2018,27,23,31,,,
Sam Darnold,QB,NYJ,2018,199,183,221,,,
Jordan Leggett,TE,NYJ,2018,26,21,35,,,
Jordan Wilkins,RB,IND,2018,62,34,85,9,,24
Geronimo Allison,WR,GBP,2018,64,57,76,,,
Brandon Marshall,WR,SEA,2018,64,47,95,7,,34
Chester Rogers,WR,IND,2018,64,46,102,,,
Jace Amaro,TE,KCC,2018,24,20,33,,,
Nick Chubb,RB,CLE,2018,61,33,85,11,,23
Adam Humphries,WR,TBB,2018,63,36,94,,,
Rhett Ellison,TE,NYG,2018,24,20,32,,,
Willie Snead,WR,BAL,2018,62,33,120,10,,26
Jacob Hollister,TE,NEP,2018,23,12,45,,,
Ian Thomas,TE,CAR,2018,22,17,31,,,
J.J. Nelson,WR,ARI,2018,61,53,77,9,,26
Trent Taylor,WR,SFO,2018,61,48,86,,,
Taylor Gabriel,WR,CHI,2018,60,45,92,,,
