score,round,arbitrage,adp,my_rank,name,position,multi,position_rank,goals,assists,plus_minus,powerplay_points,shots_on_goal,hits,blocks,wins,goals_against_average,saves,save_percentage,shutouts
1.0,2.8,17.0,18.0,1.0,Pekka Rinne,G,G,1.0,,,,,,,,0.6830053354325201,0.9543417531456913,0.8980627177700348,0.8901369372881576,0.8785416128933969
0.9639966426426028,6.0,48.0,50.0,2.0,John Gibson,G,G,2.0,,,,,,,,0.5546750634129276,0.9302827173521022,0.9521951219512196,0.8650626573645447,0.8281141122430136
0.9402857981599024,3.3,20.0,23.0,3.0,Connor Hellebuyck,G,G,3.0,,,,,,,,0.745211230648124,0.7738989846937743,0.8869686411149826,0.8149140975173302,0.8478123546845697
0.9392235284025099,2.2,8.0,12.0,4.0,Andrei Vasilevskiy,G,G,4.0,,,,,,,,0.8,0.6776628415194196,1.0,0.7396912577464917,0.9360604808227404
0.9267540612373666,4.4,29.0,34.0,5.0,Jonathan Quick,G,G,5.0,,,,,,,,0.6105833989329136,0.9142433601563766,0.935195619711299,0.7146169778228845,0.8352054795219737
0.9265457230803291,5.4,38.0,44.0,6.0,Marc-Andre Fleury,G,G,6.0,,,,,,,,0.5704889355374794,0.9302827173521029,0.7454056744649079,0.9277483571735684,0.8178710261734045
0.9079178563650145,1.3,-4.0,3.0,7.0,Alex Ovechkin,LW,LW,1.0,0.8397626887627894,0.3834939326787074,0.839176509315898,0.6894210058882351,0.9546821304786236,0.7489134092695559,0.09899146445892043,,,,,
0.8986289124878943,3.5,17.0,25.0,8.0,Sergei Bobrovsky,G,G,7.0,,,,,,,,0.6262573252864516,0.7618694667969801,0.9630144350423098,0.7271541177846881,0.6610730163386189
0.8909210155295415,3.0,11.0,20.0,9.0,Brent Burns,D,D,1.0,0.23983448282547784,0.5597728828705519,0.501264795008101,0.7076596568376593,0.7687703471748916,0.297155990809368,0.7540820380841292,,,,,
0.8896034472245132,4.0,20.0,30.0,10.0,Erik Karlsson,D,D,2.0,0.20317842173509176,0.6981385198517525,0.6562137110280123,0.6492959737995018,0.4382605101904793,0.24495291134285743,0.8792771254880579,,,,,
0.8830041077874102,3.2,11.0,22.0,11.0,Victor Hedman,D,D,3.0,0.18471048255978276,0.49489956141607366,0.8897392705897341,0.6492959737995018,0.4159287644482892,0.37144498851171004,0.6317984643407568,,,,,
0.8790604282806874,4.2,20.0,32.0,12.0,Tuukka Rask,G,G,8.0,,,,,,,,0.6445202484037438,0.8901843243627875,0.8120895968143356,0.6644684179756645,0.8430847764985964
0.8779556679357181,4.8,25.0,38.0,13.0,Dustin Byfuglien,D,D,4.0,0.14423025224622657,0.40905591956260917,0.7672129789652162,0.5325686077231868,0.44384344662602676,0.6665931685723662,0.5473645681846189,,,,,
0.8745010223565651,9.3,69.0,83.0,14.0,John Carlson,D,D,5.0,0.16433045877288868,0.5036724660967504,0.7607376389655697,0.6784778153185805,0.41704535173539875,0.18471858888149903,0.7628165790657987,,,,,
0.8738396352438931,2.9,4.0,19.0,15.0,Blake Wheeler,C,RW/C,1.0,0.4015688592395479,0.7481594675924533,0.7400716602432934,0.7660233398758167,0.6023988413955759,0.3493590702758786,0.2795053114134224,,,,,
0.871757736770954,7.6,50.0,66.0,16.0,Devan Dubnyk,G,G,9.0,,,,,,,,0.6093238869937899,0.7979580204873634,0.8518108511697362,0.7271541177846936,0.7910814164528884
0.8716999888758393,1.2,-15.0,2.0,17.0,Nikita Kucherov,RW,RW,1.0,0.6771888605680236,0.6518114267134417,0.8066161117290229,0.8316824832937438,0.6794433642061315,0.1264920771688526,0.05823027321112966,,,,,
0.8711300379809122,6.9,41.0,59.0,18.0,Roman Josi,D,D,6.0,0.1648434570833139,0.4259476088381227,0.8058353969772923,0.5471595284827262,0.4896235253975163,0.23290604685058575,0.7482590107630163,,,,,
0.8621560656823646,1.4,-15.0,4.0,19.0,Sidney Crosby,C,C,2.0,0.5701587585293008,0.7406948030834565,0.7450314951366396,0.8389779436735136,0.6023988413955759,0.2389294790967216,0.11937206008281581,,,,,
0.8605167453151896,6.2,32.0,52.0,20.0,Drew Doughty,D,D,7.0,0.11153826900912647,0.4429932087220693,0.602711788335897,0.5471595284827262,0.37908138397367563,0.4758511474447312,0.6201524096985309,,,,,
0.8584633011408095,6.8,37.0,58.0,21.0,P.K. Subban,D,D,8.0,0.16675554169489892,0.44407058298109975,0.7679477693197859,0.598227751141114,0.3277183687666387,0.37947623150655785,0.5153379179184976,,,,,
0.8579845836176287,6.4,32.0,54.0,22.0,Seth Jones,D,D,9.0,0.19361799867716661,0.413519327207164,0.6157083927323508,0.5033867662041082,0.49855622369439234,0.3092028553016397,0.6842057102307736,,,,,
0.855844442115342,,,,23.0,Kris Letang,D,D,10.0,0.09251069531335356,0.4598079426933665,0.6286590727316439,0.5544549888624959,0.37238186025101866,0.4136090142346609,0.5590106228268448,,,,,
0.8557597960622714,2.6,-8.0,16.0,24.0,Taylor Hall,LW,LW,2.0,0.5901656926358855,0.5833981612650061,0.512332574723809,0.6492959737995018,0.6615779676123795,0.24294510059414545,0.1717793059728325,,,,,
0.8549401968794454,1.5,-20.0,5.0,25.0,Brad Marchand,LW,LW,3.0,0.6188935980196997,0.5949414568974756,0.8441363442092444,0.5836368303815747,0.49855622369439234,0.16664829214309154,0.11937206008281581,,,,,
0.8548056851554514,5.0,14.0,40.0,26.0,Martin Jones,G,G,10.0,,,,,,,,0.6131024228111608,0.7979580204873642,0.8777222498755599,0.6393941380520572,0.71071258729134
0.8526012672366299,7.7,40.0,67.0,27.0,Shayne Gostisbehere,D,D,11.0,0.17692223548332667,0.5026335694898282,0.5415404913179593,0.7733188002555864,0.4617088432197788,0.14657018465597207,0.5066033769368281,,,,,
0.8520214131863979,2.4,-14.0,14.0,28.0,David Pastrnak,RW,RW,2.0,0.5996794794837721,0.5031722566193434,0.7075571870535787,0.6420005134197321,0.6280803489990945,0.222866993107026,0.11354903276170285,,,,,
0.8501156803365588,4.5,6.0,35.0,29.0,Filip Forsberg,LW,LW,4.0,0.5009039866218918,0.4297568963968377,0.8507494574003729,0.45961400392549,0.46952495422954527,0.36943717776299806,0.14557568302782417,,,,,
0.8487065219910168,11.0,70.0,100.0,30.0,Patric Hornqvist,RW,RW,3.0,0.4786118782234127,0.18646270211648985,0.7346066569811801,0.4085457812671023,0.5655514609209624,0.6003354138648719,0.26494774311063995,,,,,
0.848271768742736,4.6,5.0,36.0,31.0,Frederik Andersen,G,G,11.0,,,,,,,,0.7058864689932652,0.5333086267578859,0.9645196615231458,0.7020798378610753,0.6626488757339433
0.8475719181404547,1.1,-31.0,1.0,32.0,Connor McDavid,C,C,3.0,0.6540573003888486,0.851818262372029,0.7280394681872124,0.576341370001805,0.6504120947412846,0.08633586219461369,0.14266416936726767,,,,,
0.8459545566782294,2.5,-18.0,15.0,33.0,Jamie Benn,C,LW/C,4.0,0.585315526791865,0.4933604553317444,0.6207141520228577,0.576341370001805,0.5655514609209624,0.48990582268571486,0.26203622945008354,,,,,
0.8452643609253254,6.1,17.0,51.0,34.0,Jakub Voracek,RW,RW,4.0,0.28026807692899536,0.6498875441080302,0.528497962524345,0.7952051813948955,0.5119552711397064,0.10239834818430925,0.11354903276170285,,,,,
0.8451143575691675,2.7,-18.0,17.0,35.0,Steven Stamkos,C,C,5.0,0.532756518078296,0.5793964854457501,0.8201638088914041,0.7076596568376593,0.4918566999717353,0.2750700725735366,0.11937206008281581,,,,,
0.8450935907768948,8.5,39.0,75.0,36.0,Torey Krug,D,D,12.0,0.18172576511730856,0.49486108376396537,0.6290723923060895,0.6055232115208836,0.41704535173539875,0.24093728984543353,0.4163464534595771,,,,,
0.8449124866959812,7.8,31.0,68.0,37.0,John Klingberg,D,D,13.0,0.09642813695660093,0.6010594035826844,0.5656048754301211,0.6055232115208836,0.35674963823148564,0.15058580615339595,0.5211609452396105,,,,,
0.8447266672368563,12.2,74.0,112.0,38.0,Ivan Provorov,D,D,14.0,0.18774183621229557,0.19823686366160873,0.6102433894702377,0.1677955887347027,0.38578090769633266,0.4979370656805626,0.9375073986991875,,,,,
0.8429459473040937,13.3,84.0,123.0,39.0,Jake Muzzin,D,D,15.0,0.06396933476969414,0.29027540750449843,0.4405527419617693,0.37936393974802346,0.3165524958955436,0.67060879006979,0.6696481419279912,,,,,
0.8418544823593244,12.6,76.0,116.0,40.0,Ryan Suter,D,D,16.0,0.028059453039926595,0.42098399171616085,0.6221378083348367,0.5398640681029565,0.21829281462990746,0.25699977583512906,0.6900287375518864,,,,,
0.8415838580142249,4.7,-4.0,37.0,41.0,Mitchell Marner,RW,RW,5.0,0.44372799311449573,0.6107172942618504,0.5541237761399675,0.91922800785098,0.5543855880498674,,,,,,,
0.8411766079196836,5.9,7.0,49.0,42.0,Joe Pavelski,C,RW/C,6.0,0.3819350148132723,0.4375678597748087,0.5892559399678372,0.598227751141114,0.5097220965654873,0.447741796962764,0.343558611945665,,,,,
0.8408391039570957,11.8,65.0,108.0,43.0,Rasmus Ristolainen,D,D,17.0,0.031370623952671386,0.33017673274073456,0.09644123403728923,0.5909322907613443,0.3288349560537481,0.6886790868081976,0.6958517648729995,,,,,
0.840836514705124,4.1,-13.0,31.0,44.0,Phil Kessel,RW,RW,6.0,0.4869131236102941,0.5733170164126494,0.6578669893257945,0.7587278794960469,0.6035154286826856,0.006023432246135839,0.026203622945008352,,,,,
0.840242900740668,10.6,51.0,96.0,45.0,Max Pacioretty,LW,LW,5.0,0.46103002703883833,0.27615410918077754,0.7213345062017629,0.4085457812671023,0.6470623328799561,0.37144498851171004,0.13101811472504177,,,,,
0.8400350986447799,11.2,56.0,102.0,46.0,Morgan Rielly,D,D,18.0,0.04456867139361194,0.4832023551751713,0.6101515406759165,0.6055232115208836,0.31208614674710555,0.16464048139437956,0.5415415408635058,,,,,
0.8393217319408466,1.6,-41.0,6.0,47.0,Patrik Laine,RW,RW,7.0,0.7303541400120951,0.27457652544433997,0.7262943410951092,0.5690459096220353,0.5677846354951813,0.29314036931194415,0.16886779231227603,,,,,
0.8379192427740132,8.9,31.0,79.0,48.0,Ryan Getzlaf,C,C,7.0,0.1951103573984037,0.7178006000790587,0.6577292161343126,0.5471595284827262,0.20377717989748403,0.3915230959988295,0.3522931529273345,,,,,
0.8377947619798287,1.9,-40.0,9.0,49.0,John Tavares,C,C,8.0,0.619126779069893,0.5242580099746543,0.7654678518731128,0.6638868945590412,0.6861428879287885,0.1264920771688526,0.10190297811947692,,,,,
0.8376588593175454,2.3,-37.0,13.0,50.0,Evgeni Malkin,C,C,9.0,0.643610789340189,0.5912860799471935,0.8212659944232586,0.7587278794960469,0.4728747160908738,0.12849988791756453,0.09316843713780747,,,,,
0.8373047214724751,3.1,-30.0,21.0,51.0,Claude Giroux,C,C/LW,10.0,0.4351935666774211,0.6865182689150664,0.6944687338628037,0.7733188002555864,0.4058794788643037,0.19475764262505876,0.10481449178003341,,,,,
