team,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,games,off_day_score
chicago-blackhawks,0,1,1,0,1,0,1,4,0.85
ottawa-senators,1,0,1,1,0,0,1,4,0.85
vancouver-canucks,1,0,1,1,0,1,0,4,0.83
columbus-blue-jackets,0,1,0,1,1,0,1,4,0.64
anaheim-ducks,0,1,0,1,0,1,1,4,0.18
buffalo-sabres,0,1,0,1,0,1,1,4,0.18
colorado-avalanche,0,1,0,1,0,1,1,4,0.18
dallas-stars,0,1,0,1,0,1,1,4,0.18
detroit-red-wings,0,1,0,1,0,1,1,4,0.18
edmonton-oilers,0,1,0,1,0,1,1,4,0.18
florida-panthers,0,1,0,1,0,1,1,4,0.18
minnesota-wild,0,1,0,1,0,1,1,4,0.18
new-jersey-devils,0,1,0,1,0,1,1,4,0.18
new-york-islanders,0,1,0,1,0,1,1,4,0.18
philadelphia-flyers,0,1,0,1,0,1,1,4,0.18
st-louis-blues,0,1,0,1,0,1,1,4,0.18
nashville-predators,0,1,1,0,0,1,0,3,0.33
carolina-hurricanes,0,0,0,1,0,1,1,3,0.14
boston-bruins,0,1,0,1,0,1,0,3,0.12
calgary-flames,0,1,0,1,0,1,0,3,0.12
new-york-rangers,0,1,0,1,0,1,0,3,0.12
pittsburgh-penguins,0,1,0,1,0,1,0,3,0.12
toronto-maple-leafs,0,1,0,1,0,1,0,3,0.12
washington-capitals,0,1,0,1,0,1,0,3,0.12
montreal-canadiens,0,0,0,1,0,1,0,2,0.08
tampa-bay-lightning,0,0,0,1,0,1,0,2,0.08
winnipeg-jets,0,1,0,0,0,1,0,2,0.08
arizona-coyotes,0,1,0,1,0,0,0,2,0.07
los-angeles-kings,0,1,0,1,0,0,0,2,0.07
san-jose-sharks,0,1,0,1,0,0,0,2,0.07
vegas-golden-knights,0,1,0,1,0,0,0,2,0.07
