,team,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,games,off_day_score
0,Pit,1.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,0.42
1,Was,1.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,0.42
2,Col,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.37
3,VGK,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.37
4,Car,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,0.31
5,Cgy,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,0.31
6,Chi,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,0.31
7,Det,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,0.31
8,Edm,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,0.31
9,Fla,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,0.31
10,Van,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,0.28
11,Wpg,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,0.28
12,Tor,0.0,1.0,0.0,1.0,1.0,0.0,1.0,4.0,0.24
13,Buf,0.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,0.22
14,Dal,0.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,0.22
15,NYI,0.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,0.22
16,Nsh,0.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,0.22
17,Ott,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.2
18,LA,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,0.17
19,Min,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,0.17
20,NJ,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,0.17
21,NYR,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,0.17
22,Anh,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.14
23,Ari,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.14
24,Cls,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.14
25,SJ,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.14
26,StL,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.14
27,TB,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.14
28,Bos,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.05
29,Phi,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.05
30,Mon,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.04
