league,week,date,home,away
84778,2,2021-01-25,12,2
84778,3,2021-02-01,12,8
84778,4,2021-02-08,12,3
84778,5,2021-02-15,12,9
84778,6,2021-02-22,12,4
84778,7,2021-03-01,12,10
84778,8,2021-03-08,12,5
84778,9,2021-03-15,12,11
84778,10,2021-03-22,12,6
84778,11,2021-03-29,12,1
84778,12,2021-04-05,12,7
84778,13,2021-04-12,12,2
84570,2,2021-01-25,3,1
84570,3,2021-02-01,3,2
84570,4,2021-02-08,3,12
84570,5,2021-02-15,3,4
84570,6,2021-02-22,3,5
84570,7,2021-03-01,3,6
84570,8,2021-03-08,3,7
84570,9,2021-03-15,3,8
84570,10,2021-03-22,3,9
84570,11,2021-03-29,3,10
84570,12,2021-04-05,3,11
84570,13,2021-04-12,3,1
84919,2,2021-01-25,5,10
84919,3,2021-02-01,5,11
84919,4,2021-02-08,5,1
84919,5,2021-02-15,5,2
84919,6,2021-02-22,5,3
84919,7,2021-03-01,5,4
84919,8,2021-03-08,5,12
84919,9,2021-03-15,5,6
84919,10,2021-03-22,5,7
84919,11,2021-03-29,5,8
84919,12,2021-04-05,5,9
84919,13,2021-04-12,5,10
