league,owner,name,team,position,ranking_draft,ranking_custom,target,goals,assists,plus_minus,powerplay_points,shots_on_goal,hits,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,games,off_day_score,fetched
84778,12,Steven Stamkos,TB,"LW,RW",23,1.0,True,2.2,2.9,0.8,1.6,12.6,3.7,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.45,2021-02-02 21:09:40.553541
84778,A,Zach Parise,Min,LW,187,2.0,False,1.9,2.1,-0.3,1.2,15.2,1.7,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,0.22,2021-02-02 21:09:40.553541
84778,A,Phil Kessel,Ari,RW,191,3.0,False,1.5,2.3,-1.3,1.7,11.5,0.8,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,0.22,2021-02-02 21:09:40.553541
84778,A,Evgenii Dadonov,Ott,"LW,RW",151,4.0,True,1.5,2.2,-0.5,1.1,12.3,3.2,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,0.15,2021-02-02 21:09:40.553541
84778,A,Josh Norris,Ott,C,358,5.0,True,1.3,1.6,0.0,1.0,13.7,6.2,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,0.15,2021-02-02 21:09:40.553541
84778,A,Alexander Radulov,Dal,"LW,RW",106,6.0,True,1.3,2.1,1.0,1.3,10.8,3.4,,,,,,,,,,2021-02-02 21:09:40.553541
84778,12,Patric Hornqvist,Fla,RW,119,7.0,True,1.4,1.2,0.3,0.7,11.7,7.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.22,2021-02-02 21:09:40.553541
84778,12,Sean Monahan,Cgy,C,98,8.0,False,1.4,1.7,0.3,1.2,9.5,2.4,1.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,0.25,2021-02-02 21:09:40.553541
84778,A,Nick Paul,Ott,"C,LW",560,9.0,False,0.9,1.3,0.3,0.3,10.4,12.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,0.15,2021-02-02 21:09:40.553541
84778,A,Roope Hintz,Dal,"C,LW",210,10.0,True,1.2,1.2,0.2,1.1,9.2,5.5,,,,,,,,,,2021-02-02 21:09:40.553541
84778,A,Christian Dvorak,Ari,"C,LW",340,11.0,True,1.4,1.7,0.1,0.8,9.9,3.2,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,0.22,2021-02-02 21:09:40.553541
84778,A,Kevin Hayes,Phi,C,183,12.0,True,1.4,1.6,0.0,0.6,9.7,4.9,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,0.42,2021-02-02 21:09:40.553541
84778,A,Clayton Keller,Ari,"LW,RW",197,13.0,False,1.1,1.9,0.0,0.9,11.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,0.22,2021-02-02 21:09:40.553541
84778,A,Nick Schmaltz,Ari,"C,RW",251,14.0,False,1.0,2.3,0.0,1.1,7.9,0.8,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,0.22,2021-02-02 21:09:40.553541
84778,A,Derick Brassard,Ari,"C,RW",293,15.0,True,0.7,1.8,0.4,0.7,7.5,7.2,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,0.22,2021-02-02 21:09:40.553541
84778,A,Evander Kane,SJ,"LW,RW",63,16.0,True,1.1,1.0,-0.4,0.6,10.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.16,2021-02-02 21:09:40.553541
84778,A,Zach Sanford,StL,LW,508,17.0,False,1.3,1.3,0.8,0.3,10.0,6.7,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,0.22,2021-02-02 21:09:40.553541
84778,A,Tyler Johnson,TB,"C,RW",250,18.0,True,1.3,1.5,0.6,0.6,9.3,4.1,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.45,2021-02-02 21:09:40.553541
84778,A,Dustin Brown,LA,RW,149,19.0,True,1.1,1.2,-0.3,0.6,8.4,7.2,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.22,2021-02-02 21:09:40.553541
