name,team,position,goals,assists,plus_minus,powerplay_points,shots_on_goal,hits,rank
Mika Zibanejad,NYR,C,2.0,2.2,0.2,1.5,14.8,6.3,5.9
Elias Lindholm,Cgy,"C,RW",1.5,1.8,0.3,1.3,9.1,5.7,26.4
Brent Burns,SJ,D,0.7,2.0,-0.1,1.2,10.0,2.4,30.0
Dougie Hamilton,Car,D,0.6,1.2,0.7,0.7,8.2,2.9,30.7
Neal Pionk,Wpg,D,0.2,1.7,0.4,1.0,6.5,5.7,41.8
Jonathan Marchessault,VGK,"C,LW",0.8,1.2,0.2,0.5,8.6,4.1,44.1
David Perron,StL,"LW,RW",1.1,1.6,0.0,1.1,7.4,3.3,56.7
Patric Hornqvist,Fla,RW,1.2,1.1,0.5,0.6,10.5,5.9,64.2
Rasmus Ristolainen,Buf,D,0.3,1.8,-0.1,0.8,7.7,11.4,71.2
Bryan Rust,Pit,"LW,RW",1.0,1.6,0.6,0.5,8.1,5.2,74.3
Cam Atkinson,Cls,RW,1.0,1.0,0.0,0.4,10.1,1.1,82.9
Oliver Bjorkstrand,Cls,"LW,RW",1.3,1.2,0.5,0.4,10.1,2.9,83.7
Nate Schmidt,Van,D,0.6,1.9,1.0,0.6,9.4,2.9,105.7
Tyler Myers,Van,D,0.5,1.3,-0.2,0.5,9.7,7.3,164.0
