name,team,position,goals,assists,plus_minus,powerplay_points,shots_on_goal,hits,rank
Mike Hoffman,StL,"LW,RW",1.4,1.5,-0.2,1.3,9.5,1.2,39.3
Chris Kreider,NYR,LW,1.6,1.1,0.3,0.7,10.6,9.0,46.6
Brock Nelson,NYI,C,1.4,1.4,0.2,0.5,10.0,2.9,62.7
Anthony Cirelli,TB,C,1.0,1.8,1.5,0.3,7.0,5.2,68.2
Evgenii Dadonov,Ott,"LW,RW",1.1,1.6,-0.3,0.8,8.8,2.3,70.9
Zach Parise,Min,LW,1.7,1.9,-0.3,1.1,13.7,1.4,75.8
Phillip Danault,Mon,C,0.6,1.7,0.7,0.2,6.4,5.7,77.4
Jason Zucker,Pit,"LW,RW",1.3,1.4,0.1,0.7,8.8,4.7,82.5
Craig Smith,Bos,RW,1.1,1.0,0.8,0.4,12.0,3.6,86.3
Tanner Pearson,Van,LW,1.3,1.6,-0.1,0.4,11.2,8.5,86.4
Pavel Buchnevich,NYR,RW,1.2,2.2,0.0,0.8,11.1,5.5,88.1
David Krejci,Bos,C,1.0,2.6,0.6,1.3,8.3,2.6,90.9
Mikael Backlund,Cgy,"C,RW",0.9,1.3,0.4,0.6,8.3,2.3,94.3
Jonathan Drouin,Mon,"C,LW",0.8,2.0,0.1,1.0,7.8,3.3,99.8
Charlie Coyle,Bos,"C,RW",1.1,1.5,0.5,0.3,10.4,5.4,106.9
Nick Bjugstad,Min,"C,RW",0.9,1.0,0.4,0.4,8.8,4.3,107.8
Jordan Eberle,NYI,RW,1.0,1.3,0.1,0.6,8.6,2.4,110.0
Miles Wood,NJ,LW,0.7,0.7,0.8,0.2,7.9,5.3,120.7
Jesper Bratt,NJ,"LW,RW",0.9,1.2,-0.2,0.5,7.0,2.5,127.4
Nick Ritchie,Bos,LW,0.9,1.2,0.0,0.9,7.4,9.1,141.9
Josh Norris,Ott,C,1.1,1.2,0.0,0.8,10.9,5.0,145.0
Zach Sanford,StL,LW,1.1,1.1,0.6,0.2,8.2,5.3,201.7
Nick Paul,Ott,"C,LW",0.7,0.9,0.3,0.2,7.7,9.5,229.8
Tyler Motte,Van,"LW,RW",1.0,0.4,-0.3,0.0,7.8,21.4,242.1
Nils Hoglander,Van,"LW,RW",1.1,1.6,0.4,0.7,11.5,3.6,346.5
